ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,360ONE,10m,1172.60,1173.60,1171.90,1172.50,810,1786699265355-0,md:candles:10m,1786699265610
1786699799999,360ONE,10m,1172.50,1175.60,1172.00,1173.50,17844,1786699867842-0,md:candles:10m,1786699876284
1786700399999,360ONE,10m,1173.10,1175.00,1169.30,1173.50,56392,1786700471447-0,md:candles:10m,1786700482979
1786700999999,360ONE,10m,1173.10,1179.90,1167.00,1168.00,15428,1786701112655-0,md:candles:10m,1786701116659
1786702868000,360ONE,1d,1172.60,1180.00,1167.00,1180.00,485929,1786702874017-0,md:candles:1d,1786702885317
1786698959999,360ONE,1m,1172.60,1173.60,1172.60,1173.40,95,1786698965497-0,md:candles:1m,1786698974630
1786699019999,360ONE,1m,1172.70,1173.40,1172.50,1172.90,354,1786699025401-0,md:candles:1m,1786699028548
1786699079999,360ONE,1m,1172.50,1172.80,1172.10,1172.60,93,1786699085632-0,md:candles:1m,1786699094422
1786699139999,360ONE,1m,1172.10,1172.90,1172.10,1172.50,68,1786699145606-0,md:candles:1m,1786699146984
1786699199999,360ONE,1m,1171.90,1172.70,1171.90,1172.50,200,1786699205456-0,md:candles:1m,1786699208603
1786699259999,360ONE,1m,1172.50,1173.10,1172.00,1173.00,259,1786699265345-0,md:candles:1m,1786699273120
1786699319999,360ONE,1m,1172.50,1174.00,1172.50,1173.90,886,1786699325805-0,md:candles:1m,1786699326703
1786699379999,360ONE,1m,1173.20,1173.70,1173.20,1173.50,93,1786699387418-0,md:candles:1m,1786699391745
1786699439999,360ONE,1m,1173.50,1175.50,1173.10,1175.50,9601,1786699445482-0,md:candles:1m,1786699445600
1786699499999,360ONE,1m,1174.90,1175.60,1173.90,1174.40,4306,1786699506165-0,md:candles:1m,1786699511111
1786699559999,360ONE,1m,1174.40,1175.30,1174.10,1174.70,162,1786699565460-0,md:candles:1m,1786699576085
1786699619999,360ONE,1m,1174.10,1175.00,1174.10,1174.30,615,1786699626533-0,md:candles:1m,1786699627296
1786699679999,360ONE,1m,1174.30,1174.30,1173.80,1174.30,388,1786699686960-0,md:candles:1m,1786699689702
1786699739999,360ONE,1m,1173.90,1174.20,1173.00,1173.60,762,1786699747009-0,md:candles:1m,1786699754023
1786699799999,360ONE,1m,1173.30,1173.80,1173.10,1173.50,772,1786699808114-0,md:candles:1m,1786699821286
1786699859999,360ONE,1m,1173.10,1174.00,1173.10,1173.10,4774,1786699867838-0,md:candles:1m,1786699871843
1786699919999,360ONE,1m,1173.40,1175.00,1172.50,1173.40,24081,1786699926060-0,md:candles:1m,1786699936026
1786699979999,360ONE,1m,1173.00,1174.20,1173.00,1174.20,639,1786699985314-0,md:candles:1m,1786699989617
1786700039999,360ONE,1m,1174.00,1174.00,1170.80,1171.30,7705,1786700045510-0,md:candles:1m,1786700051805
1786700099999,360ONE,1m,1170.80,1171.30,1169.30,1171.10,3196,1786700108831-0,md:candles:1m,1786700118244
1786700159999,360ONE,1m,1170.70,1172.20,1170.50,1172.20,2092,1786700167224-0,md:candles:1m,1786700171522
1786700219999,360ONE,1m,1172.30,1172.40,1170.50,1170.80,2574,1786700226037-0,md:candles:1m,1786700233604
1786700279999,360ONE,1m,1170.80,1172.40,1170.50,1172.40,8831,1786700289427-0,md:candles:1m,1786700298079
1786700339999,360ONE,1m,1173.50,1173.50,1171.50,1172.90,2137,1786700345554-0,md:candles:1m,1786700351053
1786700399999,360ONE,1m,1172.40,1173.50,1172.00,1173.50,363,1786700405335-0,md:candles:1m,1786700412580
1786700459999,360ONE,1m,1173.10,1174.00,1172.50,1174.00,2539,1786700471424-0,md:candles:1m,1786700476026
1786700519999,360ONE,1m,1173.90,1178.90,1173.40,1174.00,4293,1786700525407-0,md:candles:1m,1786700529452
1786700579999,360ONE,1m,1174.10,1179.90,1167.00,1167.90,6227,1786700585405-0,md:candles:1m,1786700591306
1786700639999,360ONE,1m,1168.30,1169.60,1168.20,1169.20,1549,1786700645515-0,md:candles:1m,1786700653590
1786700699999,360ONE,1m,1168.20,1168.20,1167.50,1168.00,820,1786701005586-0,md:candles:1m,1786701010481
1786701059999,360ONE,1m,1168.00,1168.00,1168.00,1168.00,1078,1786701112651-0,md:candles:1m,1786701116656
1786701119999,360ONE,1m,1168.00,1168.00,1168.00,1168.00,100,1786701161333-0,md:candles:1m,1786701171344
1786701179999,360ONE,1m,1168.00,1168.00,1168.00,1168.00,39,1786701197212-0,md:candles:1m,1786701203615
1786701239999,360ONE,1m,1168.00,1168.00,1168.00,1168.00,330,1786701245282-0,md:candles:1m,1786701248276
1786701299999,360ONE,1m,1168.00,1168.00,1168.00,1168.00,71,1786701307453-0,md:candles:1m,1786701313567
1786701359999,360ONE,1m,1168.00,1168.00,1168.00,1168.00,64,1786701380073-0,md:candles:1m,1786701390103
1786701419999,360ONE,1m,1168.00,1168.00,1168.00,1168.00,7,1786701432887-0,md:candles:1m,1786701443578
1786701479999,360ONE,1m,1168.00,1168.00,1168.00,1168.00,14,1786701504808-0,md:candles:1m,1786701507390
1786701539999,360ONE,1m,1168.00,1180.00,1168.00,1180.00,393752,1786702874013-0,md:candles:1m,1786702874006
1786699799999,360ONE,30m,1172.60,1175.60,1171.90,1173.50,18654,1786699867844-0,md:candles:30m,1786699872287
1786699199999,360ONE,5m,1172.60,1173.60,1171.90,1172.50,810,1786699265353-0,md:candles:5m,1786699265610
1786699499999,360ONE,5m,1172.50,1175.60,1172.00,1174.40,15145,1786699565464-0,md:candles:5m,1786699570970
1786699799999,360ONE,5m,1174.40,1175.30,1173.00,1173.50,2699,1786699867840-0,md:candles:5m,1786699868444
1786700099999,360ONE,5m,1173.10,1175.00,1169.30,1171.10,40395,1786700167231-0,md:candles:5m,1786700170829
1786700399999,360ONE,5m,1170.70,1173.50,1170.50,1173.50,15997,1786700471444-0,md:candles:5m,1786700482979
1786700699999,360ONE,5m,1173.10,1179.90,1167.00,1168.00,15428,1786701112653-0,md:candles:5m,1786701116659
1786701299999,360ONE,5m,1168.00,1168.00,1168.00,1168.00,1618,1786701380074-0,md:candles:5m,1786701390103
