ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,ABB,10m,7685.00,7688.50,7671.00,7673.00,1827,1786699266743-0,md:candles:10m,1786699276624
1786699799999,ABB,10m,7674.00,7682.00,7667.50,7670.00,3981,1786699866103-0,md:candles:10m,1786699876284
1786700399999,ABB,10m,7666.50,7669.50,7641.50,7649.50,11773,1786700471468-0,md:candles:10m,1786700482979
1786700999999,ABB,10m,7649.50,7652.00,7644.00,7650.00,5249,1786701068208-0,md:candles:10m,1786701070102
1786701599999,ABB,10m,7650.00,7650.00,7649.00,7649.00,162115,1786702922477-0,md:candles:10m,1786702927372
1786702806000,ABB,1d,7685.00,7688.50,7641.50,7649.00,184945,1786702811842-0,md:candles:1d,1786702818543
1786698959999,ABB,1m,7685.00,7688.00,7685.00,7688.00,48,1786698966206-0,md:candles:1m,1786698974630
1786699019999,ABB,1m,7685.00,7688.50,7685.00,7685.00,168,1786699028104-0,md:candles:1m,1786699028548
1786699079999,ABB,1m,7685.00,7685.00,7671.00,7674.00,1296,1786699092839-0,md:candles:1m,1786699094422
1786699139999,ABB,1m,7674.00,7676.50,7673.00,7674.00,127,1786699151894-0,md:candles:1m,1786699158101
1786699199999,ABB,1m,7674.00,7677.50,7673.00,7673.00,188,1786699205370-0,md:candles:1m,1786699208603
1786699259999,ABB,1m,7674.00,7679.00,7673.00,7679.00,332,1786699266720-0,md:candles:1m,1786699273120
1786699319999,ABB,1m,7678.50,7679.00,7677.00,7679.00,143,1786699325810-0,md:candles:1m,1786699326703
1786699379999,ABB,1m,7675.00,7679.50,7675.00,7679.50,176,1786699387430-0,md:candles:1m,1786699391745
1786699439999,ABB,1m,7679.50,7680.00,7676.00,7677.50,831,1786699445629-0,md:candles:1m,1786699457822
1786699499999,ABB,1m,7677.50,7682.00,7675.50,7680.50,686,1786699511303-0,md:candles:1m,1786699523104
1786699559999,ABB,1m,7681.50,7681.50,7675.00,7675.00,334,1786699566939-0,md:candles:1m,1786699576085
1786699619999,ABB,1m,7679.00,7679.50,7674.00,7674.00,298,1786699626674-0,md:candles:1m,1786699627296
1786699679999,ABB,1m,7674.00,7674.00,7671.00,7674.00,419,1786699686964-0,md:candles:1m,1786699689702
1786699739999,ABB,1m,7671.00,7673.50,7667.50,7667.50,389,1786699747184-0,md:candles:1m,1786699754023
1786699799999,ABB,1m,7667.50,7672.00,7667.50,7670.00,373,1786699808117-0,md:candles:1m,1786699821286
1786699859999,ABB,1m,7666.50,7669.50,7663.00,7665.00,1099,1786699866062-0,md:candles:1m,1786699871843
