ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,ABCAPITAL,10m,402.50,402.55,402.00,402.05,14965,1786699265366-0,md:candles:10m,1786699265610
1786699799999,ABCAPITAL,10m,402.05,402.25,401.75,401.80,60510,1786699868925-0,md:candles:10m,1786699876284
1786700399999,ABCAPITAL,10m,401.85,402.15,401.30,401.45,102393,1786700465633-0,md:candles:10m,1786700471301
1786700999999,ABCAPITAL,10m,401.70,401.75,401.05,401.50,57893,1786701075498-0,md:candles:10m,1786701080910
1786701599999,ABCAPITAL,10m,401.50,401.50,401.00,401.00,1262081,1786702910768-0,md:candles:10m,1786702916373
1786702801000,ABCAPITAL,1d,402.50,402.55,401.00,401.00,1497842,1786702806338-0,md:candles:1d,1786702807233
1786698959999,ABCAPITAL,1m,402.50,402.55,402.40,402.55,1432,1786698965339-0,md:candles:1m,1786698974630
1786699019999,ABCAPITAL,1m,402.35,402.55,402.20,402.20,3216,1786699028873-0,md:candles:1m,1786699041361
1786699079999,ABCAPITAL,1m,402.20,402.35,402.10,402.10,1988,1786699087833-0,md:candles:1m,1786699094422
1786699139999,ABCAPITAL,1m,402.10,402.30,402.05,402.05,4288,1786699147889-0,md:candles:1m,1786699158101
1786699199999,ABCAPITAL,1m,402.20,402.20,402.00,402.05,4041,1786699206281-0,md:candles:1m,1786699208603
1786699259999,ABCAPITAL,1m,402.05,402.20,402.05,402.15,3302,1786699265353-0,md:candles:1m,1786699273120
1786699319999,ABCAPITAL,1m,402.10,402.25,402.05,402.20,6542,1786699330988-0,md:candles:1m,1786699339124
1786699379999,ABCAPITAL,1m,402.20,402.20,402.05,402.15,5645,1786699387725-0,md:candles:1m,1786699391745
1786699439999,ABCAPITAL,1m,402.15,402.15,401.75,401.75,6689,1786699446375-0,md:candles:1m,1786699457822
1786699499999,ABCAPITAL,1m,401.80,401.95,401.75,401.90,5723,1786699508078-0,md:candles:1m,1786699511111
1786699559999,ABCAPITAL,1m,401.85,402.00,401.75,401.95,7585,1786699568098-0,md:candles:1m,1786699576085
1786699619999,ABCAPITAL,1m,402.05,402.25,402.00,402.15,10955,1786699627648-0,md:candles:1m,1786699639246
1786699679999,ABCAPITAL,1m,402.10,402.20,402.00,402.00,6264,1786699688712-0,md:candles:1m,1786699689702
1786699739999,ABCAPITAL,1m,402.00,402.15,401.90,401.95,3265,1786699748154-0,md:candles:1m,1786699754023
1786699799999,ABCAPITAL,1m,401.95,402.00,401.80,401.80,4540,1786699805962-0,md:candles:1m,1786699807941
1786699859999,ABCAPITAL,1m,401.85,402.15,401.55,401.95,26616,1786699868901-0,md:candles:1m,1786699871843
1786699919999,ABCAPITAL,1m,402.15,402.15,401.75,401.80,7900,1786699925560-0,md:candles:1m,1786699936026
1786699979999,ABCAPITAL,1m,401.85,402.05,401.70,401.80,4635,1786699986634-0,md:candles:1m,1786699989617
1786700039999,ABCAPITAL,1m,401.80,401.85,401.70,401.85,6143,1786700047004-0,md:candles:1m,1786700051805
1786700099999,ABCAPITAL,1m,401.85,401.85,401.70,401.80,4309,1786700106204-0,md:candles:1m,1786700118244
1786700159999,ABCAPITAL,1m,401.85,401.85,401.50,401.65,11007,1786700165804-0,md:candles:1m,1786700171522
1786700219999,ABCAPITAL,1m,401.50,401.65,401.40,401.50,11901,1786700228617-0,md:candles:1m,1786700233604
1786700279999,ABCAPITAL,1m,401.50,401.85,401.40,401.85,18662,1786700290428-0,md:candles:1m,1786700298079
1786700339999,ABCAPITAL,1m,401.75,401.75,401.55,401.60,2639,1786700350522-0,md:candles:1m,1786700351053
