ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,ADANIENSOL,10m,1617.00,1618.40,1614.40,1615.60,38175,1786699266757-0,md:candles:10m,1786699276624
1786699799999,ADANIENSOL,10m,1616.00,1617.40,1612.80,1614.70,59161,1786699867982-0,md:candles:10m,1786699876284
1786700399999,ADANIENSOL,10m,1613.60,1615.40,1613.30,1614.00,181637,1786700465610-0,md:candles:10m,1786700471301
1786700999999,ADANIENSOL,10m,1614.10,1617.00,1612.30,1615.00,161418,1786701074635-0,md:candles:10m,1786701080910
1786701599999,ADANIENSOL,10m,1615.00,1616.00,1615.00,1616.00,7041169,1786702886934-0,md:candles:10m,1786702895644
1786702806000,ADANIENSOL,1d,1617.00,1618.40,1612.30,1616.00,7481560,1786702811847-0,md:candles:1d,1786702818543
1786698959999,ADANIENSOL,1m,1617.00,1618.40,1614.40,1614.90,19047,1786698965585-0,md:candles:1m,1786698974630
1786699019999,ADANIENSOL,1m,1615.00,1616.80,1615.00,1616.80,2691,1786699026219-0,md:candles:1m,1786699028548
1786699079999,ADANIENSOL,1m,1616.00,1616.80,1615.60,1616.20,4021,1786699087294-0,md:candles:1m,1786699094422
1786699139999,ADANIENSOL,1m,1616.90,1617.20,1615.20,1616.00,6889,1786699146681-0,md:candles:1m,1786699146984
1786699199999,ADANIENSOL,1m,1616.20,1616.20,1615.60,1615.60,5527,1786699206646-0,md:candles:1m,1786699208603
1786699259999,ADANIENSOL,1m,1616.00,1616.40,1616.00,1616.00,1041,1786699266726-0,md:candles:1m,1786699273120
1786699319999,ADANIENSOL,1m,1616.40,1616.80,1616.00,1616.70,1231,1786699330197-0,md:candles:1m,1786699339124
1786699379999,ADANIENSOL,1m,1616.70,1617.40,1616.20,1616.20,7805,1786699387480-0,md:candles:1m,1786699391745
1786699439999,ADANIENSOL,1m,1616.90,1616.90,1615.60,1615.60,2723,1786699445670-0,md:candles:1m,1786699457822
1786699499999,ADANIENSOL,1m,1616.20,1616.50,1615.50,1616.40,11108,1786699506467-0,md:candles:1m,1786699511111
1786699559999,ADANIENSOL,1m,1616.20,1616.40,1614.50,1614.50,6636,1786699566948-0,md:candles:1m,1786699576085
1786699619999,ADANIENSOL,1m,1614.90,1614.90,1613.70,1614.20,6334,1786699626712-0,md:candles:1m,1786699627296
