ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,ADANIENT,10m,3036.40,3040.10,3033.50,3039.00,16271,1786699265335-0,md:candles:10m,1786699265610
1786699799999,ADANIENT,10m,3039.00,3045.00,3037.70,3041.80,43744,1786699865549-0,md:candles:10m,1786699876284
1786700399999,ADANIENT,10m,3041.00,3041.30,3033.00,3038.50,62765,1786700465451-0,md:candles:10m,1786700471301
1786700999999,ADANIENT,10m,3038.30,3047.00,3036.70,3040.00,54264,1786701068107-0,md:candles:10m,1786701070102
1786701599999,ADANIENT,10m,3040.00,3040.00,3035.10,3035.10,1655361,1786702896851-0,md:candles:10m,1786702906259
1786702800000,ADANIENT,1d,3036.40,3047.00,3033.00,3035.10,1832405,1786702805528-0,md:candles:1d,1786702807233
1786698959999,ADANIENT,1m,3036.40,3037.00,3035.20,3035.20,879,1786698966099-0,md:candles:1m,1786698974630
1786699019999,ADANIENT,1m,3035.20,3036.10,3034.10,3034.10,1081,1786699028036-0,md:candles:1m,1786699028548
1786699079999,ADANIENT,1m,3034.10,3036.40,3033.50,3036.40,1675,1786699085396-0,md:candles:1m,1786699094422
1786699139999,ADANIENT,1m,3036.40,3039.40,3036.40,3039.40,2945,1786699145395-0,md:candles:1m,1786699146984
1786699199999,ADANIENT,1m,3038.90,3040.10,3038.50,3039.00,9691,1786699206158-0,md:candles:1m,1786699208603
1786699259999,ADANIENT,1m,3039.00,3040.00,3037.70,3038.60,3335,1786699265332-0,md:candles:1m,1786699273120
1786699319999,ADANIENT,1m,3038.00,3039.30,3037.70,3038.20,4335,1786699330087-0,md:candles:1m,1786699339124
1786699379999,ADANIENT,1m,3038.20,3039.80,3038.20,3039.20,1531,1786699385688-0,md:candles:1m,1786699391745
1786699439999,ADANIENT,1m,3039.70,3042.00,3038.80,3041.20,7237,1786699445475-0,md:candles:1m,1786699445600
1786699499999,ADANIENT,1m,3041.20,3044.80,3041.20,3043.70,9893,1786699505577-0,md:candles:1m,1786699511111
1786699559999,ADANIENT,1m,3043.70,3045.00,3043.10,3044.40,4878,1786699565907-0,md:candles:1m,1786699576085
1786699619999,ADANIENT,1m,3044.00,3044.40,3042.00,3043.20,4235,1786699625688-0,md:candles:1m,1786699627296
1786699679999,ADANIENT,1m,3043.00,3044.00,3042.00,3043.90,3714,1786699685590-0,md:candles:1m,1786699689702
1786699739999,ADANIENT,1m,3043.00,3043.90,3042.00,3042.00,2310,1786699745432-0,md:candles:1m,1786699754023
1786699799999,ADANIENT,1m,3042.00,3042.90,3041.10,3041.80,2276,1786699805475-0,md:candles:1m,1786699807941
1786699859999,ADANIENT,1m,3041.00,3041.30,3035.50,3035.50,7648,1786699865538-0,md:candles:1m,1786699871843
1786699919999,ADANIENT,1m,3035.30,3036.50,3033.00,3035.90,7695,1786699925916-0,md:candles:1m,1786699936026
1786699979999,ADANIENT,1m,3035.90,3035.90,3034.00,3034.60,3676,1786699985928-0,md:candles:1m,1786699989617
1786700039999,ADANIENT,1m,3034.60,3039.30,3034.20,3037.80,3144,1786700045523-0,md:candles:1m,1786700051805
1786700099999,ADANIENT,1m,3038.40,3038.90,3036.00,3036.00,3973,1786700106141-0,md:candles:1m,1786700118244
1786700159999,ADANIENT,1m,3036.40,3038.60,3036.00,3036.00,5210,1786700165212-0,md:candles:1m,1786700171522
1786700219999,ADANIENT,1m,3036.20,3037.90,3035.10,3037.90,13339,1786700227330-0,md:candles:1m,1786700233604
1786700279999,ADANIENT,1m,3037.70,3037.80,3035.00,3035.90,3299,1786700285222-0,md:candles:1m,1786700286220
1786700339999,ADANIENT,1m,3036.30,3038.50,3035.70,3038.50,4106,1786700349268-0,md:candles:1m,1786700351053
1786700399999,ADANIENT,1m,3038.00,3040.00,3036.70,3038.50,10675,1786700407407-0,md:candles:1m,1786700412580
1786700459999,ADANIENT,1m,3038.30,3040.60,3036.70,3040.60,11225,1786700465426-0,md:candles:1m,1786700476026
1786700519999,ADANIENT,1m,3039.50,3040.00,3038.30,3038.30,2948,1786700525875-0,md:candles:1m,1786700529452
1786700579999,ADANIENT,1m,3039.50,3047.00,3038.00,3041.40,29950,1786700588610-0,md:candles:1m,1786700591306
1786700639999,ADANIENT,1m,3040.00,3042.70,3036.90,3036.90,6493,1786700645772-0,md:candles:1m,1786700653590
1786700699999,ADANIENT,1m,3038.30,3041.00,3036.90,3040.00,3648,1786701005488-0,md:candles:1m,1786701010481
1786701059999,ADANIENT,1m,3040.00,3040.00,3040.00,3040.00,347,1786701068095-0,md:candles:1m,1786701071890
1786701119999,ADANIENT,1m,3040.00,3040.00,3040.00,3040.00,361,1786701130873-0,md:candles:1m,1786701137210
1786701179999,ADANIENT,1m,3040.00,3040.00,3040.00,3040.00,391,1786701191126-0,md:candles:1m,1786701191510
1786701239999,ADANIENT,1m,3040.00,3040.00,3040.00,3040.00,118,1786701245236-0,md:candles:1m,1786701248276
1786701299999,ADANIENT,1m,3040.00,3040.00,3040.00,3040.00,97,1786701321990-0,md:candles:1m,1786701324284
1786701359999,ADANIENT,1m,3040.00,3040.00,3040.00,3040.00,57,1786701367209-0,md:candles:1m,1786701367943
1786701419999,ADANIENT,1m,3040.00,3040.00,3040.00,3040.00,50,1786701426066-0,md:candles:1m,1786701432770
1786701479999,ADANIENT,1m,3040.00,3040.00,3040.00,3040.00,138,1786701488971-0,md:candles:1m,1786701496799
1786701539999,ADANIENT,1m,3040.00,3040.00,3035.10,3035.10,1653802,1786702805527-0,md:candles:1m,1786702808525
