ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,ADANIGREEN,10m,1341.30,1341.40,1340.00,1340.60,5322,1786699270121-0,md:candles:10m,1786699276624
1786699799999,ADANIGREEN,10m,1340.60,1345.40,1340.00,1345.00,55921,1786699867637-0,md:candles:10m,1786699876284
1786700399999,ADANIGREEN,10m,1344.30,1344.30,1341.60,1344.00,54523,1786700471372-0,md:candles:10m,1786700482979
1786700999999,ADANIGREEN,10m,1344.00,1345.50,1343.60,1345.00,40958,1786701067997-0,md:candles:10m,1786701070102
1786701599999,ADANIGREEN,10m,1345.00,1348.00,1345.00,1348.00,1091023,1786702872216-0,md:candles:10m,1786702875014
1786702800000,ADANIGREEN,1d,1341.30,1348.00,1340.00,1348.00,1247747,1786702805428-0,md:candles:1d,1786702807233
1786698959999,ADANIGREEN,1m,1341.30,1341.30,1340.80,1340.90,630,1786698970057-0,md:candles:1m,1786698974630
1786699019999,ADANIGREEN,1m,1340.60,1340.90,1340.20,1340.70,732,1786699026560-0,md:candles:1m,1786699028548
1786699079999,ADANIGREEN,1m,1340.20,1340.80,1340.20,1340.80,1357,1786699087188-0,md:candles:1m,1786699094422
1786699139999,ADANIGREEN,1m,1341.00,1341.40,1340.00,1340.20,1563,1786699146380-0,md:candles:1m,1786699146984
1786699199999,ADANIGREEN,1m,1340.90,1340.90,1340.00,1340.60,1040,1786699206165-0,md:candles:1m,1786699208603
1786699259999,ADANIGREEN,1m,1340.60,1341.00,1340.00,1340.60,4716,1786699270116-0,md:candles:1m,1786699273120
1786699319999,ADANIGREEN,1m,1340.60,1342.00,1340.60,1341.00,11813,1786699325784-0,md:candles:1m,1786699326703
1786699379999,ADANIGREEN,1m,1341.80,1341.90,1341.50,1341.90,965,1786699386704-0,md:candles:1m,1786699391745
1786699439999,ADANIGREEN,1m,1341.90,1342.20,1341.70,1341.90,961,1786699445296-0,md:candles:1m,1786699445600
1786699499999,ADANIGREEN,1m,1341.90,1342.90,1341.70,1342.90,3242,1786699506852-0,md:candles:1m,1786699511111
1786699559999,ADANIGREEN,1m,1342.50,1343.50,1342.50,1342.70,3132,1786699566912-0,md:candles:1m,1786699576085
1786699619999,ADANIGREEN,1m,1343.00,1343.40,1342.70,1343.00,2427,1786699626332-0,md:candles:1m,1786699627296
1786699679999,ADANIGREEN,1m,1343.00,1344.80,1342.70,1344.60,6007,1786699686939-0,md:candles:1m,1786699689702
1786699739999,ADANIGREEN,1m,1344.90,1345.40,1344.90,1345.20,14670,1786699746983-0,md:candles:1m,1786699754023
1786699799999,ADANIGREEN,1m,1345.40,1345.40,1344.60,1345.00,7988,1786699808090-0,md:candles:1m,1786699821286
1786699859999,ADANIGREEN,1m,1344.30,1344.30,1343.60,1344.20,9607,1786699867633-0,md:candles:1m,1786699871843
1786699919999,ADANIGREEN,1m,1343.30,1343.70,1342.70,1342.70,3457,1786699926969-0,md:candles:1m,1786699936026
1786699979999,ADANIGREEN,1m,1342.70,1342.90,1342.70,1342.70,2650,1786699985552-0,md:candles:1m,1786699989617
1786700039999,ADANIGREEN,1m,1342.80,1343.40,1342.70,1343.40,7138,1786700045726-0,md:candles:1m,1786700051805
1786700099999,ADANIGREEN,1m,1343.50,1343.50,1342.60,1343.20,2138,1786700108627-0,md:candles:1m,1786700118244
1786700159999,ADANIGREEN,1m,1342.60,1343.20,1341.70,1342.40,6871,1786700165852-0,md:candles:1m,1786700171522
1786700219999,ADANIGREEN,1m,1342.40,1342.40,1341.60,1342.00,5267,1786700227276-0,md:candles:1m,1786700233604
1786700279999,ADANIGREEN,1m,1341.80,1342.00,1341.60,1342.00,5755,1786700289335-0,md:candles:1m,1786700298079
1786700339999,ADANIGREEN,1m,1342.00,1344.00,1342.00,1343.80,7921,1786700349131-0,md:candles:1m,1786700351053
1786700399999,ADANIGREEN,1m,1343.70,1344.00,1343.10,1344.00,3719,1786700409792-0,md:candles:1m,1786700412580
1786700459999,ADANIGREEN,1m,1344.00,1344.00,1343.60,1344.00,5540,1786700471354-0,md:candles:1m,1786700476026
1786700519999,ADANIGREEN,1m,1343.90,1344.50,1343.90,1344.30,8594,1786700525674-0,md:candles:1m,1786700529452
1786700579999,ADANIGREEN,1m,1344.30,1345.50,1344.00,1345.00,18701,1786700585958-0,md:candles:1m,1786700591306
1786700639999,ADANIGREEN,1m,1345.00,1345.20,1344.30,1344.90,3773,1786700645358-0,md:candles:1m,1786700653590
1786700699999,ADANIGREEN,1m,1345.20,1345.20,1344.10,1345.00,4198,1786700706653-0,md:candles:1m,1786700715149
1786700759999,ADANIGREEN,1m,1345.00,1345.00,1345.00,1345.00,152,1786701005397-0,md:candles:1m,1786701010481
