ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,ADANIPORTS,10m,1693.60,1694.20,1693.40,1693.90,9141,1786699270657-0,md:candles:10m,1786699276624
1786699799999,ADANIPORTS,10m,1693.90,1696.90,1693.90,1696.60,49039,1786699868161-0,md:candles:10m,1786699876284
1786700399999,ADANIPORTS,10m,1696.30,1699.00,1695.70,1698.80,134814,1786700465915-0,md:candles:10m,1786700471301
1786700999999,ADANIPORTS,10m,1698.00,1699.20,1696.00,1698.00,77186,1786701068493-0,md:candles:10m,1786701070102
1786701599999,ADANIPORTS,10m,1698.00,1700.00,1698.00,1700.00,1940032,1786702894041-0,md:candles:10m,1786702895644
1786702800000,ADANIPORTS,1d,1693.60,1700.00,1693.40,1700.00,2210212,1786702805821-0,md:candles:1d,1786702807233
1786698959999,ADANIPORTS,1m,1693.60,1694.20,1693.60,1693.80,1267,1786698965452-0,md:candles:1m,1786698974630
1786699019999,ADANIPORTS,1m,1693.80,1694.00,1693.40,1693.80,2276,1786699026630-0,md:candles:1m,1786699028548
1786699079999,ADANIPORTS,1m,1693.90,1693.90,1693.80,1693.80,1499,1786699087346-0,md:candles:1m,1786699094422
1786699139999,ADANIPORTS,1m,1693.80,1694.00,1693.80,1693.90,1926,1786699146710-0,md:candles:1m,1786699146984
1786699199999,ADANIPORTS,1m,1694.20,1694.20,1693.90,1693.90,2173,1786699205718-0,md:candles:1m,1786699208603
1786699259999,ADANIPORTS,1m,1693.90,1694.40,1693.90,1694.20,4646,1786699270652-0,md:candles:1m,1786699273120
1786699319999,ADANIPORTS,1m,1694.20,1694.90,1694.20,1694.60,2818,1786699325829-0,md:candles:1m,1786699326703
1786699379999,ADANIPORTS,1m,1694.80,1695.70,1694.80,1695.40,6166,1786699387526-0,md:candles:1m,1786699391745
1786699439999,ADANIPORTS,1m,1695.60,1695.80,1695.20,1695.70,3514,1786699445843-0,md:candles:1m,1786699457822
1786699499999,ADANIPORTS,1m,1695.50,1696.20,1695.00,1696.20,9728,1786699506909-0,md:candles:1m,1786699511111
1786699559999,ADANIPORTS,1m,1696.00,1696.50,1696.00,1696.50,6871,1786699566971-0,md:candles:1m,1786699576085
1786699619999,ADANIPORTS,1m,1696.20,1696.90,1696.20,1696.50,3664,1786699626953-0,md:candles:1m,1786699627296
1786699679999,ADANIPORTS,1m,1696.50,1696.90,1696.20,1696.50,2958,1786699686991-0,md:candles:1m,1786699689702
1786699739999,ADANIPORTS,1m,1696.30,1696.70,1696.10,1696.50,5137,1786699747044-0,md:candles:1m,1786699754023
1786699799999,ADANIPORTS,1m,1696.60,1696.90,1696.00,1696.60,3537,1786699805264-0,md:candles:1m,1786699807941
1786699859999,ADANIPORTS,1m,1696.30,1696.60,1696.00,1696.30,9526,1786699868156-0,md:candles:1m,1786699871843
1786699919999,ADANIPORTS,1m,1696.30,1696.30,1695.70,1695.80,7715,1786699927543-0,md:candles:1m,1786699936026
1786699979999,ADANIPORTS,1m,1695.80,1696.00,1695.70,1695.80,6888,1786699986084-0,md:candles:1m,1786699989617
1786700039999,ADANIPORTS,1m,1695.90,1698.00,1695.90,1698.00,23868,1786700046299-0,md:candles:1m,1786700051805
1786700099999,ADANIPORTS,1m,1698.00,1698.50,1696.70,1697.70,15374,1786700105814-0,md:candles:1m,1786700105816
1786700159999,ADANIPORTS,1m,1697.80,1699.00,1697.70,1698.90,17740,1786700165159-0,md:candles:1m,1786700171522
1786700219999,ADANIPORTS,1m,1699.00,1699.00,1697.20,1697.70,16496,1786700227607-0,md:candles:1m,1786700233604
1786700279999,ADANIPORTS,1m,1697.70,1698.00,1697.00,1697.70,9628,1786700289675-0,md:candles:1m,1786700298079
1786700339999,ADANIPORTS,1m,1697.00,1698.80,1696.90,1698.80,8543,1786700349557-0,md:candles:1m,1786700351053
1786700399999,ADANIPORTS,1m,1698.70,1698.80,1697.60,1698.80,19036,1786700408591-0,md:candles:1m,1786700412580
1786700459999,ADANIPORTS,1m,1698.00,1698.20,1696.80,1697.20,15021,1786700465907-0,md:candles:1m,1786700476026
1786700519999,ADANIPORTS,1m,1697.40,1697.90,1696.50,1697.90,15964,1786700526176-0,md:candles:1m,1786700529452
1786700579999,ADANIPORTS,1m,1697.80,1699.20,1697.50,1699.00,33786,1786700589573-0,md:candles:1m,1786700591306
1786700639999,ADANIPORTS,1m,1698.60,1699.20,1698.00,1698.10,6250,1786700645477-0,md:candles:1m,1786700653590
1786700699999,ADANIPORTS,1m,1698.80,1698.80,1696.00,1697.10,5981,1786700707075-0,md:candles:1m,1786700715149
1786700759999,ADANIPORTS,1m,1698.00,1698.00,1698.00,1698.00,184,1786701005884-0,md:candles:1m,1786701010481
1786701059999,ADANIPORTS,1m,1698.00,1698.00,1698.00,1698.00,7988,1786701068488-0,md:candles:1m,1786701071890
1786701119999,ADANIPORTS,1m,1698.00,1698.00,1698.00,1698.00,1424,1786701137417-0,md:candles:1m,1786701149293
1786701179999,ADANIPORTS,1m,1698.00,1698.00,1698.00,1698.00,284,1786701191511-0,md:candles:1m,1786701191510
1786701239999,ADANIPORTS,1m,1698.00,1698.00,1698.00,1698.00,1817,1786701252039-0,md:candles:1m,1786701260413
1786701299999,ADANIPORTS,1m,1698.00,1698.00,1698.00,1698.00,70,1786701307775-0,md:candles:1m,1786701313567
1786701359999,ADANIPORTS,1m,1698.00,1698.00,1698.00,1698.00,2327,1786701367455-0,md:candles:1m,1786701367943
1786701419999,ADANIPORTS,1m,1698.00,1698.00,1698.00,1698.00,346,1786701426464-0,md:candles:1m,1786701432770
1786701479999,ADANIPORTS,1m,1698.00,1698.00,1698.00,1698.00,103,1786701489368-0,md:candles:1m,1786701496799
1786701539999,ADANIPORTS,1m,1698.00,1700.00,1698.00,1700.00,1925673,1786702805819-0,md:candles:1m,1786702808525
1786702859999,ADANIPORTS,1m,1700.00,1700.00,1700.00,1700.00,9,1786702894038-0,md:candles:1m,1786702895641
1786702919999,ADANIPORTS,1m,1700.00,1700.00,1700.00,1700.00,6,1786702991540-0,md:candles:1m,1786703000545
1786703039999,ADANIPORTS,1m,1700.00,1700.00,1700.00,1700.00,18,1786703133810-0,md:candles:1m,1786703141428
1786703159999,ADANIPORTS,1m,1700.00,1700.00,1700.00,1700.00,24,1786703228400-0,md:candles:1m,1786703228996
1786703279999,ADANIPORTS,1m,1700.00,1700.00,1700.00,1700.00,5,1786703373676-0,md:candles:1m,1786703380077
