ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,ALKEM,10m,5330.00,5357.50,5313.00,5351.50,15577,1786699266265-0,md:candles:10m,1786699276624
1786699799999,ALKEM,10m,5352.00,5367.00,5345.00,5353.00,28734,1786699865483-0,md:candles:10m,1786699876284
1786700399999,ALKEM,10m,5352.50,5363.00,5332.50,5363.00,46108,1786700465631-0,md:candles:10m,1786700471301
1786700999999,ALKEM,10m,5363.00,5363.00,5325.00,5325.00,18864,1786701069226-0,md:candles:10m,1786701070102
1786701599999,ALKEM,10m,5325.00,5368.00,5325.00,5368.00,635807,1786703333334-0,md:candles:10m,1786703335334
1786702801000,ALKEM,1d,5330.00,5368.00,5313.00,5368.00,745090,1786702806335-0,md:candles:1d,1786702807233
1786698959999,ALKEM,1m,5330.00,5333.50,5326.50,5329.00,488,1786698965319-0,md:candles:1m,1786698974630
1786699019999,ALKEM,1m,5328.00,5328.00,5313.00,5323.00,2630,1786699025512-0,md:candles:1m,1786699028548
1786699079999,ALKEM,1m,5324.00,5338.00,5321.00,5334.50,2349,1786699085579-0,md:candles:1m,1786699094422
1786699139999,ALKEM,1m,5334.00,5345.00,5334.00,5344.00,5777,1786699146603-0,md:candles:1m,1786699146984
1786699199999,ALKEM,1m,5342.50,5357.50,5341.00,5351.50,4333,1786699205648-0,md:candles:1m,1786699208603
1786699259999,ALKEM,1m,5352.00,5358.50,5345.00,5353.50,3152,1786699266260-0,md:candles:1m,1786699273120
1786699319999,ALKEM,1m,5353.50,5354.00,5347.50,5350.00,6306,1786699326601-0,md:candles:1m,1786699326703
1786699379999,ALKEM,1m,5350.00,5353.50,5349.00,5352.50,592,1786699387546-0,md:candles:1m,1786699391745
1786699439999,ALKEM,1m,5350.00,5367.00,5350.00,5364.00,4085,1786699446274-0,md:candles:1m,1786699457822
1786699499999,ALKEM,1m,5364.00,5365.00,5356.00,5358.50,5346,1786699505363-0,md:candles:1m,1786699511111
1786699559999,ALKEM,1m,5361.00,5361.00,5353.50,5357.00,1509,1786699565792-0,md:candles:1m,1786699576085
1786699619999,ALKEM,1m,5355.00,5362.50,5354.00,5361.00,2454,1786699625509-0,md:candles:1m,1786699627296
1786699679999,ALKEM,1m,5361.00,5362.50,5357.00,5359.50,1925,1786699685321-0,md:candles:1m,1786699689702
1786699739999,ALKEM,1m,5359.50,5362.00,5354.50,5358.00,2393,1786699745300-0,md:candles:1m,1786699754023
1786699799999,ALKEM,1m,5358.00,5358.00,5352.50,5353.00,972,1786699805957-0,md:candles:1m,1786699807941
1786699859999,ALKEM,1m,5352.50,5357.00,5348.00,5352.00,4218,1786699865480-0,md:candles:1m,1786699871843
1786699919999,ALKEM,1m,5352.00,5352.00,5343.00,5345.50,3881,1786699926435-0,md:candles:1m,1786699936026
1786699979999,ALKEM,1m,5345.00,5345.00,5332.50,5340.50,12469,1786699985302-0,md:candles:1m,1786699989617
1786700039999,ALKEM,1m,5338.50,5343.50,5337.00,5343.00,4301,1786700045785-0,md:candles:1m,1786700051805
1786700099999,ALKEM,1m,5343.00,5359.50,5339.50,5348.50,3873,1786700105296-0,md:candles:1m,1786700105816
1786700159999,ALKEM,1m,5348.50,5351.00,5345.00,5346.00,5214,1786700166634-0,md:candles:1m,1786700171522
1786700219999,ALKEM,1m,5346.50,5359.00,5345.50,5359.00,3896,1786700226142-0,md:candles:1m,1786700233604
1786700279999,ALKEM,1m,5359.00,5362.50,5357.00,5361.00,4689,1786700289310-0,md:candles:1m,1786700298079
1786700339999,ALKEM,1m,5361.00,5361.50,5357.50,5359.00,1029,1786700346929-0,md:candles:1m,1786700351053
1786700399999,ALKEM,1m,5359.00,5363.00,5356.50,5363.00,2538,1786700405781-0,md:candles:1m,1786700412580
