ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,AMBER,10m,7241.50,7243.00,7226.00,7228.00,2036,1786699267603-0,md:candles:10m,1786699276624
1786699799999,AMBER,10m,7230.00,7237.50,7221.50,7224.00,10592,1786699865967-0,md:candles:10m,1786699876284
1786700399999,AMBER,10m,7221.00,7227.50,7215.00,7224.00,26438,1786700472037-0,md:candles:10m,1786700482979
1786700999999,AMBER,10m,7224.00,7229.50,7209.50,7224.00,12905,1786701068691-0,md:candles:10m,1786701070102
1786701599999,AMBER,10m,7224.00,7224.00,7222.00,7222.00,749092,1786703016364-0,md:candles:10m,1786703027576
1786702910000,AMBER,1d,7241.50,7243.00,7209.50,7222.00,801063,1786702915768-0,md:candles:1d,1786702917764
1786698959999,AMBER,1m,7241.50,7243.00,7239.00,7240.00,199,1786698966830-0,md:candles:1m,1786698974630
1786699019999,AMBER,1m,7240.00,7240.00,7235.00,7237.50,113,1786699026508-0,md:candles:1m,1786699028548
1786699079999,AMBER,1m,7235.00,7240.00,7229.50,7238.00,376,1786699086773-0,md:candles:1m,1786699094422
1786699139999,AMBER,1m,7238.00,7238.00,7234.50,7237.00,426,1786699145586-0,md:candles:1m,1786699146984
1786699199999,AMBER,1m,7234.00,7234.00,7226.00,7228.00,922,1786699207569-0,md:candles:1m,1786699208603
1786699259999,AMBER,1m,7230.00,7233.00,7229.00,7229.00,702,1786699267599-0,md:candles:1m,1786699273120
1786699319999,AMBER,1m,7229.00,7232.00,7225.50,7231.50,445,1786699329970-0,md:candles:1m,1786699339124
1786699379999,AMBER,1m,7229.00,7232.00,7229.00,7232.00,316,1786699387602-0,md:candles:1m,1786699391745
1786699439999,AMBER,1m,7230.00,7234.50,7230.00,7234.50,715,1786699445993-0,md:candles:1m,1786699457822
1786699499999,AMBER,1m,7233.50,7237.00,7233.00,7233.00,360,1786699511814-0,md:candles:1m,1786699523104
1786699559999,AMBER,1m,7235.00,7235.00,7233.00,7235.00,307,1786699567681-0,md:candles:1m,1786699576085
1786699619999,AMBER,1m,7236.00,7237.50,7235.00,7237.00,557,1786699627133-0,md:candles:1m,1786699627296
1786699679999,AMBER,1m,7237.00,7237.00,7230.00,7234.50,2354,1786699685412-0,md:candles:1m,1786699689702
1786699739999,AMBER,1m,7231.50,7232.00,7227.50,7230.00,563,1786699745293-0,md:candles:1m,1786699754023
1786699799999,AMBER,1m,7230.00,7230.00,7221.50,7224.00,4273,1786699805347-0,md:candles:1m,1786699807941
1786699859999,AMBER,1m,7221.00,7222.50,7215.00,7222.00,4812,1786699865962-0,md:candles:1m,1786699871843
1786699919999,AMBER,1m,7223.50,7226.50,7216.50,7225.00,3734,1786699926101-0,md:candles:1m,1786699936026
1786699979999,AMBER,1m,7227.00,7227.00,7224.00,7225.00,1282,1786699985813-0,md:candles:1m,1786699989617
1786700039999,AMBER,1m,7226.00,7226.50,7223.00,7226.50,905,1786700045298-0,md:candles:1m,1786700051805
1786700099999,AMBER,1m,7226.50,7226.50,7218.50,7223.00,1296,1786700105610-0,md:candles:1m,1786700105816
1786700159999,AMBER,1m,7222.50,7223.00,7218.00,7222.50,4354,1786700167110-0,md:candles:1m,1786700171522
1786700219999,AMBER,1m,7222.50,7225.00,7216.00,7225.00,7468,1786700225202-0,md:candles:1m,1786700233604
1786700279999,AMBER,1m,7224.00,7225.00,7220.50,7223.50,354,1786700286260-0,md:candles:1m,1786700298079
1786700339999,AMBER,1m,7224.50,7226.00,7221.50,7226.00,941,1786700350391-0,md:candles:1m,1786700351053
1786700399999,AMBER,1m,7227.50,7227.50,7223.00,7224.00,1292,1786700410545-0,md:candles:1m,1786700412580
1786700459999,AMBER,1m,7224.00,7227.50,7224.00,7226.00,1673,1786700472028-0,md:candles:1m,1786700476026
1786700519999,AMBER,1m,7226.50,7226.50,7222.00,7223.50,2151,1786700526445-0,md:candles:1m,1786700529452
1786700579999,AMBER,1m,7222.00,7229.50,7209.50,7222.50,6781,1786700586156-0,md:candles:1m,1786700591306
1786700639999,AMBER,1m,7222.50,7226.50,7222.50,7223.50,1487,1786700646487-0,md:candles:1m,1786700653590
1786700699999,AMBER,1m,7224.50,7225.00,7217.50,7220.00,769,1786700707256-0,md:candles:1m,1786700715149
1786700759999,AMBER,1m,7224.00,7224.00,7224.00,7224.00,44,1786701006097-0,md:candles:1m,1786701010481
1786701059999,AMBER,1m,7224.00,7224.00,7224.00,7224.00,98,1786701068686-0,md:candles:1m,1786701071890
1786701119999,AMBER,1m,7224.00,7224.00,7224.00,7224.00,121,1786701131473-0,md:candles:1m,1786701137210
1786701179999,AMBER,1m,7224.00,7224.00,7224.00,7224.00,10,1786701203661-0,md:candles:1m,1786701215027
