ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,AMBUJACEM,10m,417.75,417.85,417.35,417.50,19332,1786699266711-0,md:candles:10m,1786699276624
1786699799999,AMBUJACEM,10m,417.70,417.80,417.20,417.50,59888,1786699867568-0,md:candles:10m,1786699876284
1786700399999,AMBUJACEM,10m,417.55,417.80,417.00,417.15,98370,1786700471362-0,md:candles:10m,1786700482979
1786700999999,AMBUJACEM,10m,417.05,417.50,417.00,417.35,98508,1786701074302-0,md:candles:10m,1786701080910
1786701599999,AMBUJACEM,10m,417.35,417.50,417.35,417.50,1577389,1786702902655-0,md:candles:10m,1786702906259
1786702806000,AMBUJACEM,1d,417.75,417.85,417.00,417.50,1853487,1786702811538-0,md:candles:1d,1786702818543
1786698959999,AMBUJACEM,1m,417.75,417.80,417.60,417.80,796,1786698965528-0,md:candles:1m,1786698974630
1786699019999,AMBUJACEM,1m,417.60,417.85,417.50,417.50,5253,1786699026554-0,md:candles:1m,1786699028548
1786699079999,AMBUJACEM,1m,417.45,417.55,417.35,417.55,2550,1786699087184-0,md:candles:1m,1786699094422
1786699139999,AMBUJACEM,1m,417.55,417.65,417.40,417.65,411,1786699146663-0,md:candles:1m,1786699146984
1786699199999,AMBUJACEM,1m,417.50,417.80,417.50,417.50,10322,1786699205169-0,md:candles:1m,1786699208603
1786699259999,AMBUJACEM,1m,417.70,417.75,417.55,417.60,2127,1786699266692-0,md:candles:1m,1786699273120
1786699319999,AMBUJACEM,1m,417.75,417.80,417.55,417.75,11573,1786699329909-0,md:candles:1m,1786699339124
1786699379999,AMBUJACEM,1m,417.65,417.75,417.50,417.75,6024,1786699386697-0,md:candles:1m,1786699391745
1786699439999,AMBUJACEM,1m,417.75,417.75,417.50,417.70,3104,1786699445293-0,md:candles:1m,1786699445600
1786699499999,AMBUJACEM,1m,417.70,417.70,417.50,417.50,4439,1786699511143-0,md:candles:1m,1786699523104
1786699559999,AMBUJACEM,1m,417.55,417.55,417.40,417.50,1096,1786699567042-0,md:candles:1m,1786699576085
1786699619999,AMBUJACEM,1m,417.50,417.65,417.20,417.50,9891,1786699626325-0,md:candles:1m,1786699627296
1786699679999,AMBUJACEM,1m,417.50,417.55,417.50,417.55,3994,1786699686936-0,md:candles:1m,1786699689702
1786699739999,AMBUJACEM,1m,417.50,417.55,417.25,417.50,5112,1786699746977-0,md:candles:1m,1786699754023
1786699799999,AMBUJACEM,1m,417.55,417.60,417.50,417.50,12528,1786699808080-0,md:candles:1m,1786699821286
1786699859999,AMBUJACEM,1m,417.55,417.60,417.50,417.55,6661,1786699867552-0,md:candles:1m,1786699871843
1786699919999,AMBUJACEM,1m,417.60,417.80,417.50,417.80,3257,1786699926965-0,md:candles:1m,1786699936026
1786699979999,AMBUJACEM,1m,417.75,417.75,417.60,417.60,2305,1786699985445-0,md:candles:1m,1786699989617
1786700039999,AMBUJACEM,1m,417.55,417.60,417.50,417.60,1609,1786700045723-0,md:candles:1m,1786700051805
1786700099999,AMBUJACEM,1m,417.60,417.60,417.50,417.50,5924,1786700108620-0,md:candles:1m,1786700118244
1786700159999,AMBUJACEM,1m,417.50,417.60,417.35,417.50,11835,1786700167202-0,md:candles:1m,1786700171522
1786700219999,AMBUJACEM,1m,417.55,417.60,417.30,417.60,18702,1786700227182-0,md:candles:1m,1786700233604
1786700279999,AMBUJACEM,1m,417.50,417.55,417.50,417.55,5407,1786700289325-0,md:candles:1m,1786700298079
