ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,ANGELONE,10m,287.70,287.80,287.40,287.75,23601,1786699270208-0,md:candles:10m,1786699276624
1786699799999,ANGELONE,10m,287.55,287.90,287.20,287.30,91743,1786699867765-0,md:candles:10m,1786699876284
1786700399999,ANGELONE,10m,287.35,287.35,286.60,286.90,182328,1786700471438-0,md:candles:10m,1786700482979
1786700999999,ANGELONE,10m,286.80,287.05,286.50,286.70,210048,1786701068109-0,md:candles:10m,1786701070102
1786701599999,ANGELONE,10m,286.70,287.30,286.70,287.30,3896308,1786702869002-0,md:candles:10m,1786702875014
1786702806000,ANGELONE,1d,287.70,287.90,286.50,287.30,4404028,1786702811749-0,md:candles:1d,1786702818543
1786698959999,ANGELONE,1m,287.70,287.80,287.55,287.80,3061,1786698970122-0,md:candles:1m,1786698974630
1786699019999,ANGELONE,1m,287.80,287.80,287.60,287.75,2818,1786699026583-0,md:candles:1m,1786699028548
1786699079999,ANGELONE,1m,287.60,287.75,287.40,287.75,2779,1786699087220-0,md:candles:1m,1786699094422
1786699139999,ANGELONE,1m,287.75,287.75,287.55,287.60,8906,1786699146670-0,md:candles:1m,1786699146984
1786699199999,ANGELONE,1m,287.75,287.75,287.60,287.75,6037,1786699205292-0,md:candles:1m,1786699208603
1786699259999,ANGELONE,1m,287.55,287.75,287.55,287.70,13271,1786699270199-0,md:candles:1m,1786699273120
1786699319999,ANGELONE,1m,287.70,287.75,287.60,287.70,8753,1786699325797-0,md:candles:1m,1786699326703
1786699379999,ANGELONE,1m,287.80,287.80,287.70,287.75,3937,1786699387373-0,md:candles:1m,1786699391745
1786699439999,ANGELONE,1m,287.70,287.75,287.55,287.60,4101,1786699445479-0,md:candles:1m,1786699445600
1786699499999,ANGELONE,1m,287.65,287.90,287.50,287.70,35234,1786699511274-0,md:candles:1m,1786699523104
1786699559999,ANGELONE,1m,287.55,287.75,287.55,287.60,4142,1786699566936-0,md:candles:1m,1786699576085
1786699619999,ANGELONE,1m,287.55,287.70,287.45,287.55,9045,1786699626525-0,md:candles:1m,1786699627296
1786699679999,ANGELONE,1m,287.55,287.55,287.40,287.50,4676,1786699687698-0,md:candles:1m,1786699689702
1786699739999,ANGELONE,1m,287.40,287.50,287.25,287.30,2518,1786699747001-0,md:candles:1m,1786699754023
1786699799999,ANGELONE,1m,287.25,287.30,287.20,287.30,6066,1786699808110-0,md:candles:1m,1786699821286
1786699859999,ANGELONE,1m,287.35,287.35,287.20,287.20,9401,1786699867759-0,md:candles:1m,1786699871843
1786699919999,ANGELONE,1m,287.20,287.30,287.20,287.25,11625,1786699927380-0,md:candles:1m,1786699936026
1786699979999,ANGELONE,1m,287.25,287.30,287.20,287.25,12932,1786699985624-0,md:candles:1m,1786699989617
1786700039999,ANGELONE,1m,287.25,287.30,287.20,287.25,8026,1786700045888-0,md:candles:1m,1786700051805
1786700099999,ANGELONE,1m,287.20,287.25,287.10,287.25,16829,1786700108741-0,md:candles:1m,1786700118244
1786700159999,ANGELONE,1m,287.25,287.25,287.00,287.15,24025,1786700167219-0,md:candles:1m,1786700171522
1786700219999,ANGELONE,1m,287.10,287.20,286.60,286.60,46804,1786700227332-0,md:candles:1m,1786700233604
1786700279999,ANGELONE,1m,286.65,286.85,286.60,286.75,15260,1786700289411-0,md:candles:1m,1786700298079
1786700339999,ANGELONE,1m,286.75,286.95,286.75,286.85,13389,1786700349270-0,md:candles:1m,1786700351053
1786700399999,ANGELONE,1m,286.95,286.95,286.75,286.90,24037,1786700407409-0,md:candles:1m,1786700412580
1786700459999,ANGELONE,1m,286.80,286.90,286.75,286.75,22788,1786700471415-0,md:candles:1m,1786700476026
1786700519999,ANGELONE,1m,286.95,287.05,286.75,287.05,29424,1786700525839-0,md:candles:1m,1786700529452
1786700579999,ANGELONE,1m,287.05,287.05,286.50,286.70,132360,1786700588612-0,md:candles:1m,1786700591306
1786700639999,ANGELONE,1m,286.75,287.00,286.65,286.85,10989,1786700645514-0,md:candles:1m,1786700653590
1786700699999,ANGELONE,1m,286.65,286.85,286.50,286.75,13923,1786700706777-0,md:candles:1m,1786700715149
1786700759999,ANGELONE,1m,286.70,286.70,286.70,286.70,564,1786701005493-0,md:candles:1m,1786701010481
1786701059999,ANGELONE,1m,286.70,286.70,286.70,286.70,8077,1786701068097-0,md:candles:1m,1786701071890
1786701119999,ANGELONE,1m,286.70,286.70,286.70,286.70,4102,1786701130877-0,md:candles:1m,1786701137210
1786701179999,ANGELONE,1m,286.70,286.70,286.70,286.70,1153,1786701191128-0,md:candles:1m,1786701191510
1786701239999,ANGELONE,1m,286.70,286.70,286.70,286.70,3431,1786701245238-0,md:candles:1m,1786701248276
1786701299999,ANGELONE,1m,286.70,286.70,286.70,286.70,797,1786701307397-0,md:candles:1m,1786701313567
1786701359999,ANGELONE,1m,286.70,286.70,286.70,286.70,136,1786701367215-0,md:candles:1m,1786701367943
1786701419999,ANGELONE,1m,286.70,286.70,286.70,286.70,538,1786701426070-0,md:candles:1m,1786701432770
1786701479999,ANGELONE,1m,286.70,286.70,286.70,286.70,2165,1786701488974-0,md:candles:1m,1786701496799
1786701539999,ANGELONE,1m,286.70,287.30,286.70,287.30,3875909,1786702811748-0,md:candles:1m,1786702820532
1786702859999,ANGELONE,1m,287.30,287.30,287.30,287.30,1252,1786702868999-0,md:candles:1m,1786702874006
1786702919999,ANGELONE,1m,287.30,287.30,287.30,287.30,198,1786702946207-0,md:candles:1m,1786702947398
1786702979999,ANGELONE,1m,287.30,287.30,287.30,287.30,1020,1786703042206-0,md:candles:1m,1786703044208
1786703039999,ANGELONE,1m,287.30,287.30,287.30,287.30,36,1786703187265-0,md:candles:1m,1786703195974
1786703219999,ANGELONE,1m,287.30,287.30,287.30,287.30,1,1786703244910-0,md:candles:1m,1786703250920
