ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,APLAPOLLO,10m,2094.10,2094.20,2088.60,2091.20,16835,1786699266740-0,md:candles:10m,1786699276624
1786699799999,APLAPOLLO,10m,2091.50,2096.20,2091.40,2095.30,11082,1786699867855-0,md:candles:10m,1786699876284
1786700399999,APLAPOLLO,10m,2096.00,2098.00,2093.80,2097.00,24324,1786700471458-0,md:candles:10m,1786700482979
1786700999999,APLAPOLLO,10m,2097.00,2098.60,2084.00,2084.00,23296,1786701068197-0,md:candles:10m,1786701070102
1786701599999,APLAPOLLO,10m,2084.00,2084.00,2083.30,2083.30,589304,1786703295975-0,md:candles:10m,1786703301981
1786702800000,APLAPOLLO,1d,2094.10,2098.60,2083.30,2083.30,664841,1786702805542-0,md:candles:1d,1786702807233
1786698959999,APLAPOLLO,1m,2094.10,2094.10,2091.10,2091.10,12105,1786698965573-0,md:candles:1m,1786698974630
1786699019999,APLAPOLLO,1m,2090.80,2092.40,2088.60,2090.60,1928,1786699025228-0,md:candles:1m,1786699028548
1786699079999,APLAPOLLO,1m,2090.60,2094.20,2090.60,2093.10,2106,1786699085619-0,md:candles:1m,1786699094422
1786699139999,APLAPOLLO,1m,2093.60,2094.20,2093.10,2093.60,583,1786699145612-0,md:candles:1m,1786699146984
1786699199999,APLAPOLLO,1m,2093.10,2093.40,2091.20,2091.20,113,1786699205367-0,md:candles:1m,1786699208603
1786699259999,APLAPOLLO,1m,2091.50,2093.60,2091.50,2092.90,869,1786699266718-0,md:candles:1m,1786699273120
1786699319999,APLAPOLLO,1m,2092.60,2092.60,2092.00,2092.00,273,1786699325808-0,md:candles:1m,1786699326703
1786699379999,APLAPOLLO,1m,2092.20,2092.50,2091.70,2091.80,252,1786699387422-0,md:candles:1m,1786699391745
1786699439999,APLAPOLLO,1m,2091.40,2092.10,2091.40,2092.00,395,1786699445626-0,md:candles:1m,1786699457822
1786699499999,APLAPOLLO,1m,2091.80,2092.30,2091.50,2092.00,656,1786699506869-0,md:candles:1m,1786699511111
1786699559999,APLAPOLLO,1m,2091.80,2092.20,2091.50,2092.20,1037,1786699567280-0,md:candles:1m,1786699576085
1786699619999,APLAPOLLO,1m,2092.20,2093.60,2091.80,2092.30,1749,1786699626670-0,md:candles:1m,1786699627296
1786699679999,APLAPOLLO,1m,2092.30,2095.00,2092.30,2095.00,1445,1786699686963-0,md:candles:1m,1786699689702
1786699739999,APLAPOLLO,1m,2094.20,2096.20,2093.50,2095.90,2511,1786699745494-0,md:candles:1m,1786699754023
1786699799999,APLAPOLLO,1m,2095.60,2096.00,2094.50,2095.30,1895,1786699805539-0,md:candles:1m,1786699807941
1786699859999,APLAPOLLO,1m,2096.00,2096.00,2095.30,2095.80,1033,1786699867846-0,md:candles:1m,1786699871843
1786699919999,APLAPOLLO,1m,2096.00,2096.60,2093.90,2094.10,4780,1786699927431-0,md:candles:1m,1786699936026
1786699979999,APLAPOLLO,1m,2095.00,2095.30,2094.10,2095.00,1903,1786699985540-0,md:candles:1m,1786699989617
1786700039999,APLAPOLLO,1m,2094.30,2096.00,2094.30,2095.30,1095,1786700046007-0,md:candles:1m,1786700051805
1786700099999,APLAPOLLO,1m,2095.30,2096.00,2094.80,2094.80,1190,1786700108917-0,md:candles:1m,1786700118244
1786700159999,APLAPOLLO,1m,2095.60,2096.40,2094.40,2094.70,4409,1786700167230-0,md:candles:1m,1786700171522
1786700219999,APLAPOLLO,1m,2095.40,2096.00,2095.00,2095.90,3176,1786700227401-0,md:candles:1m,1786700233604
1786700279999,APLAPOLLO,1m,2095.90,2096.10,2093.80,2095.90,2593,1786700289433-0,md:candles:1m,1786700298079
1786700339999,APLAPOLLO,1m,2095.80,2098.00,2095.80,2098.00,2740,1786700349278-0,md:candles:1m,1786700351053
1786700399999,APLAPOLLO,1m,2097.10,2098.00,2096.50,2097.00,1405,1786700406052-0,md:candles:1m,1786700412580
1786700459999,APLAPOLLO,1m,2097.00,2097.90,2096.60,2097.50,2229,1786700471434-0,md:candles:1m,1786700476026
1786700519999,APLAPOLLO,1m,2098.40,2098.60,2097.50,2098.00,3388,1786700525892-0,md:candles:1m,1786700529452
1786700579999,APLAPOLLO,1m,2097.80,2098.50,2096.10,2097.00,6063,1786700590670-0,md:candles:1m,1786700591306
1786700639999,APLAPOLLO,1m,2096.50,2097.00,2092.40,2093.40,8619,1786700645522-0,md:candles:1m,1786700653590
1786700699999,APLAPOLLO,1m,2092.40,2093.20,2084.00,2084.00,2997,1786701005596-0,md:candles:1m,1786701010481
1786701059999,APLAPOLLO,1m,2084.00,2084.00,2084.00,2084.00,2540,1786701068191-0,md:candles:1m,1786701071890
1786701119999,APLAPOLLO,1m,2084.00,2084.00,2084.00,2084.00,172,1786701130973-0,md:candles:1m,1786701137210
1786701179999,APLAPOLLO,1m,2084.00,2084.00,2084.00,2084.00,471,1786701185300-0,md:candles:1m,1786701191510
1786701239999,APLAPOLLO,1m,2084.00,2084.00,2084.00,2084.00,9688,1786701265211-0,md:candles:1m,1786701271537
1786701299999,APLAPOLLO,1m,2084.00,2084.00,2084.00,2084.00,106,1786701307464-0,md:candles:1m,1786701313567
1786701359999,APLAPOLLO,1m,2084.00,2084.00,2084.00,2084.00,2,1786701399524-0,md:candles:1m,1786701400511
1786701419999,APLAPOLLO,1m,2084.00,2084.00,2084.00,2084.00,870,1786701426079-0,md:candles:1m,1786701432770
1786701479999,APLAPOLLO,1m,2084.00,2084.00,2084.00,2084.00,70,1786701497414-0,md:candles:1m,1786701507390
1786701539999,APLAPOLLO,1m,2084.00,2084.00,2083.30,2083.30,575385,1786702805540-0,md:candles:1m,1786702808525
1786702859999,APLAPOLLO,1m,2083.30,2083.30,2083.30,2083.30,0,1786703295970-0,md:candles:1m,1786703302579
1786699799999,APLAPOLLO,30m,2094.10,2096.20,2088.60,2095.30,27917,1786699867856-0,md:candles:30m,1786699872287
1786701599999,APLAPOLLO,30m,2096.00,2098.60,2083.30,2083.30,636924,1786703295978-0,md:candles:30m,1786703301981
1786699199999,APLAPOLLO,5m,2094.10,2094.20,2088.60,2091.20,16835,1786699266738-0,md:candles:5m,1786699276624
1786699499999,APLAPOLLO,5m,2091.50,2093.60,2091.40,2092.00,2445,1786699567283-0,md:candles:5m,1786699570970
1786699799999,APLAPOLLO,5m,2091.80,2096.20,2091.50,2095.30,8637,1786699867853-0,md:candles:5m,1786699868444
1786700099999,APLAPOLLO,5m,2096.00,2096.60,2093.90,2094.80,10001,1786700167235-0,md:candles:5m,1786700170829
1786700399999,APLAPOLLO,5m,2095.60,2098.00,2093.80,2097.00,14323,1786700471456-0,md:candles:5m,1786700482979
1786700699999,APLAPOLLO,5m,2097.00,2098.60,2084.00,2084.00,23296,1786701068196-0,md:candles:5m,1786701068420
1786701299999,APLAPOLLO,5m,2084.00,2084.00,2084.00,2084.00,12977,1786701399526-0,md:candles:5m,1786701400511
1786701599999,APLAPOLLO,5m,2084.00,2084.00,2083.30,2083.30,576327,1786703295972-0,md:candles:5m,1786703306386
