ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,APOLLOHOSP,10m,8889.00,8899.00,8889.00,8894.00,10866,1786699266306-0,md:candles:10m,1786699276624
1786699799999,APOLLOHOSP,10m,8892.50,8919.00,8883.00,8915.50,42677,1786699866120-0,md:candles:10m,1786699876284
1786700399999,APOLLOHOSP,10m,8917.50,8921.00,8907.50,8913.50,48954,1786700465918-0,md:candles:10m,1786700471301
1786700999999,APOLLOHOSP,10m,8914.50,8921.50,8895.50,8919.00,26288,1786701068315-0,md:candles:10m,1786701070102
1786701599999,APOLLOHOSP,10m,8919.00,8920.50,8919.00,8920.50,1268954,1786702889330-0,md:candles:10m,1786702895644
1786702806000,APOLLOHOSP,1d,8889.00,8921.50,8883.00,8920.50,1397739,1786702811949-0,md:candles:1d,1786702818543
1786698959999,APOLLOHOSP,1m,8889.00,8893.00,8889.00,8892.00,894,1786698965594-0,md:candles:1m,1786698974630
1786699019999,APOLLOHOSP,1m,8893.50,8897.50,8889.00,8892.50,4055,1786699026212-0,md:candles:1m,1786699028548
1786699079999,APOLLOHOSP,1m,8894.00,8896.50,8890.50,8895.00,1507,1786699086984-0,md:candles:1m,1786699094422
1786699139999,APOLLOHOSP,1m,8895.50,8899.00,8890.00,8891.00,2320,1786699145679-0,md:candles:1m,1786699146984
1786699199999,APOLLOHOSP,1m,8891.00,8898.00,8890.00,8894.00,2090,1786699205656-0,md:candles:1m,1786699208603
1786699259999,APOLLOHOSP,1m,8892.50,8895.50,8891.00,8895.00,1319,1786699266289-0,md:candles:1m,1786699273120
1786699319999,APOLLOHOSP,1m,8893.50,8895.00,8887.00,8889.50,2706,1786699325746-0,md:candles:1m,1786699326703
1786699379999,APOLLOHOSP,1m,8889.00,8889.50,8883.00,8886.00,2441,1786699387494-0,md:candles:1m,1786699391745
1786699439999,APOLLOHOSP,1m,8885.00,8891.50,8885.00,8890.50,1562,1786699445687-0,md:candles:1m,1786699457822
1786699499999,APOLLOHOSP,1m,8891.50,8895.00,8890.00,8894.50,4302,1786699506113-0,md:candles:1m,1786699511111
1786699559999,APOLLOHOSP,1m,8894.50,8899.00,8891.00,8894.00,6952,1786699565374-0,md:candles:1m,1786699576085
1786699619999,APOLLOHOSP,1m,8894.00,8898.00,8894.00,8897.00,1613,1786699625919-0,md:candles:1m,1786699627296
1786699679999,APOLLOHOSP,1m,8898.00,8902.00,8894.50,8901.00,4603,1786699685922-0,md:candles:1m,1786699689702
1786699739999,APOLLOHOSP,1m,8899.00,8906.50,8898.50,8906.00,4734,1786699745683-0,md:candles:1m,1786699754023
1786699799999,APOLLOHOSP,1m,8905.00,8919.00,8905.00,8915.50,12445,1786699805843-0,md:candles:1m,1786699807941
