ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,ASHOKLEY,10m,172.91,173.14,172.69,173.05,276989,1786699265643-0,md:candles:10m,1786699276624
1786699799999,ASHOKLEY,10m,173.07,174.09,173.07,173.50,2087663,1786699865631-0,md:candles:10m,1786699876284
1786700399999,ASHOKLEY,10m,173.52,173.89,173.10,173.56,1433113,1786700465203-0,md:candles:10m,1786700471301
1786700999999,ASHOKLEY,10m,173.57,173.80,172.40,172.60,1152366,1786701067888-0,md:candles:10m,1786701070102
1786701599999,ASHOKLEY,10m,172.60,172.60,171.64,171.64,38967739,1786702870512-0,md:candles:10m,1786702875014
1786702800000,ASHOKLEY,1d,172.91,174.09,171.64,171.64,43917870,1786702805332-0,md:candles:1d,1786702807233
1786698959999,ASHOKLEY,1m,172.91,172.95,172.69,172.79,92637,1786698965482-0,md:candles:1m,1786698974630
1786699019999,ASHOKLEY,1m,172.76,172.99,172.76,172.94,36114,1786699026103-0,md:candles:1m,1786699028548
1786699079999,ASHOKLEY,1m,172.95,173.09,172.91,173.05,86021,1786699085614-0,md:candles:1m,1786699094422
1786699139999,ASHOKLEY,1m,173.14,173.14,172.99,173.05,27807,1786699146091-0,md:candles:1m,1786699146984
1786699199999,ASHOKLEY,1m,173.05,173.14,173.05,173.05,34410,1786699205643-0,md:candles:1m,1786699208603
1786699259999,ASHOKLEY,1m,173.07,173.15,173.07,173.11,23030,1786699265632-0,md:candles:1m,1786699273120
1786699319999,ASHOKLEY,1m,173.12,173.70,173.12,173.69,101784,1786699325479-0,md:candles:1m,1786699326703
1786699379999,ASHOKLEY,1m,173.62,173.74,173.53,173.72,142963,1786699385190-0,md:candles:1m,1786699391745
1786699439999,ASHOKLEY,1m,173.72,173.72,173.39,173.39,467527,1786699445281-0,md:candles:1m,1786699445600
1786699499999,ASHOKLEY,1m,173.36,173.79,173.28,173.73,131851,1786699505285-0,md:candles:1m,1786699511111
1786699559999,ASHOKLEY,1m,173.74,174.05,173.63,174.05,471760,1786699565768-0,md:candles:1m,1786699576085
1786699619999,ASHOKLEY,1m,174.03,174.09,173.96,174.00,167143,1786699625411-0,md:candles:1m,1786699627296
1786699679999,ASHOKLEY,1m,174.00,174.05,173.95,173.95,198409,1786699685322-0,md:candles:1m,1786699689702
1786699739999,ASHOKLEY,1m,174.00,174.03,173.57,173.57,156539,1786699745943-0,md:candles:1m,1786699754023
1786699799999,ASHOKLEY,1m,173.68,173.76,173.34,173.50,226657,1786699805242-0,md:candles:1m,1786699807941
1786699859999,ASHOKLEY,1m,173.52,173.78,173.43,173.69,289759,1786699865625-0,md:candles:1m,1786699871843
1786699919999,ASHOKLEY,1m,173.72,173.79,173.66,173.75,39635,1786699925716-0,md:candles:1m,1786699936026
1786699979999,ASHOKLEY,1m,173.74,173.85,173.71,173.72,113536,1786699985718-0,md:candles:1m,1786699989617
1786700039999,ASHOKLEY,1m,173.73,173.79,173.60,173.70,86738,1786700045384-0,md:candles:1m,1786700051805
1786700099999,ASHOKLEY,1m,173.64,173.89,173.61,173.83,147750,1786700105904-0,md:candles:1m,1786700118244
1786700159999,ASHOKLEY,1m,173.80,173.86,173.45,173.50,202461,1786700165137-0,md:candles:1m,1786700171522
1786700219999,ASHOKLEY,1m,173.54,173.57,173.14,173.21,211115,1786700225753-0,md:candles:1m,1786700233604
1786700279999,ASHOKLEY,1m,173.19,173.31,173.10,173.29,104942,1786700285489-0,md:candles:1m,1786700286220
1786700339999,ASHOKLEY,1m,173.27,173.58,173.25,173.50,102309,1786700345616-0,md:candles:1m,1786700351053
1786700399999,ASHOKLEY,1m,173.50,173.66,173.43,173.56,134868,1786700405298-0,md:candles:1m,1786700412580
1786700459999,ASHOKLEY,1m,173.57,173.80,173.57,173.75,217755,1786700465197-0,md:candles:1m,1786700476026
1786700519999,ASHOKLEY,1m,173.75,173.80,173.50,173.62,168468,1786700525397-0,md:candles:1m,1786700529452
1786700579999,ASHOKLEY,1m,173.59,173.78,172.57,172.98,607817,1786700585494-0,md:candles:1m,1786700591306
1786700639999,ASHOKLEY,1m,172.98,173.00,172.56,172.59,77941,1786700645406-0,md:candles:1m,1786700653590
1786700699999,ASHOKLEY,1m,172.56,172.74,172.40,172.60,80385,1786701005284-0,md:candles:1m,1786701010481
1786701059999,ASHOKLEY,1m,172.60,172.60,172.60,172.60,4252,1786701067883-0,md:candles:1m,1786701071890
1786701119999,ASHOKLEY,1m,172.60,172.60,172.60,172.60,6698,1786701136887-0,md:candles:1m,1786701137210
1786701179999,ASHOKLEY,1m,172.60,172.60,172.60,172.60,43345,1786701191014-0,md:candles:1m,1786701191510
1786701239999,ASHOKLEY,1m,172.60,172.60,172.60,172.60,17191,1786701251464-0,md:candles:1m,1786701260413
1786701299999,ASHOKLEY,1m,172.60,172.60,172.60,172.60,6476,1786701307181-0,md:candles:1m,1786701313567
1786701359999,ASHOKLEY,1m,172.60,172.60,172.60,172.60,687,1786701366942-0,md:candles:1m,1786701367943
1786701419999,ASHOKLEY,1m,172.60,172.60,172.60,172.60,4,1786701425870-0,md:candles:1m,1786701432770
1786701479999,ASHOKLEY,1m,172.60,172.60,172.60,172.60,1470,1786701488780-0,md:candles:1m,1786701496799
1786701539999,ASHOKLEY,1m,172.60,172.60,171.64,171.64,38887616,1786702805331-0,md:candles:1m,1786702808525
1786702859999,ASHOKLEY,1m,171.64,171.64,171.64,171.64,17261,1786702870505-0,md:candles:1m,1786702874006
1786702919999,ASHOKLEY,1m,171.64,171.64,171.64,171.64,1975,1786702927582-0,md:candles:1m,1786702937190
1786702979999,ASHOKLEY,1m,171.64,171.64,171.64,171.64,1059,1786703020575-0,md:candles:1m,1786703021767
1786703039999,ASHOKLEY,1m,171.64,171.64,171.64,171.64,243,1786703048509-0,md:candles:1m,1786703055708
1786703099999,ASHOKLEY,1m,171.64,171.64,171.64,171.64,1047,1786703135607-0,md:candles:1m,1786703141428
1786703159999,ASHOKLEY,1m,171.64,171.64,171.64,171.64,7,1786703167846-0,md:candles:1m,1786703173539
1786703219999,ASHOKLEY,1m,171.64,171.64,171.64,171.64,865,1786703235603-0,md:candles:1m,1786703239900
1786703279999,ASHOKLEY,1m,171.64,171.64,171.64,171.64,1078,1786703309495-0,md:candles:1m,1786703314394
1786703339999,ASHOKLEY,1m,171.64,171.64,171.64,171.64,839,1786703395397-0,md:candles:1m,1786703401611
1786699799999,ASHOKLEY,30m,172.91,174.09,172.69,173.50,2364652,1786699865632-0,md:candles:30m,1786699872287
1786701599999,ASHOKLEY,30m,173.52,173.89,171.64,171.64,41553218,1786702870515-0,md:candles:30m,1786702871507
1786699199999,ASHOKLEY,5m,172.91,173.14,172.69,173.05,276989,1786699265641-0,md:candles:5m,1786699276624
1786699499999,ASHOKLEY,5m,173.07,173.79,173.07,173.73,867155,1786699565769-0,md:candles:5m,1786699570970
1786699799999,ASHOKLEY,5m,173.74,174.09,173.34,173.50,1220508,1786699865630-0,md:candles:5m,1786699868444
1786700099999,ASHOKLEY,5m,173.52,173.89,173.43,173.83,677418,1786700165140-0,md:candles:5m,1786700170829
1786700399999,ASHOKLEY,5m,173.80,173.86,173.10,173.56,755695,1786700465201-0,md:candles:5m,1786700471362
1786700699999,ASHOKLEY,5m,173.57,173.80,172.40,172.60,1152366,1786701067887-0,md:candles:5m,1786701068420
1786701299999,ASHOKLEY,5m,172.60,172.60,172.60,172.60,77962,1786701366944-0,md:candles:5m,1786701367545
1786701599999,ASHOKLEY,5m,172.60,172.60,171.64,171.64,38889777,1786702870508-0,md:candles:5m,1786702874028
1786703099999,ASHOKLEY,5m,171.64,171.64,171.64,171.64,21585,1786703167848-0,md:candles:5m,1786703174451
