ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,ASIANPAINT,10m,2704.90,2705.60,2702.40,2703.00,4849,1786699265368-0,md:candles:10m,1786699265610
1786699799999,ASIANPAINT,10m,2703.00,2708.80,2703.00,2707.20,23663,1786699868935-0,md:candles:10m,1786699876284
1786700399999,ASIANPAINT,10m,2707.20,2708.70,2703.00,2704.50,30818,1786700465635-0,md:candles:10m,1786700471301
1786700999999,ASIANPAINT,10m,2705.10,2708.50,2702.20,2705.00,20664,1786701075607-0,md:candles:10m,1786701080910
1786701599999,ASIANPAINT,10m,2705.00,2705.00,2696.30,2696.30,665145,1786702865604-0,md:candles:10m,1786702875014
1786702807000,ASIANPAINT,1d,2704.90,2708.80,2696.30,2696.30,745139,1786702812739-0,md:candles:1d,1786702818543
1786698959999,ASIANPAINT,1m,2704.90,2705.00,2704.80,2704.80,82,1786698965342-0,md:candles:1m,1786698974630
1786699019999,ASIANPAINT,1m,2704.80,2705.30,2704.50,2705.30,725,1786699028877-0,md:candles:1m,1786699041361
1786699079999,ASIANPAINT,1m,2705.30,2705.60,2704.00,2704.70,1201,1786699085654-0,md:candles:1m,1786699094422
1786699139999,ASIANPAINT,1m,2704.50,2704.50,2703.30,2703.50,931,1786699145178-0,md:candles:1m,1786699146984
1786699199999,ASIANPAINT,1m,2703.70,2704.00,2702.40,2703.00,1910,1786699206285-0,md:candles:1m,1786699208603
1786699259999,ASIANPAINT,1m,2703.00,2708.80,2703.00,2708.80,2522,1786699265355-0,md:candles:1m,1786699273120
1786699319999,ASIANPAINT,1m,2707.50,2707.50,2705.00,2706.20,10695,1786699326275-0,md:candles:1m,1786699326703
1786699379999,ASIANPAINT,1m,2706.60,2707.00,2706.00,2706.40,1158,1786699387898-0,md:candles:1m,1786699391745
1786699439999,ASIANPAINT,1m,2706.60,2707.70,2706.60,2707.70,1293,1786699446378-0,md:candles:1m,1786699457822
1786699499999,ASIANPAINT,1m,2707.80,2707.90,2707.60,2707.80,2017,1786699508079-0,md:candles:1m,1786699511111
1786699559999,ASIANPAINT,1m,2707.60,2707.60,2706.30,2706.60,834,1786699568218-0,md:candles:1m,1786699576085
1786699619999,ASIANPAINT,1m,2707.30,2707.40,2705.40,2705.40,938,1786699627650-0,md:candles:1m,1786699639246
1786699679999,ASIANPAINT,1m,2706.80,2707.00,2706.30,2706.80,1853,1786699687962-0,md:candles:1m,1786699689702
1786699739999,ASIANPAINT,1m,2706.60,2707.10,2706.60,2707.10,1323,1786699748042-0,md:candles:1m,1786699754023
1786699799999,ASIANPAINT,1m,2707.20,2707.20,2706.90,2707.20,1030,1786699805965-0,md:candles:1m,1786699807941
1786699859999,ASIANPAINT,1m,2707.20,2707.90,2707.10,2707.30,2925,1786699868927-0,md:candles:1m,1786699871843
1786699919999,ASIANPAINT,1m,2707.50,2707.60,2706.20,2706.50,1667,1786699928137-0,md:candles:1m,1786699936026
1786699979999,ASIANPAINT,1m,2706.60,2707.20,2706.60,2707.20,1206,1786699986640-0,md:candles:1m,1786699989617
