ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,ASTRAL,10m,1561.40,1561.40,1558.90,1559.00,2934,1786699266715-0,md:candles:10m,1786699276624
1786699799999,ASTRAL,10m,1559.00,1559.50,1556.60,1557.20,16051,1786699867657-0,md:candles:10m,1786699876284
1786700399999,ASTRAL,10m,1557.70,1559.10,1554.70,1558.00,50836,1786700465603-0,md:candles:10m,1786700471301
1786700999999,ASTRAL,10m,1557.60,1559.90,1554.20,1558.50,30249,1786701074425-0,md:candles:10m,1786701080910
1786701599999,ASTRAL,10m,1558.50,1558.50,1556.30,1556.30,887787,1786702870522-0,md:candles:10m,1786702875014
1786702830000,ASTRAL,1d,1561.40,1561.40,1554.20,1556.30,987857,1786702836070-0,md:candles:1d,1786702840071
1786698959999,ASTRAL,1m,1561.40,1561.40,1560.70,1560.70,186,1786698974630-0,md:candles:1m,1786698974630
1786699019999,ASTRAL,1m,1561.10,1561.10,1560.00,1560.00,256,1786699028020-0,md:candles:1m,1786699028548
1786699079999,ASTRAL,1m,1560.00,1560.00,1559.10,1559.10,1045,1786699088624-0,md:candles:1m,1786699094422
1786699139999,ASTRAL,1m,1559.60,1559.60,1558.90,1559.30,1197,1786699151712-0,md:candles:1m,1786699158101
1786699199999,ASTRAL,1m,1559.30,1559.30,1559.00,1559.00,250,1786699205274-0,md:candles:1m,1786699208603
1786699259999,ASTRAL,1m,1559.00,1559.30,1559.00,1559.00,1089,1786699266694-0,md:candles:1m,1786699273120
1786699319999,ASTRAL,1m,1559.10,1559.50,1559.00,1559.20,777,1786699325788-0,md:candles:1m,1786699326703
1786699379999,ASTRAL,1m,1559.40,1559.50,1559.20,1559.20,340,1786699386711-0,md:candles:1m,1786699391745
1786699439999,ASTRAL,1m,1559.20,1559.30,1558.70,1559.00,732,1786699445387-0,md:candles:1m,1786699445600
1786699499999,ASTRAL,1m,1558.90,1559.30,1558.80,1558.90,847,1786699511202-0,md:candles:1m,1786699523104
1786699559999,ASTRAL,1m,1558.90,1559.10,1557.60,1558.60,5007,1786699567066-0,md:candles:1m,1786699576085
1786699619999,ASTRAL,1m,1558.60,1558.60,1557.40,1557.90,2174,1786699626415-0,md:candles:1m,1786699627296
1786699679999,ASTRAL,1m,1557.90,1558.10,1557.00,1557.30,1766,1786699686950-0,md:candles:1m,1786699689702
1786699739999,ASTRAL,1m,1558.30,1558.30,1556.60,1557.10,2270,1786699746989-0,md:candles:1m,1786699754023
1786699799999,ASTRAL,1m,1557.40,1557.60,1556.60,1557.20,1049,1786699808095-0,md:candles:1m,1786699821286
1786699859999,ASTRAL,1m,1557.70,1557.70,1556.30,1556.30,4631,1786699867645-0,md:candles:1m,1786699871843
1786699919999,ASTRAL,1m,1556.30,1556.30,1555.90,1556.10,2365,1786699927277-0,md:candles:1m,1786699936026
1786699979999,ASTRAL,1m,1556.00,1557.40,1556.00,1557.40,1657,1786699985562-0,md:candles:1m,1786699989617
1786700039999,ASTRAL,1m,1557.90,1558.60,1557.20,1557.60,8173,1786700045799-0,md:candles:1m,1786700051805
1786700099999,ASTRAL,1m,1557.20,1559.00,1557.20,1559.00,4510,1786700108725-0,md:candles:1m,1786700118244
1786700159999,ASTRAL,1m,1558.70,1558.70,1555.50,1556.20,6704,1786700167209-0,md:candles:1m,1786700171522
1786700219999,ASTRAL,1m,1555.90,1556.30,1554.70,1556.10,11274,1786700227286-0,md:candles:1m,1786700233604
