ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,AUBANK,10m,1083.00,1083.80,1082.50,1083.50,12701,1786699265215-0,md:candles:10m,1786699265610
1786699799999,AUBANK,10m,1083.50,1088.50,1083.20,1086.00,94904,1786699868909-0,md:candles:10m,1786699876284
1786700399999,AUBANK,10m,1086.00,1086.20,1083.30,1083.50,42155,1786700465565-0,md:candles:10m,1786700471301
1786700999999,AUBANK,10m,1083.20,1083.20,1080.90,1081.10,39751,1786701081817-0,md:candles:10m,1786701092722
1786701599999,AUBANK,10m,1081.10,1081.90,1081.10,1081.90,1014528,1786702894745-0,md:candles:10m,1786702895644
1786702807000,AUBANK,1d,1083.00,1088.50,1080.90,1081.90,1204039,1786702812639-0,md:candles:1d,1786702818543
1786698959999,AUBANK,1m,1083.00,1083.20,1083.00,1083.20,1448,1786698965224-0,md:candles:1m,1786698974630
1786699019999,AUBANK,1m,1083.10,1083.80,1082.50,1082.90,5050,1786699028732-0,md:candles:1m,1786699041361
1786699079999,AUBANK,1m,1083.00,1083.40,1082.90,1083.00,1953,1786699087716-0,md:candles:1m,1786699094422
1786699139999,AUBANK,1m,1083.00,1083.80,1082.70,1083.20,3105,1786699152711-0,md:candles:1m,1786699158101
1786699199999,AUBANK,1m,1083.40,1083.80,1083.20,1083.50,1145,1786699206180-0,md:candles:1m,1786699208603
1786699259999,AUBANK,1m,1083.50,1083.90,1083.50,1083.70,2256,1786699265197-0,md:candles:1m,1786699273120
1786699319999,AUBANK,1m,1083.50,1083.90,1083.50,1083.50,3285,1786699326760-0,md:candles:1m,1786699339124
1786699379999,AUBANK,1m,1083.90,1084.00,1083.70,1083.70,1917,1786699387714-0,md:candles:1m,1786699391745
1786699439999,AUBANK,1m,1083.70,1084.00,1083.70,1084.00,1150,1786699446295-0,md:candles:1m,1786699457822
1786699499999,AUBANK,1m,1083.90,1084.00,1083.20,1083.30,3849,1786699508075-0,md:candles:1m,1786699511111
1786699559999,AUBANK,1m,1083.80,1084.00,1083.60,1084.00,2379,1786699568093-0,md:candles:1m,1786699576085
1786699619999,AUBANK,1m,1083.70,1087.50,1083.70,1087.50,16656,1786699627411-0,md:candles:1m,1786699639246
1786699679999,AUBANK,1m,1087.20,1088.50,1087.20,1088.50,38498,1786699688619-0,md:candles:1m,1786699689702
1786699739999,AUBANK,1m,1087.70,1088.00,1085.80,1086.20,22273,1786699748115-0,md:candles:1m,1786699754023
1786699799999,AUBANK,1m,1086.20,1086.60,1085.80,1086.00,2641,1786699805845-0,md:candles:1m,1786699807941
1786699859999,AUBANK,1m,1086.00,1086.20,1085.80,1086.20,6161,1786699868885-0,md:candles:1m,1786699871843
1786699919999,AUBANK,1m,1084.80,1085.30,1084.60,1085.30,7673,1786699928055-0,md:candles:1m,1786699936026
1786699979999,AUBANK,1m,1085.30,1085.30,1085.00,1085.00,3186,1786699986551-0,md:candles:1m,1786699989617
1786700039999,AUBANK,1m,1084.90,1085.00,1084.00,1084.50,2690,1786700046904-0,md:candles:1m,1786700051805
1786700099999,AUBANK,1m,1084.50,1084.60,1084.00,1084.60,2041,1786700109801-0,md:candles:1m,1786700118244
1786700159999,AUBANK,1m,1084.60,1084.60,1084.00,1084.20,5293,1786700165625-0,md:candles:1m,1786700171522
1786700219999,AUBANK,1m,1084.10,1084.20,1084.00,1084.00,2968,1786700228563-0,md:candles:1m,1786700233604
1786700279999,AUBANK,1m,1084.10,1084.10,1083.90,1084.00,4183,1786700290368-0,md:candles:1m,1786700298079
1786700339999,AUBANK,1m,1083.90,1083.90,1083.50,1083.90,3499,1786700350504-0,md:candles:1m,1786700351053
1786700399999,AUBANK,1m,1083.80,1083.80,1083.30,1083.50,4461,1786700409375-0,md:candles:1m,1786700412580
1786700459999,AUBANK,1m,1083.20,1083.20,1082.60,1082.70,10974,1786700465551-0,md:candles:1m,1786700476026
1786700519999,AUBANK,1m,1082.60,1082.80,1082.60,1082.80,4476,1786700526693-0,md:candles:1m,1786700529452
1786700579999,AUBANK,1m,1082.70,1082.80,1082.70,1082.70,7267,1786700591517-0,md:candles:1m,1786700602905
1786700639999,AUBANK,1m,1082.30,1082.80,1082.10,1082.80,12651,1786700646507-0,md:candles:1m,1786700653590
1786700699999,AUBANK,1m,1082.30,1082.80,1080.90,1082.80,4207,1786700707638-0,md:candles:1m,1786700715149
1786700759999,AUBANK,1m,1081.10,1081.10,1081.10,1081.10,176,1786701006731-0,md:candles:1m,1786701010481
1786701059999,AUBANK,1m,1081.10,1081.10,1081.10,1081.10,13945,1786701081812-0,md:candles:1m,1786701082805
1786701119999,AUBANK,1m,1081.10,1081.10,1081.10,1081.10,474,1786701125768-0,md:candles:1m,1786701126761
1786701179999,AUBANK,1m,1081.10,1081.10,1081.10,1081.10,27,1786701192105-0,md:candles:1m,1786701203615
1786701239999,AUBANK,1m,1081.10,1081.10,1081.10,1081.10,2081,1786701266113-0,md:candles:1m,1786701271537
1786701299999,AUBANK,1m,1081.10,1081.10,1081.10,1081.10,96,1786701314980-0,md:candles:1m,1786701324284
1786701359999,AUBANK,1m,1081.10,1081.10,1081.10,1081.10,2911,1786701368054-0,md:candles:1m,1786701379364
1786701419999,AUBANK,1m,1081.10,1081.10,1081.10,1081.10,50,1786701467627-0,md:candles:1m,1786701476435
1786701479999,AUBANK,1m,1081.10,1081.10,1081.10,1081.10,918,1786701518829-0,md:candles:1m,1786701529772
1786701539999,AUBANK,1m,1081.90,1081.90,1081.90,1081.90,994026,1786702812638-0,md:candles:1m,1786702820532
1786702859999,AUBANK,1m,1081.90,1081.90,1081.90,1081.90,268,1786702894741-0,md:candles:1m,1786702895641
1786702919999,AUBANK,1m,1081.90,1081.90,1081.90,1081.90,1,1786703064442-0,md:candles:1m,1786703065931
1786699799999,AUBANK,30m,1083.00,1088.50,1082.50,1086.00,107605,1786699868911-0,md:candles:30m,1786699872287
1786701599999,AUBANK,30m,1086.00,1086.20,1080.90,1081.90,1096434,1786702894746-0,md:candles:30m,1786702905661
1786699199999,AUBANK,5m,1083.00,1083.80,1082.50,1083.50,12701,1786699265214-0,md:candles:5m,1786699265610
1786699499999,AUBANK,5m,1083.50,1084.00,1083.20,1083.30,12457,1786699568099-0,md:candles:5m,1786699570970
1786699799999,AUBANK,5m,1083.80,1088.50,1083.60,1086.00,82447,1786699868907-0,md:candles:5m,1786699880291
1786700099999,AUBANK,5m,1086.00,1086.20,1084.00,1084.60,21751,1786700165631-0,md:candles:5m,1786700170829
1786700399999,AUBANK,5m,1084.60,1084.60,1083.30,1083.50,20404,1786700465564-0,md:candles:5m,1786700471362
1786700699999,AUBANK,5m,1083.20,1083.20,1080.90,1082.80,39575,1786701006737-0,md:candles:5m,1786701013188
1786700999999,AUBANK,5m,1081.10,1081.10,1081.10,1081.10,176,1786701081815-0,md:candles:5m,1786701092706
1786701299999,AUBANK,5m,1081.10,1081.10,1081.10,1081.10,16623,1786701368057-0,md:candles:5m,1786701379364
1786701599999,AUBANK,5m,1081.10,1081.90,1081.10,1081.90,997905,1786702894743-0,md:candles:5m,1786702895643
