ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,AUROPHARMA,10m,1629.40,1629.40,1626.10,1626.40,9210,1786699265479-0,md:candles:10m,1786699265610
1786699799999,AUROPHARMA,10m,1626.40,1629.00,1625.40,1628.00,19996,1786699867559-0,md:candles:10m,1786699876284
1786700399999,AUROPHARMA,10m,1627.80,1627.80,1623.50,1625.40,65864,1786700471348-0,md:candles:10m,1786700482979
1786700999999,AUROPHARMA,10m,1625.00,1628.50,1622.00,1625.80,46614,1786701067896-0,md:candles:10m,1786701070102
1786701599999,AUROPHARMA,10m,1625.80,1625.80,1622.10,1622.10,819227,1786702879017-0,md:candles:10m,1786702885431
1786702800000,AUROPHARMA,1d,1629.40,1629.40,1622.00,1622.10,960911,1786702805336-0,md:candles:1d,1786702807233
1786698959999,AUROPHARMA,1m,1629.40,1629.40,1629.10,1629.10,132,1786698965525-0,md:candles:1m,1786698974630
1786699019999,AUROPHARMA,1m,1629.20,1629.40,1628.20,1628.50,1520,1786699027967-0,md:candles:1m,1786699028548
1786699079999,AUROPHARMA,1m,1628.50,1629.30,1628.50,1629.30,215,1786699087175-0,md:candles:1m,1786699094422
1786699139999,AUROPHARMA,1m,1629.20,1629.20,1626.20,1626.60,6823,1786699146654-0,md:candles:1m,1786699146984
1786699199999,AUROPHARMA,1m,1626.70,1627.00,1626.10,1626.40,520,1786699205596-0,md:candles:1m,1786699208603
1786699259999,AUROPHARMA,1m,1626.40,1627.00,1626.00,1626.70,1451,1786699265474-0,md:candles:1m,1786699273120
1786699319999,AUROPHARMA,1m,1626.70,1626.70,1625.40,1626.20,2724,1786699325589-0,md:candles:1m,1786699326703
1786699379999,AUROPHARMA,1m,1626.10,1626.70,1626.10,1626.60,568,1786699386689-0,md:candles:1m,1786699391745
1786699439999,AUROPHARMA,1m,1626.40,1626.90,1626.30,1626.80,662,1786699445286-0,md:candles:1m,1786699445600
1786699499999,AUROPHARMA,1m,1626.30,1627.10,1626.20,1627.00,1527,1786699506844-0,md:candles:1m,1786699511111
1786699559999,AUROPHARMA,1m,1627.20,1627.20,1626.20,1626.70,2896,1786699566910-0,md:candles:1m,1786699576085
1786699619999,AUROPHARMA,1m,1627.30,1627.70,1626.80,1626.80,4457,1786699626317-0,md:candles:1m,1786699627296
1786699679999,AUROPHARMA,1m,1627.40,1628.40,1627.00,1627.80,1122,1786699685490-0,md:candles:1m,1786699689702
1786699739999,AUROPHARMA,1m,1628.40,1629.00,1628.10,1629.00,2552,1786699746925-0,md:candles:1m,1786699754023
1786699799999,AUROPHARMA,1m,1628.00,1628.70,1627.40,1628.00,2037,1786699808074-0,md:candles:1m,1786699821286
1786699859999,AUROPHARMA,1m,1627.80,1627.80,1624.00,1625.00,17617,1786699867549-0,md:candles:1m,1786699871843
1786699919999,AUROPHARMA,1m,1625.00,1625.60,1625.00,1625.60,2955,1786699925921-0,md:candles:1m,1786699936026
1786699979999,AUROPHARMA,1m,1625.40,1626.20,1625.30,1626.20,2310,1786699985438-0,md:candles:1m,1786699989617
1786700039999,AUROPHARMA,1m,1626.40,1626.40,1625.40,1625.90,6049,1786700045577-0,md:candles:1m,1786700051805
1786700099999,AUROPHARMA,1m,1626.00,1626.40,1625.50,1625.50,2867,1786700108613-0,md:candles:1m,1786700118244
1786700159999,AUROPHARMA,1m,1625.50,1625.50,1623.70,1623.70,7191,1786700165161-0,md:candles:1m,1786700171522
1786700219999,AUROPHARMA,1m,1624.20,1624.70,1623.50,1624.40,11884,1786700227179-0,md:candles:1m,1786700233604
1786700279999,AUROPHARMA,1m,1624.40,1625.10,1623.50,1624.60,6726,1786700285817-0,md:candles:1m,1786700286220
1786700339999,AUROPHARMA,1m,1624.20,1625.90,1624.10,1625.40,6567,1786700346438-0,md:candles:1m,1786700351053
1786700399999,AUROPHARMA,1m,1625.30,1625.70,1625.10,1625.40,1698,1786700405243-0,md:candles:1m,1786700412580
1786700459999,AUROPHARMA,1m,1625.00,1625.20,1623.70,1624.10,7002,1786700471337-0,md:candles:1m,1786700476026
1786700519999,AUROPHARMA,1m,1623.50,1625.30,1623.50,1624.50,15728,1786700525593-0,md:candles:1m,1786700529452
1786700579999,AUROPHARMA,1m,1623.90,1623.90,1622.00,1622.00,11986,1786700585283-0,md:candles:1m,1786700591306
1786700639999,AUROPHARMA,1m,1622.40,1624.60,1622.10,1623.10,10228,1786700645495-0,md:candles:1m,1786700653590
1786700699999,AUROPHARMA,1m,1623.30,1628.50,1622.10,1625.80,1670,1786701005286-0,md:candles:1m,1786701010481
1786701059999,AUROPHARMA,1m,1625.80,1625.80,1625.80,1625.80,1490,1786701067889-0,md:candles:1m,1786701071890
1786701119999,AUROPHARMA,1m,1625.80,1625.80,1625.80,1625.80,155,1786701130678-0,md:candles:1m,1786701137210
1786701179999,AUROPHARMA,1m,1625.80,1625.80,1625.80,1625.80,284,1786701191016-0,md:candles:1m,1786701191510
1786701239999,AUROPHARMA,1m,1625.80,1625.80,1625.80,1625.80,37,1786701264915-0,md:candles:1m,1786701271537
1786701299999,AUROPHARMA,1m,1625.80,1625.80,1625.80,1625.80,383,1786701313810-0,md:candles:1m,1786701324284
1786701359999,AUROPHARMA,1m,1625.80,1625.80,1625.80,1625.80,0,1786701405730-0,md:candles:1m,1786701412435
1786701419999,AUROPHARMA,1m,1625.80,1625.80,1625.80,1625.80,36,1786701504593-0,md:candles:1m,1786701507390
1786701539999,AUROPHARMA,1m,1625.80,1625.80,1622.10,1622.10,816842,1786702805334-0,md:candles:1m,1786702808525
1786702859999,AUROPHARMA,1m,1622.10,1622.10,1622.10,1622.10,153,1786702879013-0,md:candles:1m,1786702884923
1786702919999,AUROPHARMA,1m,1622.10,1622.10,1622.10,1622.10,50,1786702944599-0,md:candles:1m,1786702947398
1786702979999,AUROPHARMA,1m,1622.10,1622.10,1622.10,1622.10,3,1786703107378-0,md:candles:1m,1786703108172
1786699799999,AUROPHARMA,30m,1629.40,1629.40,1625.40,1628.00,29206,1786699867560-0,md:candles:30m,1786699872287
1786701599999,AUROPHARMA,30m,1627.80,1628.50,1622.00,1622.10,931705,1786702879019-0,md:candles:30m,1786702882739
1786699199999,AUROPHARMA,5m,1629.40,1629.40,1626.10,1626.40,9210,1786699265478-0,md:candles:5m,1786699265610
1786699499999,AUROPHARMA,5m,1626.40,1627.10,1625.40,1627.00,6932,1786699566916-0,md:candles:5m,1786699570970
1786699799999,AUROPHARMA,5m,1627.20,1629.00,1626.20,1628.00,13064,1786699867557-0,md:candles:5m,1786699868444
1786700099999,AUROPHARMA,5m,1627.80,1627.80,1624.00,1625.50,31798,1786700165166-0,md:candles:5m,1786700170829
1786700399999,AUROPHARMA,5m,1625.50,1625.90,1623.50,1625.40,34066,1786700471347-0,md:candles:5m,1786700471362
1786700699999,AUROPHARMA,5m,1625.00,1628.50,1622.00,1625.80,46614,1786701067894-0,md:candles:5m,1786701068420
1786701299999,AUROPHARMA,5m,1625.80,1625.80,1625.80,1625.80,2349,1786701405732-0,md:candles:5m,1786701412438
1786701599999,AUROPHARMA,5m,1625.80,1625.80,1622.10,1622.10,816878,1786702879015-0,md:candles:5m,1786702884923
