ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,AXISBANK,10m,1216.70,1217.10,1215.60,1215.60,68781,1786699270127-0,md:candles:10m,1786699276624
1786699799999,AXISBANK,10m,1215.70,1217.10,1215.60,1216.30,218446,1786699865987-0,md:candles:10m,1786699876284
1786700399999,AXISBANK,10m,1216.30,1218.60,1216.10,1217.90,323222,1786700471383-0,md:candles:10m,1786700482979
1786700999999,AXISBANK,10m,1218.00,1218.40,1216.00,1216.00,162054,1786701074414-0,md:candles:10m,1786701080910
1786701599999,AXISBANK,10m,1216.00,1217.40,1216.00,1217.40,5430494,1786702937791-0,md:candles:10m,1786702937785
1786702872000,AXISBANK,1d,1216.70,1218.60,1215.60,1217.40,6202997,1786702877317-0,md:candles:1d,1786702885317
1786698959999,AXISBANK,1m,1216.70,1216.90,1216.40,1216.90,7270,1786698965216-0,md:candles:1m,1786698974630
1786699019999,AXISBANK,1m,1216.60,1217.10,1216.20,1216.30,18496,1786699025327-0,md:candles:1m,1786699028548
1786699079999,AXISBANK,1m,1216.30,1216.70,1216.00,1216.20,12574,1786699085637-0,md:candles:1m,1786699094422
1786699139999,AXISBANK,1m,1216.00,1216.10,1215.60,1215.70,14459,1786699145619-0,md:candles:1m,1786699146984
1786699199999,AXISBANK,1m,1215.80,1215.80,1215.60,1215.60,15982,1786699205469-0,md:candles:1m,1786699208603
1786699259999,AXISBANK,1m,1215.70,1215.90,1215.60,1215.80,12830,1786699270122-0,md:candles:1m,1786699273120
1786699319999,AXISBANK,1m,1215.60,1216.30,1215.60,1216.30,19240,1786699325785-0,md:candles:1m,1786699326703
1786699379999,AXISBANK,1m,1216.00,1216.60,1215.90,1216.20,14153,1786699385694-0,md:candles:1m,1786699391745
1786699439999,AXISBANK,1m,1216.20,1216.70,1216.00,1216.00,19766,1786699445980-0,md:candles:1m,1786699457822
1786699499999,AXISBANK,1m,1216.00,1216.50,1215.90,1216.30,18286,1786699506087-0,md:candles:1m,1786699511111
1786699559999,AXISBANK,1m,1216.40,1216.50,1215.90,1215.90,14590,1786699566924-0,md:candles:1m,1786699576085
1786699619999,AXISBANK,1m,1216.10,1216.10,1215.70,1216.00,19765,1786699626336-0,md:candles:1m,1786699627296
1786699679999,AXISBANK,1m,1216.30,1216.30,1215.80,1216.10,23913,1786699686088-0,md:candles:1m,1786699689702
1786699739999,AXISBANK,1m,1216.00,1216.00,1215.60,1216.00,20638,1786699745990-0,md:candles:1m,1786699754023
1786699799999,AXISBANK,1m,1215.70,1217.10,1215.70,1216.30,55265,1786699805550-0,md:candles:1m,1786699807941
1786699859999,AXISBANK,1m,1216.30,1216.90,1216.10,1216.90,24212,1786699865971-0,md:candles:1m,1786699871843
1786699919999,AXISBANK,1m,1216.90,1216.90,1216.60,1216.80,20081,1786699927271-0,md:candles:1m,1786699936026
1786699979999,AXISBANK,1m,1216.80,1216.80,1216.60,1216.70,21587,1786699985555-0,md:candles:1m,1786699989617
1786700039999,AXISBANK,1m,1216.70,1216.80,1216.60,1216.70,19777,1786700045732-0,md:candles:1m,1786700051805
1786700099999,AXISBANK,1m,1216.70,1217.40,1216.70,1217.40,28582,1786700108632-0,md:candles:1m,1786700118244
1786700159999,AXISBANK,1m,1216.40,1217.50,1216.40,1217.00,47525,1786700165183-0,md:candles:1m,1786700171522
1786700219999,AXISBANK,1m,1217.10,1217.60,1217.00,1217.60,35365,1786700227283-0,md:candles:1m,1786700233604
1786700279999,AXISBANK,1m,1217.60,1218.20,1217.60,1218.10,39916,1786700289343-0,md:candles:1m,1786700298079
1786700339999,AXISBANK,1m,1218.20,1218.60,1218.10,1218.60,35506,1786700349149-0,md:candles:1m,1786700351053
1786700399999,AXISBANK,1m,1218.60,1218.60,1217.80,1217.90,50671,1786700407389-0,md:candles:1m,1786700412580
1786700459999,AXISBANK,1m,1218.00,1218.00,1217.20,1217.40,36669,1786700471364-0,md:candles:1m,1786700476026
1786700519999,AXISBANK,1m,1217.40,1217.40,1217.10,1217.20,24207,1786700525679-0,md:candles:1m,1786700529452
1786700579999,AXISBANK,1m,1217.10,1218.20,1217.00,1217.20,52341,1786700588595-0,md:candles:1m,1786700591306
1786700639999,AXISBANK,1m,1217.30,1218.40,1217.20,1218.10,40052,1786700650307-0,md:candles:1m,1786700653590
1786700699999,AXISBANK,1m,1218.10,1218.10,1217.30,1217.70,8436,1786700706657-0,md:candles:1m,1786700715149
1786700759999,AXISBANK,1m,1216.00,1216.00,1216.00,1216.00,349,1786701005404-0,md:candles:1m,1786701010481
1786701059999,AXISBANK,1m,1216.00,1216.00,1216.00,1216.00,1757,1786701074411-0,md:candles:1m,1786701082805
1786701119999,AXISBANK,1m,1216.00,1216.00,1216.00,1216.00,2193,1786701130781-0,md:candles:1m,1786701137210
1786701179999,AXISBANK,1m,1216.00,1216.00,1216.00,1216.00,1919,1786701227290-0,md:candles:1m,1786701238070
1786701239999,AXISBANK,1m,1216.00,1216.00,1216.00,1216.00,100,1786701245212-0,md:candles:1m,1786701248276
1786701299999,AXISBANK,1m,1216.00,1216.00,1216.00,1216.00,1321,1786701355033-0,md:candles:1m,1786701357832
1786701359999,AXISBANK,1m,1216.00,1216.00,1216.00,1216.00,36,1786701379898-0,md:candles:1m,1786701390103
1786701419999,AXISBANK,1m,1216.00,1216.00,1216.00,1216.00,92,1786701425960-0,md:candles:1m,1786701432770
1786701479999,AXISBANK,1m,1216.00,1216.00,1216.00,1216.00,8357,1786701488874-0,md:candles:1m,1786701496799
1786701539999,AXISBANK,1m,1216.00,1217.40,1216.00,1217.40,5414719,1786702877315-0,md:candles:1m,1786702884923
1786702919999,AXISBANK,1m,1217.40,1217.40,1217.40,1217.40,50,1786702937788-0,md:candles:1m,1786702947398
1786702979999,AXISBANK,1m,1217.40,1217.40,1217.40,1217.40,5,1786703036589-0,md:candles:1m,1786703044208
1786703039999,AXISBANK,1m,1217.40,1217.40,1217.40,1217.40,1,1786703164842-0,md:candles:1m,1786703173539
1786703159999,AXISBANK,1m,1217.40,1217.40,1217.40,1217.40,10,1786703210492-0,md:candles:1m,1786703218504
1786703219999,AXISBANK,1m,1217.40,1217.40,1217.40,1217.40,1,1786703267838-0,md:candles:1m,1786703271541
1786699799999,AXISBANK,30m,1216.70,1217.10,1215.60,1216.30,287227,1786699865988-0,md:candles:30m,1786699872287
1786701599999,AXISBANK,30m,1216.30,1218.60,1216.00,1217.40,5915770,1786702937792-0,md:candles:30m,1786702937794
1786699199999,AXISBANK,5m,1216.70,1217.10,1215.60,1215.60,68781,1786699270126-0,md:candles:5m,1786699276624
1786699499999,AXISBANK,5m,1215.70,1216.70,1215.60,1216.30,84275,1786699566928-0,md:candles:5m,1786699570970
1786699799999,AXISBANK,5m,1216.40,1217.10,1215.60,1216.30,134171,1786699865985-0,md:candles:5m,1786699868444
1786700099999,AXISBANK,5m,1216.30,1217.40,1216.10,1217.40,114239,1786700165190-0,md:candles:5m,1786700170829
1786700399999,AXISBANK,5m,1216.40,1218.60,1216.40,1217.90,208983,1786700471381-0,md:candles:5m,1786700482979
1786700699999,AXISBANK,5m,1218.00,1218.40,1217.00,1217.70,161705,1786701005407-0,md:candles:5m,1786701013188
1786700999999,AXISBANK,5m,1216.00,1216.00,1216.00,1216.00,349,1786701074413-0,md:candles:5m,1786701080800
1786701299999,AXISBANK,5m,1216.00,1216.00,1216.00,1216.00,7290,1786701379900-0,md:candles:5m,1786701390103
