ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,BAJAJ-AUTO,10m,11703.00,11709.00,11698.00,11699.00,2491,1786699266718-0,md:candles:10m,1786699276624
1786699799999,BAJAJ-AUTO,10m,11705.00,11708.00,11695.00,11699.00,3725,1786699867663-0,md:candles:10m,1786699876284
1786700399999,BAJAJ-AUTO,10m,11698.00,11703.00,11671.00,11680.00,8636,1786700471411-0,md:candles:10m,1786700482979
1786700999999,BAJAJ-AUTO,10m,11678.00,11680.00,11666.00,11671.00,7894,1786701068008-0,md:candles:10m,1786701070102
1786701599999,BAJAJ-AUTO,10m,11671.00,11700.00,11671.00,11700.00,238294,1786703028987-0,md:candles:10m,1786703038998
1786702800000,BAJAJ-AUTO,1d,11703.00,11709.00,11666.00,11700.00,261040,1786702805436-0,md:candles:1d,1786702807233
1786698959999,BAJAJ-AUTO,1m,11703.00,11704.00,11699.00,11703.00,93,1786698970065-0,md:candles:1m,1786698974630
1786699019999,BAJAJ-AUTO,1m,11704.00,11708.00,11699.00,11706.00,1245,1786699026570-0,md:candles:1m,1786699028548
1786699079999,BAJAJ-AUTO,1m,11707.00,11709.00,11702.00,11705.00,854,1786699085514-0,md:candles:1m,1786699094422
1786699139999,BAJAJ-AUTO,1m,11702.00,11706.00,11702.00,11705.00,104,1786699151714-0,md:candles:1m,1786699158101
1786699199999,BAJAJ-AUTO,1m,11705.00,11706.00,11698.00,11699.00,195,1786699205280-0,md:candles:1m,1786699208603
1786699259999,BAJAJ-AUTO,1m,11705.00,11707.00,11702.00,11705.00,899,1786699266697-0,md:candles:1m,1786699273120
1786699319999,BAJAJ-AUTO,1m,11701.00,11707.00,11700.00,11706.00,409,1786699327989-0,md:candles:1m,1786699339124
1786699379999,BAJAJ-AUTO,1m,11706.00,11707.00,11702.00,11705.00,143,1786699387346-0,md:candles:1m,1786699391745
1786699439999,BAJAJ-AUTO,1m,11705.00,11708.00,11703.00,11705.00,197,1786699445393-0,md:candles:1m,1786699445600
1786699499999,BAJAJ-AUTO,1m,11705.00,11708.00,11702.00,11706.00,380,1786699511205-0,md:candles:1m,1786699523104
1786699559999,BAJAJ-AUTO,1m,11702.00,11706.00,11698.00,11699.00,363,1786699567073-0,md:candles:1m,1786699576085
1786699619999,BAJAJ-AUTO,1m,11699.00,11700.00,11697.00,11699.00,101,1786699626422-0,md:candles:1m,1786699627296
1786699679999,BAJAJ-AUTO,1m,11699.00,11700.00,11697.00,11700.00,166,1786699687665-0,md:candles:1m,1786699689702
1786699739999,BAJAJ-AUTO,1m,11700.00,11700.00,11695.00,11695.00,371,1786699746991-0,md:candles:1m,1786699754023
1786699799999,BAJAJ-AUTO,1m,11699.00,11699.00,11697.00,11699.00,696,1786699812971-0,md:candles:1m,1786699821286
1786699859999,BAJAJ-AUTO,1m,11698.00,11703.00,11697.00,11702.00,710,1786699867650-0,md:candles:1m,1786699871843
1786699919999,BAJAJ-AUTO,1m,11702.00,11702.00,11695.00,11697.00,738,1786699927278-0,md:candles:1m,1786699936026
1786699979999,BAJAJ-AUTO,1m,11697.00,11699.00,11694.00,11694.00,471,1786699985564-0,md:candles:1m,1786699989617
1786700039999,BAJAJ-AUTO,1m,11695.00,11695.00,11694.00,11695.00,366,1786700045800-0,md:candles:1m,1786700051805
1786700099999,BAJAJ-AUTO,1m,11695.00,11695.00,11685.00,11689.00,2358,1786700108728-0,md:candles:1m,1786700118244
1786700159999,BAJAJ-AUTO,1m,11689.00,11690.00,11683.00,11688.00,534,1786700167211-0,md:candles:1m,1786700171522
1786700219999,BAJAJ-AUTO,1m,11687.00,11688.00,11682.00,11686.00,1220,1786700227290-0,md:candles:1m,1786700233604
1786700279999,BAJAJ-AUTO,1m,11686.00,11686.00,11682.00,11682.00,929,1786700289353-0,md:candles:1m,1786700298079
1786700339999,BAJAJ-AUTO,1m,11684.00,11686.00,11680.00,11682.00,403,1786700349155-0,md:candles:1m,1786700351053
1786700399999,BAJAJ-AUTO,1m,11681.00,11684.00,11671.00,11680.00,907,1786700407394-0,md:candles:1m,1786700412580
1786700459999,BAJAJ-AUTO,1m,11678.00,11680.00,11676.00,11679.00,967,1786700471402-0,md:candles:1m,1786700476026
1786700519999,BAJAJ-AUTO,1m,11677.00,11680.00,11677.00,11677.00,1265,1786700525685-0,md:candles:1m,1786700529452
1786700579999,BAJAJ-AUTO,1m,11673.00,11677.00,11666.00,11670.00,3751,1786700590482-0,md:candles:1m,1786700591306
1786700639999,BAJAJ-AUTO,1m,11670.00,11670.00,11667.00,11668.00,978,1786700645507-0,md:candles:1m,1786700653590
