ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,BAJAJFINSV,10m,2017.50,2021.40,2017.50,2020.80,8022,1786699265712-0,md:candles:10m,1786699276624
1786699799999,BAJAJFINSV,10m,2021.00,2021.40,2011.30,2011.30,43924,1786699869725-0,md:candles:10m,1786699876284
1786700399999,BAJAJFINSV,10m,2011.30,2013.40,2008.10,2009.80,40896,1786700465617-0,md:candles:10m,1786700471301
1786700999999,BAJAJFINSV,10m,2008.60,2013.50,2006.60,2006.60,33103,1786701088928-0,md:candles:10m,1786701092722
1786702801000,BAJAJFINSV,1d,2017.50,2021.40,2006.60,2008.30,1073744,1786702806960-0,md:candles:1d,1786702807233
1786698959999,BAJAJFINSV,1m,2017.50,2019.50,2017.50,2019.50,457,1786698966065-0,md:candles:1m,1786698974630
1786699019999,BAJAJFINSV,1m,2018.60,2020.20,2018.00,2020.20,1260,1786699027939-0,md:candles:1m,1786699028548
1786699079999,BAJAJFINSV,1m,2020.00,2021.40,2020.00,2021.00,1782,1786699085525-0,md:candles:1m,1786699094422
1786699139999,BAJAJFINSV,1m,2021.00,2021.10,2020.10,2021.00,1597,1786699145917-0,md:candles:1m,1786699146984
1786699199999,BAJAJFINSV,1m,2021.00,2021.10,2020.30,2020.80,2926,1786699206975-0,md:candles:1m,1786699208603
1786699259999,BAJAJFINSV,1m,2021.00,2021.40,2019.00,2019.00,5027,1786699265676-0,md:candles:1m,1786699273120
1786699319999,BAJAJFINSV,1m,2018.90,2019.40,2018.00,2018.20,3003,1786699325369-0,md:candles:1m,1786699326703
1786699379999,BAJAJFINSV,1m,2018.40,2019.80,2017.50,2018.10,17959,1786699388422-0,md:candles:1m,1786699391745
1786699439999,BAJAJFINSV,1m,2017.50,2017.80,2015.00,2015.20,5971,1786699446126-0,md:candles:1m,1786699457822
1786699499999,BAJAJFINSV,1m,2015.20,2015.50,2014.40,2014.40,2112,1786699505493-0,md:candles:1m,1786699511111
1786699559999,BAJAJFINSV,1m,2014.60,2014.60,2013.10,2013.50,2218,1786699568843-0,md:candles:1m,1786699576085
1786699619999,BAJAJFINSV,1m,2013.30,2013.40,2013.00,2013.00,366,1786699628407-0,md:candles:1m,1786699639246
1786699679999,BAJAJFINSV,1m,2012.70,2013.80,2012.00,2012.90,1386,1786699689410-0,md:candles:1m,1786699689702
1786699739999,BAJAJFINSV,1m,2012.90,2012.90,2011.60,2012.30,3585,1786699748806-0,md:candles:1m,1786699754023
1786699799999,BAJAJFINSV,1m,2011.70,2011.90,2011.30,2011.30,2297,1786699806759-0,md:candles:1m,1786699807941
1786699859999,BAJAJFINSV,1m,2011.30,2013.40,2011.30,2012.30,3834,1786699869713-0,md:candles:1m,1786699871843
1786699919999,BAJAJFINSV,1m,2013.00,2013.00,2012.00,2012.30,1593,1786699926140-0,md:candles:1m,1786699936026
1786699979999,BAJAJFINSV,1m,2012.10,2012.30,2011.90,2011.90,1783,1786699987326-0,md:candles:1m,1786699989617
1786700039999,BAJAJFINSV,1m,2012.00,2013.10,2012.00,2012.50,2062,1786700047901-0,md:candles:1m,1786700051805
1786700099999,BAJAJFINSV,1m,2012.80,2013.40,2011.90,2012.70,5705,1786700110607-0,md:candles:1m,1786700118244
