ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,BAJFINANCE,10m,1088.20,1088.40,1087.40,1087.70,38977,1786699266725-0,md:candles:10m,1786699276624
1786699799999,BAJFINANCE,10m,1087.40,1088.70,1085.40,1085.40,114753,1786699866033-0,md:candles:10m,1786699876284
1786700399999,BAJFINANCE,10m,1086.00,1088.20,1085.50,1087.90,337037,1786700471434-0,md:candles:10m,1786700482979
1786700999999,BAJFINANCE,10m,1087.90,1088.10,1086.00,1086.00,142882,1786701068104-0,md:candles:10m,1786701070102
1786701599999,BAJFINANCE,10m,1086.00,1087.00,1086.00,1087.00,4119558,1786702881519-0,md:candles:10m,1786702885431
1786702806000,BAJFINANCE,1d,1088.20,1088.70,1085.40,1087.00,4753207,1786702811741-0,md:candles:1d,1786702818543
1786698959999,BAJFINANCE,1m,1088.20,1088.40,1088.10,1088.10,1411,1786698965558-0,md:candles:1m,1786698974630
1786699019999,BAJFINANCE,1m,1088.30,1088.40,1087.80,1088.00,7161,1786699026577-0,md:candles:1m,1786699028548
1786699079999,BAJFINANCE,1m,1087.60,1088.00,1087.50,1087.80,18620,1786699087218-0,md:candles:1m,1786699094422
1786699139999,BAJFINANCE,1m,1087.90,1088.20,1087.50,1088.00,4848,1786699146669-0,md:candles:1m,1786699146984
1786699199999,BAJFINANCE,1m,1087.70,1087.70,1087.40,1087.70,6937,1786699205290-0,md:candles:1m,1786699208603
1786699259999,BAJFINANCE,1m,1087.40,1088.00,1087.40,1087.90,5590,1786699266706-0,md:candles:1m,1786699273120
1786699319999,BAJFINANCE,1m,1087.70,1088.30,1087.70,1088.30,13455,1786699325795-0,md:candles:1m,1786699326703
1786699379999,BAJFINANCE,1m,1088.10,1088.30,1087.90,1088.10,8437,1786699387367-0,md:candles:1m,1786699391745
1786699439999,BAJFINANCE,1m,1088.30,1088.30,1087.80,1087.80,6178,1786699445474-0,md:candles:1m,1786699445600
1786699499999,BAJFINANCE,1m,1087.60,1088.20,1087.60,1088.20,10655,1786699511265-0,md:candles:1m,1786699523104
1786699559999,BAJFINANCE,1m,1088.20,1088.70,1087.90,1088.10,13643,1786699566934-0,md:candles:1m,1786699576085
1786699619999,BAJFINANCE,1m,1087.90,1088.00,1087.90,1088.00,5709,1786699626523-0,md:candles:1m,1786699627296
1786699679999,BAJFINANCE,1m,1088.00,1088.00,1087.60,1087.90,8278,1786699686958-0,md:candles:1m,1786699689702
1786699739999,BAJFINANCE,1m,1087.70,1087.90,1087.60,1087.70,8842,1786699746999-0,md:candles:1m,1786699754023
1786699799999,BAJFINANCE,1m,1087.60,1087.90,1085.40,1085.40,33966,1786699808108-0,md:candles:1m,1786699821286
1786699859999,BAJFINANCE,1m,1086.00,1086.90,1085.50,1086.70,23230,1786699866022-0,md:candles:1m,1786699871843
1786699919999,BAJFINANCE,1m,1086.80,1087.90,1086.70,1087.90,21659,1786699927374-0,md:candles:1m,1786699936026
1786699979999,BAJFINANCE,1m,1087.80,1088.20,1087.80,1088.00,50635,1786699985529-0,md:candles:1m,1786699989617
1786700039999,BAJFINANCE,1m,1088.10,1088.10,1087.70,1087.90,26114,1786700045813-0,md:candles:1m,1786700051805
1786700099999,BAJFINANCE,1m,1087.90,1088.10,1087.40,1087.50,15262,1786700108740-0,md:candles:1m,1786700118244
1786700159999,BAJFINANCE,1m,1087.30,1087.40,1086.50,1086.50,47114,1786700167218-0,md:candles:1m,1786700171522
1786700219999,BAJFINANCE,1m,1086.70,1087.60,1086.50,1087.50,69143,1786700227329-0,md:candles:1m,1786700233604
1786700279999,BAJFINANCE,1m,1087.60,1087.90,1086.80,1087.70,33756,1786700285296-0,md:candles:1m,1786700286220
1786700339999,BAJFINANCE,1m,1087.70,1088.00,1087.20,1088.00,26483,1786700349262-0,md:candles:1m,1786700351053
1786700399999,BAJFINANCE,1m,1087.90,1088.00,1087.80,1087.90,23641,1786700409940-0,md:candles:1m,1786700412580
1786700459999,BAJFINANCE,1m,1087.90,1088.10,1087.70,1087.70,21484,1786700471408-0,md:candles:1m,1786700476026
1786700519999,BAJFINANCE,1m,1087.80,1087.90,1086.60,1087.20,29178,1786700525834-0,md:candles:1m,1786700529452
1786700579999,BAJFINANCE,1m,1087.10,1087.20,1086.80,1087.20,45979,1786700588608-0,md:candles:1m,1786700591306
1786700639999,BAJFINANCE,1m,1086.90,1087.40,1086.90,1087.30,31619,1786700645511-0,md:candles:1m,1786700653590
1786700699999,BAJFINANCE,1m,1087.00,1087.10,1086.00,1086.60,14308,1786700706771-0,md:candles:1m,1786700715149
