ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,BANDHANBNK,10m,174.74,174.87,174.65,174.84,25965,1786699270115-0,md:candles:10m,1786699276624
1786699799999,BANDHANBNK,10m,174.84,174.87,174.67,174.68,141864,1786699867573-0,md:candles:10m,1786699876284
1786700399999,BANDHANBNK,10m,174.69,174.87,174.45,174.54,151798,1786700471368-0,md:candles:10m,1786700482979
1786700999999,BANDHANBNK,10m,174.54,174.83,174.54,174.65,115835,1786701074320-0,md:candles:10m,1786701080910
1786701599999,BANDHANBNK,10m,174.65,174.65,174.55,174.55,2506898,1786703047606-0,md:candles:10m,1786703049608
1786703004000,BANDHANBNK,1d,174.74,174.87,174.45,174.55,2942360,1786703009952-0,md:candles:1d,1786703011951
1786698959999,BANDHANBNK,1m,174.74,174.74,174.72,174.72,1306,1786698970049-0,md:candles:1m,1786698974630
1786699019999,BANDHANBNK,1m,174.73,174.73,174.65,174.70,3413,1786699026557-0,md:candles:1m,1786699028548
1786699079999,BANDHANBNK,1m,174.71,174.80,174.71,174.73,12380,1786699087186-0,md:candles:1m,1786699094422
1786699139999,BANDHANBNK,1m,174.80,174.87,174.75,174.87,6626,1786699146664-0,md:candles:1m,1786699146984
1786699199999,BANDHANBNK,1m,174.80,174.84,174.73,174.84,2240,1786699205172-0,md:candles:1m,1786699208603
1786699259999,BANDHANBNK,1m,174.84,174.87,174.73,174.87,8535,1786699270112-0,md:candles:1m,1786699273120
1786699319999,BANDHANBNK,1m,174.87,174.87,174.78,174.86,4018,1786699325779-0,md:candles:1m,1786699326703
1786699379999,BANDHANBNK,1m,174.78,174.86,174.75,174.85,2387,1786699386702-0,md:candles:1m,1786699391745
1786699439999,BANDHANBNK,1m,174.85,174.85,174.68,174.82,8438,1786699445294-0,md:candles:1m,1786699445600
1786699499999,BANDHANBNK,1m,174.81,174.87,174.75,174.75,93118,1786699511187-0,md:candles:1m,1786699523104
1786699559999,BANDHANBNK,1m,174.75,174.75,174.67,174.74,6640,1786699567048-0,md:candles:1m,1786699576085
1786699619999,BANDHANBNK,1m,174.74,174.75,174.67,174.75,2811,1786699626327-0,md:candles:1m,1786699627296
1786699679999,BANDHANBNK,1m,174.75,174.82,174.70,174.79,14026,1786699687511-0,md:candles:1m,1786699689702
1786699739999,BANDHANBNK,1m,174.79,174.79,174.67,174.72,790,1786699746981-0,md:candles:1m,1786699754023
1786699799999,BANDHANBNK,1m,174.68,174.75,174.67,174.68,1101,1786699808082-0,md:candles:1m,1786699821286
1786699859999,BANDHANBNK,1m,174.69,174.87,174.68,174.78,34484,1786699867556-0,md:candles:1m,1786699871843
1786699919999,BANDHANBNK,1m,174.83,174.83,174.76,174.82,4869,1786699926967-0,md:candles:1m,1786699936026
1786699979999,BANDHANBNK,1m,174.83,174.83,174.76,174.76,11654,1786699985550-0,md:candles:1m,1786699989617
1786700039999,BANDHANBNK,1m,174.76,174.76,174.57,174.64,13097,1786700045725-0,md:candles:1m,1786700051805
1786700099999,BANDHANBNK,1m,174.64,174.64,174.57,174.59,10303,1786700108625-0,md:candles:1m,1786700118244
1786700159999,BANDHANBNK,1m,174.79,174.79,174.45,174.55,30128,1786700165217-0,md:candles:1m,1786700171522
1786700219999,BANDHANBNK,1m,174.54,174.57,174.45,174.57,18492,1786700227271-0,md:candles:1m,1786700233604
1786700279999,BANDHANBNK,1m,174.57,174.59,174.54,174.57,7457,1786700289326-0,md:candles:1m,1786700298079
1786700339999,BANDHANBNK,1m,174.59,174.69,174.52,174.54,8672,1786700349127-0,md:candles:1m,1786700351053
1786700399999,BANDHANBNK,1m,174.50,174.59,174.46,174.54,12642,1786700409791-0,md:candles:1m,1786700412580
1786700459999,BANDHANBNK,1m,174.54,174.74,174.54,174.69,16675,1786700471351-0,md:candles:1m,1786700476026
1786700519999,BANDHANBNK,1m,174.70,174.72,174.59,174.71,6991,1786700525672-0,md:candles:1m,1786700529452
1786700579999,BANDHANBNK,1m,174.72,174.83,174.57,174.73,53198,1786700590474-0,md:candles:1m,1786700591306
1786700639999,BANDHANBNK,1m,174.73,174.73,174.67,174.68,9240,1786700650302-0,md:candles:1m,1786700653590
1786700699999,BANDHANBNK,1m,174.68,174.70,174.57,174.65,29614,1786700706646-0,md:candles:1m,1786700715149
1786700759999,BANDHANBNK,1m,174.65,174.65,174.65,174.65,117,1786701005396-0,md:candles:1m,1786701010481
1786701059999,BANDHANBNK,1m,174.65,174.65,174.65,174.65,3722,1786701074304-0,md:candles:1m,1786701082805
