ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,BANKBARODA,10m,249.26,249.27,248.91,249.01,67836,1786699266733-0,md:candles:10m,1786699276624
1786699799999,BANKBARODA,10m,249.00,249.50,248.81,248.86,416441,1786699867773-0,md:candles:10m,1786699876284
1786700399999,BANKBARODA,10m,248.85,248.96,248.44,248.54,582931,1786700465401-0,md:candles:10m,1786700471301
1786700999999,BANKBARODA,10m,248.60,248.75,248.27,248.27,443559,1786701074499-0,md:candles:10m,1786701080910
1786701599999,BANKBARODA,10m,248.27,248.27,248.22,248.22,7701361,1786702928187-0,md:candles:10m,1786702937785
1786702800000,BANKBARODA,1d,249.26,249.50,248.22,248.22,9212128,1786702805534-0,md:candles:1d,1786702807233
1786698959999,BANKBARODA,1m,249.26,249.27,249.18,249.23,3034,1786698965564-0,md:candles:1m,1786698974630
1786699019999,BANKBARODA,1m,249.16,249.27,249.02,249.05,19654,1786699026586-0,md:candles:1m,1786699028548
1786699079999,BANKBARODA,1m,249.02,249.12,249.00,249.07,19453,1786699086409-0,md:candles:1m,1786699094422
1786699139999,BANKBARODA,1m,249.07,249.07,248.96,249.00,12582,1786699145399-0,md:candles:1m,1786699146984
1786699199999,BANKBARODA,1m,248.98,249.07,248.91,249.01,13113,1786699205660-0,md:candles:1m,1786699208603
1786699259999,BANKBARODA,1m,249.00,249.07,248.96,249.00,11062,1786699266707-0,md:candles:1m,1786699273120
1786699319999,BANKBARODA,1m,248.95,249.50,248.95,249.17,152337,1786699325286-0,md:candles:1m,1786699326703
1786699379999,BANKBARODA,1m,249.17,249.30,248.98,249.09,34885,1786699385980-0,md:candles:1m,1786699391745
1786699439999,BANKBARODA,1m,249.09,249.09,248.95,248.97,15988,1786699448820-0,md:candles:1m,1786699457822
1786699499999,BANKBARODA,1m,248.91,249.29,248.91,249.10,32516,1786699506866-0,md:candles:1m,1786699511111
1786699559999,BANKBARODA,1m,249.14,249.18,249.03,249.06,16523,1786699566853-0,md:candles:1m,1786699576085
1786699619999,BANKBARODA,1m,249.12,249.15,248.98,249.00,81008,1786699626529-0,md:candles:1m,1786699627296
1786699679999,BANKBARODA,1m,248.94,249.01,248.92,248.99,24285,1786699686490-0,md:candles:1m,1786699689702
1786699739999,BANKBARODA,1m,248.96,248.98,248.81,248.89,25173,1786699747002-0,md:candles:1m,1786699754023
1786699799999,BANKBARODA,1m,248.81,248.89,248.81,248.86,22664,1786699808112-0,md:candles:1m,1786699821286
1786699859999,BANKBARODA,1m,248.85,248.96,248.84,248.96,50151,1786699867761-0,md:candles:1m,1786699871843
1786699919999,BANKBARODA,1m,248.85,248.90,248.73,248.79,34543,1786699927383-0,md:candles:1m,1786699936026
1786699979999,BANKBARODA,1m,248.75,248.79,248.71,248.75,23294,1786699985626-0,md:candles:1m,1786699989617
1786700039999,BANKBARODA,1m,248.71,248.89,248.66,248.88,36225,1786700045893-0,md:candles:1m,1786700051805
1786700099999,BANKBARODA,1m,248.85,248.88,248.75,248.77,28352,1786700108743-0,md:candles:1m,1786700118244
1786700159999,BANKBARODA,1m,248.82,248.90,248.69,248.79,79479,1786700167222-0,md:candles:1m,1786700171522
1786700219999,BANKBARODA,1m,248.76,248.76,248.59,248.66,27348,1786700225261-0,md:candles:1m,1786700233604
1786700279999,BANKBARODA,1m,248.67,248.67,248.51,248.56,85540,1786700289415-0,md:candles:1m,1786700298079
1786700339999,BANKBARODA,1m,248.47,248.58,248.46,248.48,133069,1786700349276-0,md:candles:1m,1786700351053
1786700399999,BANKBARODA,1m,248.45,248.64,248.44,248.54,84930,1786700405349-0,md:candles:1m,1786700412580
1786700459999,BANKBARODA,1m,248.60,248.63,248.41,248.59,69479,1786700465389-0,md:candles:1m,1786700476026
1786700519999,BANKBARODA,1m,248.70,248.72,248.44,248.55,82854,1786700525171-0,md:candles:1m,1786700529452
1786700579999,BANKBARODA,1m,248.50,248.75,248.42,248.60,198437,1786700585443-0,md:candles:1m,1786700591306
1786700639999,BANKBARODA,1m,248.56,248.71,248.35,248.49,61226,1786700645864-0,md:candles:1m,1786700653590
1786700699999,BANKBARODA,1m,248.49,248.49,248.27,248.49,29242,1786700706779-0,md:candles:1m,1786700715149
1786700759999,BANKBARODA,1m,248.27,248.27,248.27,248.27,2321,1786701005494-0,md:candles:1m,1786701010481
1786701059999,BANKBARODA,1m,248.27,248.27,248.27,248.27,6858,1786701074495-0,md:candles:1m,1786701082805
1786701119999,BANKBARODA,1m,248.27,248.27,248.27,248.27,347,1786701143091-0,md:candles:1m,1786701149293
1786701179999,BANKBARODA,1m,248.27,248.27,248.27,248.27,131,1786701197207-0,md:candles:1m,1786701203615
1786701239999,BANKBARODA,1m,248.27,248.27,248.27,248.27,24,1786701258504-0,md:candles:1m,1786701260413
1786701299999,BANKBARODA,1m,248.27,248.27,248.27,248.27,1742,1786701307401-0,md:candles:1m,1786701313567
1786701359999,BANKBARODA,1m,248.27,248.27,248.27,248.27,1381,1786701367222-0,md:candles:1m,1786701367943
1786701419999,BANKBARODA,1m,248.27,248.27,248.27,248.27,337,1786701426072-0,md:candles:1m,1786701432770
1786701479999,BANKBARODA,1m,248.27,248.27,248.27,248.27,555,1786701512306-0,md:candles:1m,1786701517806
1786701539999,BANKBARODA,1m,248.27,248.27,248.22,248.22,7689986,1786702805533-0,md:candles:1m,1786702808525
1786702859999,BANKBARODA,1m,248.22,248.22,248.22,248.22,462,1786702928184-0,md:candles:1m,1786702937190
1786702979999,BANKBARODA,1m,248.22,248.22,248.22,248.22,60,1786702991739-0,md:candles:1m,1786703000545
1786703039999,BANKBARODA,1m,248.22,248.22,248.22,248.22,65,1786703050206-0,md:candles:1m,1786703055708
1786703099999,BANKBARODA,1m,248.22,248.22,248.22,248.22,50,1786703201583-0,md:candles:1m,1786703206602
1786703219999,BANKBARODA,1m,248.22,248.22,248.22,248.22,50,1786703228099-0,md:candles:1m,1786703228996
1786699799999,BANKBARODA,30m,249.26,249.50,248.81,248.86,484277,1786699867775-0,md:candles:30m,1786699872287
1786701599999,BANKBARODA,30m,248.85,248.96,248.22,248.22,8727851,1786702928189-0,md:candles:30m,1786702937794
1786699199999,BANKBARODA,5m,249.26,249.27,248.91,249.01,67836,1786699266731-0,md:candles:5m,1786699276624
1786699499999,BANKBARODA,5m,249.00,249.50,248.91,249.10,246788,1786699566855-0,md:candles:5m,1786699570970
1786699799999,BANKBARODA,5m,249.14,249.18,248.81,248.86,169653,1786699867772-0,md:candles:5m,1786699868444
1786700099999,BANKBARODA,5m,248.85,248.96,248.66,248.77,172565,1786700167229-0,md:candles:5m,1786700170829
1786700399999,BANKBARODA,5m,248.82,248.90,248.44,248.54,410366,1786700465400-0,md:candles:5m,1786700471362
1786700699999,BANKBARODA,5m,248.60,248.75,248.27,248.49,441238,1786701005499-0,md:candles:5m,1786701013188
1786700999999,BANKBARODA,5m,248.27,248.27,248.27,248.27,2321,1786701074497-0,md:candles:5m,1786701080800
1786701299999,BANKBARODA,5m,248.27,248.27,248.27,248.27,9102,1786701367227-0,md:candles:5m,1786701367545
1786701599999,BANKBARODA,5m,248.27,248.27,248.22,248.22,7692259,1786702928186-0,md:candles:5m,1786702937785
1786703099999,BANKBARODA,5m,248.22,248.22,248.22,248.22,637,1786703228101-0,md:candles:5m,1786703229106
