ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,BANKINDIA,10m,144.19,144.23,144.10,144.18,47217,1786699270123-0,md:candles:10m,1786699276624
1786699799999,BANKINDIA,10m,144.18,144.29,144.10,144.12,108620,1786699867644-0,md:candles:10m,1786699876284
1786700399999,BANKINDIA,10m,144.13,144.25,143.95,143.99,214964,1786700471376-0,md:candles:10m,1786700482979
1786700999999,BANKINDIA,10m,143.97,144.10,143.90,143.90,160201,1786701074333-0,md:candles:10m,1786701080910
1786701599999,BANKINDIA,10m,143.90,144.10,143.90,144.10,3839678,1786702868403-0,md:candles:10m,1786702875014
1786702850000,BANKINDIA,1d,144.19,144.29,143.90,144.10,4370680,1786702855992-0,md:candles:1d,1786702862495
1786698959999,BANKINDIA,1m,144.19,144.19,144.13,144.13,313,1786698970058-0,md:candles:1m,1786698974630
1786699019999,BANKINDIA,1m,144.17,144.19,144.10,144.19,25155,1786699026562-0,md:candles:1m,1786699028548
1786699079999,BANKINDIA,1m,144.18,144.23,144.15,144.19,10567,1786699087189-0,md:candles:1m,1786699094422
1786699139999,BANKINDIA,1m,144.19,144.21,144.18,144.19,5608,1786699151705-0,md:candles:1m,1786699158101
1786699199999,BANKINDIA,1m,144.19,144.20,144.12,144.18,5574,1786699205173-0,md:candles:1m,1786699208603
1786699259999,BANKINDIA,1m,144.18,144.19,144.18,144.19,2079,1786699270118-0,md:candles:1m,1786699273120
1786699319999,BANKINDIA,1m,144.19,144.28,144.15,144.25,10713,1786699329915-0,md:candles:1m,1786699339124
1786699379999,BANKINDIA,1m,144.21,144.21,144.20,144.20,762,1786699386705-0,md:candles:1m,1786699391745
1786699439999,BANKINDIA,1m,144.21,144.21,144.17,144.17,3778,1786699445297-0,md:candles:1m,1786699445600
1786699499999,BANKINDIA,1m,144.17,144.19,144.17,144.19,11415,1786699511195-0,md:candles:1m,1786699523104
1786699559999,BANKINDIA,1m,144.18,144.22,144.17,144.19,16012,1786699566921-0,md:candles:1m,1786699576085
1786699619999,BANKINDIA,1m,144.20,144.24,144.19,144.23,3888,1786699626334-0,md:candles:1m,1786699627296
1786699679999,BANKINDIA,1m,144.23,144.29,144.20,144.29,6945,1786699686945-0,md:candles:1m,1786699689702
1786699739999,BANKINDIA,1m,144.25,144.25,144.10,144.16,42483,1786699746987-0,md:candles:1m,1786699754023
1786699799999,BANKINDIA,1m,144.14,144.16,144.10,144.12,10545,1786699808092-0,md:candles:1m,1786699821286
1786699859999,BANKINDIA,1m,144.13,144.25,144.11,144.25,26069,1786699867638-0,md:candles:1m,1786699871843
1786699919999,BANKINDIA,1m,144.18,144.22,144.14,144.14,26962,1786699926975-0,md:candles:1m,1786699936026
1786699979999,BANKINDIA,1m,144.15,144.18,144.13,144.15,6561,1786699985553-0,md:candles:1m,1786699989617
1786700039999,BANKINDIA,1m,144.17,144.19,144.10,144.14,13430,1786700045731-0,md:candles:1m,1786700051805
1786700099999,BANKINDIA,1m,144.14,144.19,144.12,144.17,15432,1786700108628-0,md:candles:1m,1786700118244
1786700159999,BANKINDIA,1m,144.17,144.17,144.06,144.08,14408,1786700171519-0,md:candles:1m,1786700171522
1786700219999,BANKINDIA,1m,144.08,144.08,144.02,144.03,13479,1786700227278-0,md:candles:1m,1786700233604
1786700279999,BANKINDIA,1m,144.03,144.05,143.95,144.05,60477,1786700289338-0,md:candles:1m,1786700298079
1786700339999,BANKINDIA,1m,144.05,144.09,144.00,144.08,7708,1786700349143-0,md:candles:1m,1786700351053
1786700399999,BANKINDIA,1m,144.09,144.09,143.99,143.99,30438,1786700407383-0,md:candles:1m,1786700412580
1786700459999,BANKINDIA,1m,143.97,144.00,143.92,143.93,27863,1786700471356-0,md:candles:1m,1786700476026
1786700519999,BANKINDIA,1m,144.05,144.10,143.92,143.95,42154,1786700525405-0,md:candles:1m,1786700529452
1786700579999,BANKINDIA,1m,143.97,144.07,143.95,144.05,60202,1786700588594-0,md:candles:1m,1786700591306
1786700639999,BANKINDIA,1m,144.04,144.08,144.02,144.07,12840,1786700645499-0,md:candles:1m,1786700653590
1786700699999,BANKINDIA,1m,144.05,144.10,143.90,143.90,16891,1786700706655-0,md:candles:1m,1786700715149
1786700759999,BANKINDIA,1m,143.90,143.90,143.90,143.90,251,1786701005398-0,md:candles:1m,1786701010481
1786701059999,BANKINDIA,1m,143.90,143.90,143.90,143.90,6648,1786701074326-0,md:candles:1m,1786701082805
1786701119999,BANKINDIA,1m,143.90,143.90,143.90,143.90,1382,1786701136901-0,md:candles:1m,1786701137210
1786701179999,BANKINDIA,1m,143.90,143.90,143.90,143.90,117,1786701191030-0,md:candles:1m,1786701191510
1786701239999,BANKINDIA,1m,143.90,143.90,143.90,143.90,178,1786701245209-0,md:candles:1m,1786701248276
1786701299999,BANKINDIA,1m,143.90,143.90,143.90,143.90,1074,1786701366962-0,md:candles:1m,1786701367943
1786701419999,BANKINDIA,1m,143.90,143.90,143.90,143.90,500,1786701439397-0,md:candles:1m,1786701443578
1786701479999,BANKINDIA,1m,143.90,143.90,143.90,143.90,1,1786701517804-0,md:candles:1m,1786701517806
1786701539999,BANKINDIA,1m,144.10,144.10,144.10,144.10,3829778,1786702855990-0,md:candles:1m,1786702863402
1786702859999,BANKINDIA,1m,144.10,144.10,144.10,144.10,500,1786702868400-0,md:candles:1m,1786702874006
1786702919999,BANKINDIA,1m,144.10,144.10,144.10,144.10,0,1786703028681-0,md:candles:1m,1786703033286
1786703039999,BANKINDIA,1m,144.10,144.10,144.10,144.10,1000,1786703108686-0,md:candles:1m,1786703118294
1786703159999,BANKINDIA,1m,144.10,144.10,144.10,144.10,20,1786703240207-0,md:candles:1m,1786703250920
1786703279999,BANKINDIA,1m,144.10,144.10,144.10,144.10,250,1786703362161-0,md:candles:1m,1786703368956
1786699799999,BANKINDIA,30m,144.19,144.29,144.10,144.12,155837,1786699867646-0,md:candles:30m,1786699872287
1786701599999,BANKINDIA,30m,144.13,144.25,143.90,144.10,4214843,1786702868405-0,md:candles:30m,1786702871507
1786699199999,BANKINDIA,5m,144.19,144.23,144.10,144.18,47217,1786699270122-0,md:candles:5m,1786699276624
1786699499999,BANKINDIA,5m,144.18,144.28,144.15,144.19,28747,1786699566922-0,md:candles:5m,1786699570970
1786699799999,BANKINDIA,5m,144.18,144.29,144.10,144.12,79873,1786699867642-0,md:candles:5m,1786699868444
1786700099999,BANKINDIA,5m,144.13,144.25,144.10,144.17,88454,1786700171521-0,md:candles:5m,1786700182927
1786700399999,BANKINDIA,5m,144.17,144.17,143.95,143.99,126510,1786700471373-0,md:candles:5m,1786700482979
1786700699999,BANKINDIA,5m,143.97,144.10,143.90,143.90,159950,1786701005404-0,md:candles:5m,1786701013188
1786700999999,BANKINDIA,5m,143.90,143.90,143.90,143.90,251,1786701074330-0,md:candles:5m,1786701080800
1786701299999,BANKINDIA,5m,143.90,143.90,143.90,143.90,9399,1786701439399-0,md:candles:5m,1786701445711
1786701599999,BANKINDIA,5m,143.90,144.10,143.90,144.10,3830279,1786702868401-0,md:candles:5m,1786702874028
1786703099999,BANKINDIA,5m,144.10,144.10,144.10,144.10,1500,1786703240209-0,md:candles:5m,1786703240202
