ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,BDL,10m,1412.10,1414.80,1408.60,1410.00,141458,1786699265637-0,md:candles:10m,1786699276624
1786699799999,BDL,10m,1409.50,1410.80,1386.40,1400.50,475154,1786699865634-0,md:candles:10m,1786699876284
1786700399999,BDL,10m,1400.50,1400.50,1387.40,1397.70,293324,1786700465305-0,md:candles:10m,1786700471301
1786700999999,BDL,10m,1398.00,1400.00,1393.80,1398.00,185233,1786701067988-0,md:candles:10m,1786701070102
1786701599999,BDL,10m,1398.00,1398.00,1398.00,1398.00,8456014,1786702878524-0,md:candles:10m,1786702885431
1786702800000,BDL,1d,1412.10,1414.80,1386.40,1398.00,9551183,1786702805421-0,md:candles:1d,1786702807233
1786698959999,BDL,1m,1412.10,1412.10,1409.20,1410.80,11049,1786698965304-0,md:candles:1m,1786698974630
1786699019999,BDL,1m,1411.80,1414.00,1410.10,1411.80,32575,1786699025476-0,md:candles:1m,1786699028548
1786699079999,BDL,1m,1412.10,1414.00,1410.00,1413.10,29262,1786699085193-0,md:candles:1m,1786699094422
1786699139999,BDL,1m,1413.10,1414.80,1410.30,1411.00,36354,1786699146086-0,md:candles:1m,1786699146984
1786699199999,BDL,1m,1411.00,1412.40,1408.60,1410.00,32218,1786699205635-0,md:candles:1m,1786699208603
1786699259999,BDL,1m,1409.50,1410.80,1403.70,1405.50,63533,1786699265624-0,md:candles:1m,1786699273120
1786699319999,BDL,1m,1405.00,1408.10,1404.00,1406.10,38088,1786699325466-0,md:candles:1m,1786699326703
1786699379999,BDL,1m,1406.10,1407.90,1397.50,1398.50,76010,1786699385180-0,md:candles:1m,1786699391745
1786699439999,BDL,1m,1398.60,1399.20,1392.60,1396.80,58698,1786699445270-0,md:candles:1m,1786699445600
1786699499999,BDL,1m,1396.10,1397.10,1386.40,1393.90,97503,1786699505269-0,md:candles:1m,1786699511111
1786699559999,BDL,1m,1393.90,1399.60,1393.90,1397.90,45189,1786699565764-0,md:candles:1m,1786699576085
1786699619999,BDL,1m,1397.50,1400.00,1393.70,1393.80,34187,1786699625406-0,md:candles:1m,1786699627296
1786699679999,BDL,1m,1393.80,1396.50,1393.00,1396.10,12895,1786699685309-0,md:candles:1m,1786699689702
1786699739999,BDL,1m,1396.10,1397.90,1394.10,1395.10,28605,1786699745941-0,md:candles:1m,1786699754023
1786699799999,BDL,1m,1395.20,1401.00,1394.90,1400.50,20446,1786699805235-0,md:candles:1m,1786699807941
1786699859999,BDL,1m,1400.50,1400.50,1392.10,1392.10,28394,1786699865627-0,md:candles:1m,1786699871843
1786699919999,BDL,1m,1392.50,1394.90,1387.40,1392.20,37007,1786699925711-0,md:candles:1m,1786699936026
1786699979999,BDL,1m,1392.30,1393.50,1388.60,1391.00,26736,1786699985716-0,md:candles:1m,1786699989617
1786700039999,BDL,1m,1390.50,1394.60,1390.50,1391.50,19457,1786700045382-0,md:candles:1m,1786700051805
1786700099999,BDL,1m,1391.50,1392.50,1390.00,1390.00,16109,1786700105896-0,md:candles:1m,1786700118244
1786700159999,BDL,1m,1391.00,1394.00,1388.20,1393.80,28160,1786700166119-0,md:candles:1m,1786700171522
1786700219999,BDL,1m,1392.90,1395.00,1387.60,1395.00,55420,1786700225160-0,md:candles:1m,1786700233604
1786700279999,BDL,1m,1394.40,1397.30,1393.70,1396.40,26838,1786700285198-0,md:candles:1m,1786700286220
1786700339999,BDL,1m,1396.90,1397.80,1395.00,1395.00,16004,1786700345478-0,md:candles:1m,1786700351053
1786700399999,BDL,1m,1395.80,1397.70,1394.90,1397.70,39199,1786700406133-0,md:candles:1m,1786700412580
1786700459999,BDL,1m,1398.00,1398.90,1397.10,1397.90,29422,1786700465301-0,md:candles:1m,1786700476026
1786700519999,BDL,1m,1397.90,1398.40,1397.10,1397.80,37782,1786700525583-0,md:candles:1m,1786700529452
1786700579999,BDL,1m,1397.10,1399.10,1393.80,1397.90,62952,1786700585409-0,md:candles:1m,1786700591306
1786700639999,BDL,1m,1397.70,1400.00,1397.20,1399.30,26976,1786700645770-0,md:candles:1m,1786700653590
1786700699999,BDL,1m,1399.30,1399.30,1395.50,1398.00,27951,1786700705834-0,md:candles:1m,1786700715149
1786700759999,BDL,1m,1398.00,1398.00,1398.00,1398.00,150,1786701005390-0,md:candles:1m,1786701010481
1786701059999,BDL,1m,1398.00,1398.00,1398.00,1398.00,3257,1786701067985-0,md:candles:1m,1786701071890
1786701119999,BDL,1m,1398.00,1398.00,1398.00,1398.00,2248,1786701130775-0,md:candles:1m,1786701137210
1786701179999,BDL,1m,1398.00,1398.00,1398.00,1398.00,2577,1786701191023-0,md:candles:1m,1786701191510
1786701239999,BDL,1m,1398.00,1398.00,1398.00,1398.00,3091,1786701251471-0,md:candles:1m,1786701260413
1786701299999,BDL,1m,1398.00,1398.00,1398.00,1398.00,1062,1786701307190-0,md:candles:1m,1786701313567
1786701359999,BDL,1m,1398.00,1398.00,1398.00,1398.00,842,1786701366955-0,md:candles:1m,1786701367943
1786701419999,BDL,1m,1398.00,1398.00,1398.00,1398.00,1005,1786701425876-0,md:candles:1m,1786701432770
1786701479999,BDL,1m,1398.00,1398.00,1398.00,1398.00,3388,1786701488862-0,md:candles:1m,1786701496799
1786701539999,BDL,1m,1398.00,1398.00,1398.00,1398.00,8438544,1786702805419-0,md:candles:1m,1786702808525
1786702859999,BDL,1m,1398.00,1398.00,1398.00,1398.00,1001,1786702878516-0,md:candles:1m,1786702884923
1786702919999,BDL,1m,1398.00,1398.00,1398.00,1398.00,24,1786702937489-0,md:candles:1m,1786702947398
1786702979999,BDL,1m,1398.00,1398.00,1398.00,1398.00,51,1786702991443-0,md:candles:1m,1786703000545
1786703039999,BDL,1m,1398.00,1398.00,1398.00,1398.00,629,1786703093967-0,md:candles:1m,1786703098055
1786703099999,BDL,1m,1398.00,1398.00,1398.00,1398.00,2,1786703111179-0,md:candles:1m,1786703118294
1786703159999,BDL,1m,1398.00,1398.00,1398.00,1398.00,100,1786703201982-0,md:candles:1m,1786703206602
1786703219999,BDL,1m,1398.00,1398.00,1398.00,1398.00,4,1786703261434-0,md:candles:1m,1786703271541
1786703279999,BDL,1m,1398.00,1398.00,1398.00,1398.00,21,1786703294566-0,md:candles:1m,1786703302579
1786699799999,BDL,30m,1412.10,1414.80,1386.40,1400.50,616612,1786699865635-0,md:candles:30m,1786699872287
1786701599999,BDL,30m,1400.50,1400.50,1387.40,1398.00,8934571,1786702878527-0,md:candles:30m,1786702882739
1786699199999,BDL,5m,1412.10,1414.80,1408.60,1410.00,141458,1786699265635-0,md:candles:5m,1786699276624
1786699499999,BDL,5m,1409.50,1410.80,1386.40,1393.90,333832,1786699565765-0,md:candles:5m,1786699570970
1786699799999,BDL,5m,1393.90,1401.00,1393.00,1400.50,141322,1786699865633-0,md:candles:5m,1786699868444
1786700099999,BDL,5m,1400.50,1400.50,1387.40,1390.00,127703,1786700166124-0,md:candles:5m,1786700170829
1786700399999,BDL,5m,1391.00,1397.80,1387.60,1397.70,165621,1786700465303-0,md:candles:5m,1786700471362
1786700699999,BDL,5m,1398.00,1400.00,1393.80,1398.00,185083,1786701005395-0,md:candles:5m,1786701013188
1786700999999,BDL,5m,1398.00,1398.00,1398.00,1398.00,150,1786701067987-0,md:candles:5m,1786701068420
1786701299999,BDL,5m,1398.00,1398.00,1398.00,1398.00,12235,1786701366960-0,md:candles:5m,1786701367545
1786701599999,BDL,5m,1398.00,1398.00,1398.00,1398.00,8443779,1786702878521-0,md:candles:5m,1786702884923
1786703099999,BDL,5m,1398.00,1398.00,1398.00,1398.00,1707,1786703201985-0,md:candles:5m,1786703207585
