ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,BEL,10m,411.00,411.15,410.70,410.75,46865,1786699266736-0,md:candles:10m,1786699276624
1786699799999,BEL,10m,410.80,410.95,410.30,410.40,154501,1786699867849-0,md:candles:10m,1786699876284
1786700399999,BEL,10m,410.50,410.65,410.15,410.50,591086,1786700471450-0,md:candles:10m,1786700482979
1786700999999,BEL,10m,410.55,411.00,410.50,410.90,436976,1786701068190-0,md:candles:10m,1786701070102
1786701599999,BEL,10m,410.90,410.90,410.80,410.80,7261863,1786702879025-0,md:candles:10m,1786702885431
1786702800000,BEL,1d,411.00,411.15,410.15,410.80,8491291,1786702805539-0,md:candles:1d,1786702807233
1786698959999,BEL,1m,411.00,411.15,411.00,411.00,12448,1786698965566-0,md:candles:1m,1786698974630
1786699019999,BEL,1m,411.05,411.05,410.70,410.80,10243,1786699028061-0,md:candles:1m,1786699028548
1786699079999,BEL,1m,410.70,410.90,410.70,410.85,8790,1786699087254-0,md:candles:1m,1786699094422
1786699139999,BEL,1m,410.90,410.90,410.75,410.75,8169,1786699146676-0,md:candles:1m,1786699146984
1786699199999,BEL,1m,410.80,410.85,410.75,410.75,7215,1786699205362-0,md:candles:1m,1786699208603
1786699259999,BEL,1m,410.80,410.95,410.70,410.70,16928,1786699266709-0,md:candles:1m,1786699273120
1786699319999,BEL,1m,410.75,410.75,410.55,410.60,11980,1786699325807-0,md:candles:1m,1786699326703
1786699379999,BEL,1m,410.65,410.80,410.60,410.65,5360,1786699387420-0,md:candles:1m,1786699391745
1786699439999,BEL,1m,410.65,410.65,410.55,410.65,5673,1786699445483-0,md:candles:1m,1786699445600
1786699499999,BEL,1m,410.65,410.65,410.35,410.50,32161,1786699506868-0,md:candles:1m,1786699511111
1786699559999,BEL,1m,410.55,410.65,410.55,410.55,9717,1786699566938-0,md:candles:1m,1786699576085
1786699619999,BEL,1m,410.60,410.60,410.55,410.55,18594,1786699626537-0,md:candles:1m,1786699627296
1786699679999,BEL,1m,410.55,410.60,410.40,410.60,16519,1786699686962-0,md:candles:1m,1786699689702
1786699739999,BEL,1m,410.55,410.60,410.35,410.40,16719,1786699747011-0,md:candles:1m,1786699754023
1786699799999,BEL,1m,410.45,410.50,410.30,410.40,20850,1786699808116-0,md:candles:1m,1786699821286
1786699859999,BEL,1m,410.50,410.50,410.45,410.50,14956,1786699867840-0,md:candles:1m,1786699871843
1786699919999,BEL,1m,410.50,410.55,410.15,410.35,123202,1786699927389-0,md:candles:1m,1786699936026
1786699979999,BEL,1m,410.40,410.65,410.15,410.50,113423,1786699985418-0,md:candles:1m,1786699989617
1786700039999,BEL,1m,410.55,410.60,410.40,410.40,20477,1786700045896-0,md:candles:1m,1786700051805
1786700099999,BEL,1m,410.35,410.60,410.35,410.60,43859,1786700108835-0,md:candles:1m,1786700118244
1786700159999,BEL,1m,410.50,410.55,410.50,410.50,82789,1786700171565-0,md:candles:1m,1786700182927
1786700219999,BEL,1m,410.55,410.65,410.50,410.55,96438,1786700227336-0,md:candles:1m,1786700233604
1786700279999,BEL,1m,410.60,410.60,410.50,410.55,37931,1786700289431-0,md:candles:1m,1786700298079
1786700339999,BEL,1m,410.50,410.55,410.45,410.45,24361,1786700349277-0,md:candles:1m,1786700351053
1786700399999,BEL,1m,410.45,410.55,410.45,410.50,33650,1786700407411-0,md:candles:1m,1786700412580
1786700459999,BEL,1m,410.55,410.60,410.55,410.55,45740,1786700471426-0,md:candles:1m,1786700476026
1786700519999,BEL,1m,410.60,410.60,410.55,410.55,38401,1786700525890-0,md:candles:1m,1786700529452
1786700579999,BEL,1m,410.55,410.55,410.50,410.50,73188,1786700590574-0,md:candles:1m,1786700591306
1786700639999,BEL,1m,410.55,411.00,410.50,411.00,232428,1786700650463-0,md:candles:1m,1786700653590
1786700699999,BEL,1m,410.95,411.00,410.50,410.50,45908,1786700706845-0,md:candles:1m,1786700715149
1786700759999,BEL,1m,410.90,410.90,410.90,410.90,1311,1786701005591-0,md:candles:1m,1786701010481
1786701059999,BEL,1m,410.90,410.90,410.90,410.90,6341,1786701068186-0,md:candles:1m,1786701071890
1786701119999,BEL,1m,410.90,410.90,410.90,410.90,31073,1786701130878-0,md:candles:1m,1786701137210
1786701179999,BEL,1m,410.90,410.90,410.90,410.90,1449,1786701185194-0,md:candles:1m,1786701191510
1786701239999,BEL,1m,410.90,410.90,410.90,410.90,619,1786701245287-0,md:candles:1m,1786701248276
1786701299999,BEL,1m,410.90,410.90,410.90,410.90,1175,1786701307455-0,md:candles:1m,1786701313567
1786701359999,BEL,1m,410.90,410.90,410.90,410.90,722,1786701373573-0,md:candles:1m,1786701379364
1786701419999,BEL,1m,410.90,410.90,410.90,410.90,361,1786701426078-0,md:candles:1m,1786701432770
1786701479999,BEL,1m,410.90,410.90,410.90,410.90,1818,1786701489062-0,md:candles:1m,1786701496799
1786701539999,BEL,1m,410.90,410.90,410.80,410.80,7218305,1786702805538-0,md:candles:1m,1786702808525
1786702859999,BEL,1m,410.80,410.80,410.80,410.80,395,1786702879020-0,md:candles:1m,1786702884923
1786702919999,BEL,1m,410.80,410.80,410.80,410.80,332,1786702927586-0,md:candles:1m,1786702937190
1786702979999,BEL,1m,410.80,410.80,410.80,410.80,390,1786703040798-0,md:candles:1m,1786703044208
1786703039999,BEL,1m,410.80,410.80,410.80,410.80,1,1786703094463-0,md:candles:1m,1786703098055
1786703099999,BEL,1m,410.80,410.80,410.80,410.80,1300,1786703168947-0,md:candles:1m,1786703173539
1786703219999,BEL,1m,410.80,410.80,410.80,410.80,16,1786703301378-0,md:candles:1m,1786703302579
1786703339999,BEL,1m,410.80,410.80,410.80,410.80,131,1786703350644-0,md:candles:1m,1786703358163
1786699799999,BEL,30m,411.00,411.15,410.30,410.40,201366,1786699867851-0,md:candles:30m,1786699872287
1786701599999,BEL,30m,410.50,411.00,410.15,410.80,8289925,1786702879026-0,md:candles:30m,1786702882739
1786699199999,BEL,5m,411.00,411.15,410.70,410.75,46865,1786699266734-0,md:candles:5m,1786699276624
1786699499999,BEL,5m,410.80,410.95,410.35,410.50,72102,1786699566948-0,md:candles:5m,1786699570970
1786699799999,BEL,5m,410.55,410.65,410.30,410.40,82399,1786699867848-0,md:candles:5m,1786699868444
1786700099999,BEL,5m,410.50,410.65,410.15,410.60,315917,1786700171569-0,md:candles:5m,1786700182927
1786700399999,BEL,5m,410.50,410.65,410.45,410.50,275169,1786700471449-0,md:candles:5m,1786700482979
1786700699999,BEL,5m,410.55,411.00,410.50,410.50,435665,1786701005592-0,md:candles:5m,1786701013188
1786700999999,BEL,5m,410.90,410.90,410.90,410.90,1311,1786701068188-0,md:candles:5m,1786701068420
1786701299999,BEL,5m,410.90,410.90,410.90,410.90,40657,1786701373576-0,md:candles:5m,1786701379364
1786701599999,BEL,5m,410.90,410.90,410.80,410.80,7221206,1786702879024-0,md:candles:5m,1786702884923
1786703099999,BEL,5m,410.80,410.80,410.80,410.80,2418,1786703301382-0,md:candles:5m,1786703306386
