ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,BHARATFORG,10m,2061.90,2064.40,2058.40,2058.70,14129,1786699265360-0,md:candles:10m,1786699265610
1786699799999,BHARATFORG,10m,2058.80,2063.30,2058.80,2062.20,22676,1786699866126-0,md:candles:10m,1786699876284
1786700399999,BHARATFORG,10m,2062.30,2065.00,2061.20,2064.90,54275,1786700465629-0,md:candles:10m,1786700471301
1786700999999,BHARATFORG,10m,2065.00,2065.10,2056.30,2064.00,27129,1786701069221-0,md:candles:10m,1786701070102
1786701599999,BHARATFORG,10m,2064.00,2065.00,2064.00,2065.00,804563,1786703149623-0,md:candles:10m,1786703153627
1786702871000,BHARATFORG,1d,2061.90,2065.10,2056.30,2065.00,922772,1786702877119-0,md:candles:1d,1786702885317
1786698959999,BHARATFORG,1m,2061.90,2062.20,2061.90,2062.20,558,1786698965331-0,md:candles:1m,1786698974630
1786699019999,BHARATFORG,1m,2061.70,2062.00,2060.30,2060.80,1959,1786699027865-0,md:candles:1m,1786699028548
1786699079999,BHARATFORG,1m,2060.50,2062.20,2059.60,2060.70,2798,1786699085652-0,md:candles:1m,1786699094422
1786699139999,BHARATFORG,1m,2061.00,2064.40,2059.60,2059.60,6617,1786699145474-0,md:candles:1m,1786699146984
1786699199999,BHARATFORG,1m,2059.60,2059.70,2058.40,2058.70,2197,1786699205461-0,md:candles:1m,1786699208603
1786699259999,BHARATFORG,1m,2058.80,2061.70,2058.80,2060.20,2674,1786699265349-0,md:candles:1m,1786699273120
1786699319999,BHARATFORG,1m,2060.20,2061.00,2060.10,2060.10,1681,1786699325735-0,md:candles:1m,1786699326703
1786699379999,BHARATFORG,1m,2060.20,2061.90,2059.70,2061.30,5252,1786699387724-0,md:candles:1m,1786699391745
1786699439999,BHARATFORG,1m,2061.30,2063.30,2061.30,2062.50,1798,1786699445763-0,md:candles:1m,1786699457822
1786699499999,BHARATFORG,1m,2062.40,2063.30,2060.90,2061.90,2211,1786699505796-0,md:candles:1m,1786699511111
1786699559999,BHARATFORG,1m,2061.90,2061.90,2061.20,2061.20,1111,1786699565547-0,md:candles:1m,1786699576085
