ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,BHARTIARTL,10m,1998.10,1998.20,1996.10,1997.40,199934,1786699265649-0,md:candles:10m,1786699276624
1786699799999,BHARTIARTL,10m,1997.30,1997.80,1993.30,1994.00,528981,1786699866068-0,md:candles:10m,1786699876284
1786700399999,BHARTIARTL,10m,1993.90,1995.10,1989.30,1991.90,558998,1786700465209-0,md:candles:10m,1786700471301
1786700999999,BHARTIARTL,10m,1992.10,1993.20,1988.60,1992.00,289358,1786701068002-0,md:candles:10m,1786701070102
1786701599999,BHARTIARTL,10m,1992.00,1992.10,1992.00,1992.10,12026063,1786702880115-0,md:candles:10m,1786702885431
1786702800000,BHARTIARTL,1d,1998.10,1998.20,1988.60,1992.10,13603334,1786702805432-0,md:candles:1d,1786702807233
1786698959999,BHARTIARTL,1m,1998.10,1998.20,1997.00,1997.20,20825,1786698965437-0,md:candles:1m,1786698974630
1786699019999,BHARTIARTL,1m,1997.30,1998.00,1996.10,1997.40,39996,1786699025504-0,md:candles:1m,1786699028548
1786699079999,BHARTIARTL,1m,1997.50,1997.90,1996.30,1996.50,46080,1786699085302-0,md:candles:1m,1786699094422
1786699139999,BHARTIARTL,1m,1996.50,1997.50,1996.10,1997.20,55081,1786699146098-0,md:candles:1m,1786699146984
1786699199999,BHARTIARTL,1m,1997.30,1997.60,1996.90,1997.40,37952,1786699205647-0,md:candles:1m,1786699208603
1786699259999,BHARTIARTL,1m,1997.30,1997.70,1996.30,1997.30,52642,1786699265633-0,md:candles:1m,1786699273120
1786699319999,BHARTIARTL,1m,1996.60,1997.70,1996.50,1997.50,42814,1786699325594-0,md:candles:1m,1786699326703
1786699379999,BHARTIARTL,1m,1997.40,1997.80,1996.50,1997.10,50391,1786699385292-0,md:candles:1m,1786699391745
1786699439999,BHARTIARTL,1m,1997.20,1997.40,1995.40,1995.70,64301,1786699445373-0,md:candles:1m,1786699445600
1786699499999,BHARTIARTL,1m,1995.70,1996.20,1994.20,1994.90,87262,1786699505296-0,md:candles:1m,1786699511111
1786699559999,BHARTIARTL,1m,1994.70,1995.80,1993.70,1994.70,45619,1786699565783-0,md:candles:1m,1786699576085
1786699619999,BHARTIARTL,1m,1994.70,1996.00,1994.20,1995.30,41923,1786699625412-0,md:candles:1m,1786699627296
1786699679999,BHARTIARTL,1m,1995.30,1996.10,1993.30,1994.00,50273,1786699685316-0,md:candles:1m,1786699689702
1786699739999,BHARTIARTL,1m,1994.00,1995.00,1993.70,1994.00,50339,1786699746188-0,md:candles:1m,1786699754023
1786699799999,BHARTIARTL,1m,1994.00,1994.10,1993.60,1994.00,43417,1786699805254-0,md:candles:1m,1786699807941
1786699859999,BHARTIARTL,1m,1993.90,1995.10,1993.60,1994.70,50261,1786699866039-0,md:candles:1m,1786699871843
1786699919999,BHARTIARTL,1m,1994.80,1995.10,1994.50,1994.90,44925,1786699925955-0,md:candles:1m,1786699936026
1786699979999,BHARTIARTL,1m,1994.90,1995.10,1993.60,1994.40,50729,1786699985941-0,md:candles:1m,1786699989617
1786700039999,BHARTIARTL,1m,1994.40,1994.40,1992.40,1992.50,54727,1786700045508-0,md:candles:1m,1786700051805
1786700099999,BHARTIARTL,1m,1992.50,1992.50,1990.70,1991.30,63978,1786700106016-0,md:candles:1m,1786700118244
1786700159999,BHARTIARTL,1m,1991.40,1991.70,1990.60,1991.30,53486,1786700166150-0,md:candles:1m,1786700171522
1786700219999,BHARTIARTL,1m,1991.50,1991.50,1989.30,1990.00,61712,1786700225996-0,md:candles:1m,1786700233604
