ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,BHEL,10m,423.80,425.85,423.75,425.75,101503,1786699270553-0,md:candles:10m,1786699276624
1786699799999,BHEL,10m,425.70,426.90,424.65,424.90,392616,1786699865503-0,md:candles:10m,1786699876284
1786700399999,BHEL,10m,424.90,425.10,423.15,424.35,383842,1786700471463-0,md:candles:10m,1786700482979
1786700999999,BHEL,10m,424.30,424.50,423.10,423.15,256617,1786701068201-0,md:candles:10m,1786701070102
1786701599999,BHEL,10m,423.15,423.15,421.70,421.70,11282886,1786702867516-0,md:candles:10m,1786702875014
1786702800000,BHEL,1d,423.80,426.90,421.70,421.70,12417464,1786702805546-0,md:candles:1d,1786702807233
1786698959999,BHEL,1m,423.80,423.90,423.80,423.90,2521,1786698965575-0,md:candles:1m,1786698974630
1786699019999,BHEL,1m,423.80,423.95,423.80,423.80,16790,1786699028097-0,md:candles:1m,1786699028548
1786699079999,BHEL,1m,423.80,424.85,423.75,424.70,20844,1786699087256-0,md:candles:1m,1786699094422
1786699139999,BHEL,1m,424.75,425.80,424.75,425.80,41786,1786699145615-0,md:candles:1m,1786699146984
1786699199999,BHEL,1m,425.70,425.85,425.70,425.75,19562,1786699205662-0,md:candles:1m,1786699208603
1786699259999,BHEL,1m,425.70,425.95,425.70,425.95,20358,1786699270549-0,md:candles:1m,1786699273120
1786699319999,BHEL,1m,425.95,426.20,425.80,426.10,52480,1786699329928-0,md:candles:1m,1786699339124
1786699379999,BHEL,1m,426.20,426.40,426.15,426.25,31545,1786699387428-0,md:candles:1m,1786699391745
1786699439999,BHEL,1m,426.30,426.70,426.30,426.60,25870,1786699445628-0,md:candles:1m,1786699457822
1786699499999,BHEL,1m,426.60,426.90,426.60,426.90,59051,1786699506875-0,md:candles:1m,1786699511111
1786699559999,BHEL,1m,426.85,426.90,426.65,426.75,22862,1786699565561-0,md:candles:1m,1786699576085
1786699619999,BHEL,1m,426.65,426.70,426.40,426.50,43457,1786699626673-0,md:candles:1m,1786699627296
1786699679999,BHEL,1m,426.40,426.40,426.30,426.30,30478,1786699687709-0,md:candles:1m,1786699689702
1786699739999,BHEL,1m,426.30,426.30,425.00,425.00,59193,1786699747014-0,md:candles:1m,1786699754023
1786699799999,BHEL,1m,424.80,425.35,424.65,424.90,47322,1786699806107-0,md:candles:1m,1786699807941
1786699859999,BHEL,1m,424.90,425.10,424.60,424.85,34168,1786699865492-0,md:candles:1m,1786699871843
1786699919999,BHEL,1m,424.65,424.95,424.60,424.80,12260,1786699925457-0,md:candles:1m,1786699936026
1786699979999,BHEL,1m,424.75,424.80,424.60,424.65,22687,1786699985741-0,md:candles:1m,1786699989617
1786700039999,BHEL,1m,424.60,424.80,424.40,424.55,26593,1786700046009-0,md:candles:1m,1786700051805
1786700099999,BHEL,1m,424.55,424.55,424.15,424.50,31637,1786700108919-0,md:candles:1m,1786700118244
1786700159999,BHEL,1m,424.35,424.35,423.65,423.80,73738,1786700167231-0,md:candles:1m,1786700171522
1786700219999,BHEL,1m,423.65,423.95,423.15,423.35,88520,1786700225266-0,md:candles:1m,1786700233604
1786700279999,BHEL,1m,423.30,423.80,423.30,423.70,38446,1786700289439-0,md:candles:1m,1786700298079
1786700339999,BHEL,1m,423.70,424.20,423.70,424.20,17727,1786700349337-0,md:candles:1m,1786700351053
1786700399999,BHEL,1m,424.35,424.50,424.20,424.35,38066,1786700407413-0,md:candles:1m,1786700412580
1786700459999,BHEL,1m,424.30,424.45,424.20,424.45,28218,1786700471436-0,md:candles:1m,1786700476026
1786700519999,BHEL,1m,424.30,424.50,424.15,424.15,28181,1786700525893-0,md:candles:1m,1786700529452
1786700579999,BHEL,1m,424.15,424.15,423.60,423.70,137181,1786700588615-0,md:candles:1m,1786700591306
1786700639999,BHEL,1m,423.85,424.00,423.70,424.00,25060,1786700645524-0,md:candles:1m,1786700653590
1786700699999,BHEL,1m,423.90,424.00,423.10,423.35,35927,1786700706851-0,md:candles:1m,1786700715149
1786700759999,BHEL,1m,423.15,423.15,423.15,423.15,2050,1786701005598-0,md:candles:1m,1786701010481
1786701059999,BHEL,1m,423.15,423.15,423.15,423.15,2511,1786701068193-0,md:candles:1m,1786701071890
1786701119999,BHEL,1m,423.15,423.15,423.15,423.15,1463,1786701130978-0,md:candles:1m,1786701137210
1786701179999,BHEL,1m,423.15,423.15,423.15,423.15,7407,1786701185305-0,md:candles:1m,1786701191510
1786701239999,BHEL,1m,423.15,423.15,423.15,423.15,1025,1786701245636-0,md:candles:1m,1786701248276
1786701299999,BHEL,1m,423.15,423.15,423.15,423.15,1131,1786701307469-0,md:candles:1m,1786701313567
1786701359999,BHEL,1m,423.15,423.15,423.15,423.15,1427,1786701367296-0,md:candles:1m,1786701367943
1786701419999,BHEL,1m,423.15,423.15,423.15,423.15,652,1786701426083-0,md:candles:1m,1786701432770
1786701479999,BHEL,1m,423.15,423.15,423.15,423.15,591,1786701489068-0,md:candles:1m,1786701496799
1786701539999,BHEL,1m,423.15,423.15,421.70,421.70,11266679,1786702805545-0,md:candles:1m,1786702808525
1786702859999,BHEL,1m,421.70,421.70,421.70,421.70,2250,1786702867508-0,md:candles:1m,1786702874006
1786702919999,BHEL,1m,421.70,421.70,421.70,421.70,389,1786702947099-0,md:candles:1m,1786702947398
1786702979999,BHEL,1m,421.70,421.70,421.70,421.70,32,1786702995847-0,md:candles:1m,1786703000545
1786703039999,BHEL,1m,421.70,421.70,421.70,421.70,7,1786703087953-0,md:candles:1m,1786703098055
1786703099999,BHEL,1m,421.70,421.70,421.70,421.70,11,1786703114282-0,md:candles:1m,1786703118294
1786703159999,BHEL,1m,421.70,421.70,421.70,421.70,67,1786703210089-0,md:candles:1m,1786703218504
1786703219999,BHEL,1m,421.70,421.70,421.70,421.70,21,1786703291667-0,md:candles:1m,1786703292463
1786703339999,BHEL,1m,421.70,421.70,421.70,421.70,15,1786703359964-0,md:candles:1m,1786703368956
1786699799999,BHEL,30m,423.80,426.90,423.75,424.90,494119,1786699865504-0,md:candles:30m,1786699872287
1786701599999,BHEL,30m,424.90,425.10,421.70,421.70,11923345,1786702867517-0,md:candles:30m,1786702871507
1786699199999,BHEL,5m,423.80,425.85,423.75,425.75,101503,1786699270551-0,md:candles:5m,1786699276624
1786699499999,BHEL,5m,425.70,426.90,425.70,426.90,189304,1786699565564-0,md:candles:5m,1786699570970
1786699799999,BHEL,5m,426.85,426.90,424.65,424.90,203312,1786699865502-0,md:candles:5m,1786699868444
1786700099999,BHEL,5m,424.90,425.10,424.15,424.50,127345,1786700167236-0,md:candles:5m,1786700170829
1786700399999,BHEL,5m,424.35,424.50,423.15,424.35,256497,1786700471461-0,md:candles:5m,1786700482979
1786700699999,BHEL,5m,424.30,424.50,423.10,423.35,254567,1786701005600-0,md:candles:5m,1786701013188
1786700999999,BHEL,5m,423.15,423.15,423.15,423.15,2050,1786701068199-0,md:candles:5m,1786701068420
1786701299999,BHEL,5m,423.15,423.15,423.15,423.15,13537,1786701367298-0,md:candles:5m,1786701367545
1786701599999,BHEL,5m,423.15,423.15,421.70,421.70,11269349,1786702867515-0,md:candles:5m,1786702874028
1786703099999,BHEL,5m,421.70,421.70,421.70,421.70,2689,1786703210091-0,md:candles:5m,1786703218598
