ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,BIOCON,10m,415.25,415.50,415.25,415.45,28459,1786699270598-0,md:candles:10m,1786699276624
1786699799999,BIOCON,10m,415.45,415.50,414.80,415.05,117354,1786699867995-0,md:candles:10m,1786699876284
1786700399999,BIOCON,10m,415.05,415.25,414.75,415.25,123756,1786700471649-0,md:candles:10m,1786700482979
1786700999999,BIOCON,10m,415.25,415.35,414.70,414.85,83706,1786701068295-0,md:candles:10m,1786701070102
1786701599999,BIOCON,10m,414.85,417.00,414.85,417.00,3959339,1786703021777-0,md:candles:10m,1786703027576
1786702896000,BIOCON,1d,415.25,417.00,414.70,417.00,4312614,1786702901257-0,md:candles:1d,1786702907265
1786698959999,BIOCON,1m,415.25,415.50,415.25,415.50,4175,1786698965586-0,md:candles:1m,1786698974630
1786699019999,BIOCON,1m,415.40,415.50,415.30,415.40,5110,1786699026604-0,md:candles:1m,1786699028548
1786699079999,BIOCON,1m,415.35,415.40,415.30,415.40,7479,1786699087297-0,md:candles:1m,1786699094422
1786699139999,BIOCON,1m,415.30,415.50,415.25,415.50,7471,1786699150641-0,md:candles:1m,1786699158101
1786699199999,BIOCON,1m,415.35,415.50,415.35,415.45,4224,1786699205484-0,md:candles:1m,1786699208603
1786699259999,BIOCON,1m,415.45,415.50,415.10,415.10,8325,1786699270594-0,md:candles:1m,1786699273120
1786699319999,BIOCON,1m,415.10,415.15,415.00,415.10,32513,1786699329939-0,md:candles:1m,1786699339124
1786699379999,BIOCON,1m,415.15,415.15,414.80,415.10,20897,1786699387488-0,md:candles:1m,1786699391745
1786699439999,BIOCON,1m,415.05,415.15,414.95,415.15,8211,1786699445676-0,md:candles:1m,1786699457822
1786699499999,BIOCON,1m,415.00,415.30,415.00,415.05,10730,1786699506884-0,md:candles:1m,1786699511111
1786699559999,BIOCON,1m,415.15,415.20,414.90,415.00,6365,1786699567292-0,md:candles:1m,1786699576085
1786699619999,BIOCON,1m,414.95,415.00,414.95,415.00,7464,1786699626720-0,md:candles:1m,1786699627296
1786699679999,BIOCON,1m,415.00,415.05,414.95,415.00,6934,1786699687810-0,md:candles:1m,1786699689702
1786699739999,BIOCON,1m,415.00,415.00,414.90,415.00,7338,1786699747296-0,md:candles:1m,1786699754023
1786699799999,BIOCON,1m,414.95,415.10,414.95,415.05,8577,1786699813278-0,md:candles:1m,1786699821286
1786699859999,BIOCON,1m,415.05,415.10,415.00,415.10,9444,1786699867980-0,md:candles:1m,1786699871843
1786699919999,BIOCON,1m,415.10,415.15,415.05,415.10,8675,1786699927455-0,md:candles:1m,1786699936026
1786699979999,BIOCON,1m,415.05,415.10,415.00,415.00,9504,1786699985823-0,md:candles:1m,1786699989617
1786700039999,BIOCON,1m,414.95,415.00,414.95,415.00,8793,1786700046103-0,md:candles:1m,1786700051805
1786700099999,BIOCON,1m,415.00,415.25,415.00,415.10,18541,1786700108929-0,md:candles:1m,1786700118244
1786700159999,BIOCON,1m,415.10,415.10,414.85,414.90,20977,1786700167238-0,md:candles:1m,1786700171522
1786700219999,BIOCON,1m,414.85,414.95,414.75,414.95,13664,1786700227546-0,md:candles:1m,1786700233604
1786700279999,BIOCON,1m,414.95,414.95,414.80,414.95,13367,1786700289499-0,md:candles:1m,1786700298079
1786700339999,BIOCON,1m,414.95,415.05,414.95,415.00,10793,1786700349354-0,md:candles:1m,1786700351053
1786700399999,BIOCON,1m,415.05,415.25,415.00,415.25,9998,1786700410136-0,md:candles:1m,1786700412580
1786700459999,BIOCON,1m,415.25,415.25,415.20,415.25,9010,1786700471639-0,md:candles:1m,1786700476026
1786700519999,BIOCON,1m,415.25,415.25,415.20,415.20,20059,1786700525969-0,md:candles:1m,1786700529452
1786700579999,BIOCON,1m,415.20,415.25,414.85,415.00,25829,1786700590817-0,md:candles:1m,1786700591306
1786700639999,BIOCON,1m,415.00,415.35,414.95,414.95,12993,1786700650572-0,md:candles:1m,1786700653590
1786700699999,BIOCON,1m,414.95,415.00,414.70,414.85,15480,1786700706949-0,md:candles:1m,1786700715149
1786700759999,BIOCON,1m,414.85,414.85,414.85,414.85,335,1786701005700-0,md:candles:1m,1786701010481
1786701059999,BIOCON,1m,414.85,414.85,414.85,414.85,10976,1786701068290-0,md:candles:1m,1786701071890
1786701119999,BIOCON,1m,414.85,414.85,414.85,414.85,2614,1786701155513-0,md:candles:1m,1786701161014
