ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,BLUESTARCO,10m,1510.40,1510.90,1507.90,1508.80,2942,1786699266381-0,md:candles:10m,1786699276624
1786699799999,BLUESTARCO,10m,1509.20,1509.90,1506.50,1506.50,6512,1786699867976-0,md:candles:10m,1786699876284
1786700399999,BLUESTARCO,10m,1506.20,1508.30,1503.50,1506.30,15853,1786700465317-0,md:candles:10m,1786700471301
1786700999999,BLUESTARCO,10m,1506.90,1507.90,1503.00,1507.00,9957,1786701068280-0,md:candles:10m,1786701070102
1786703265000,BLUESTARCO,1d,1510.40,1510.90,1503.00,1508.00,357034,1786703270351-0,md:candles:1d,1786703276370
1786698959999,BLUESTARCO,1m,1510.40,1510.40,1508.90,1510.10,796,1786698967047-0,md:candles:1m,1786698974630
1786699019999,BLUESTARCO,1m,1510.10,1510.10,1509.50,1509.60,17,1786699026337-0,md:candles:1m,1786699028548
1786699079999,BLUESTARCO,1m,1509.60,1510.40,1509.50,1510.40,545,1786699087292-0,md:candles:1m,1786699094422
1786699139999,BLUESTARCO,1m,1510.90,1510.90,1509.50,1510.30,306,1786699146679-0,md:candles:1m,1786699146984
1786699199999,BLUESTARCO,1m,1510.10,1510.60,1507.90,1508.80,1278,1786699205478-0,md:candles:1m,1786699208603
1786699259999,BLUESTARCO,1m,1509.20,1509.90,1508.50,1509.60,295,1786699266369-0,md:candles:1m,1786699273120
1786699319999,BLUESTARCO,1m,1508.60,1509.10,1508.10,1509.00,34,1786699330192-0,md:candles:1m,1786699339124
1786699379999,BLUESTARCO,1m,1509.00,1509.40,1508.60,1509.10,98,1786699387475-0,md:candles:1m,1786699391745
1786699439999,BLUESTARCO,1m,1509.10,1509.40,1508.00,1508.80,962,1786699447182-0,md:candles:1m,1786699457822
1786699499999,BLUESTARCO,1m,1508.40,1509.60,1508.40,1509.10,1293,1786699511416-0,md:candles:1m,1786699523104
1786699559999,BLUESTARCO,1m,1509.20,1509.40,1508.30,1508.30,280,1786699566942-0,md:candles:1m,1786699576085
1786699619999,BLUESTARCO,1m,1509.00,1509.20,1508.40,1509.10,341,1786699626707-0,md:candles:1m,1786699627296
1786699679999,BLUESTARCO,1m,1508.30,1509.00,1508.20,1508.90,1068,1786699687808-0,md:candles:1m,1786699689702
1786699739999,BLUESTARCO,1m,1508.90,1508.90,1506.50,1506.80,678,1786699745422-0,md:candles:1m,1786699754023
1786699799999,BLUESTARCO,1m,1506.80,1506.90,1506.50,1506.50,1463,1786699808128-0,md:candles:1m,1786699821286
1786699859999,BLUESTARCO,1m,1506.20,1506.80,1505.90,1506.70,1492,1786699867971-0,md:candles:1m,1786699871843
1786699919999,BLUESTARCO,1m,1505.70,1506.10,1504.80,1504.80,964,1786699927449-0,md:candles:1m,1786699936026
1786699979999,BLUESTARCO,1m,1504.90,1505.30,1504.30,1505.30,1119,1786699985817-0,md:candles:1m,1786699989617
1786700039999,BLUESTARCO,1m,1506.10,1506.90,1505.40,1506.50,2564,1786700046101-0,md:candles:1m,1786700051805
1786700099999,BLUESTARCO,1m,1506.90,1507.30,1506.10,1506.80,319,1786700105769-0,md:candles:1m,1786700105816
1786700159999,BLUESTARCO,1m,1507.20,1507.20,1505.70,1505.80,544,1786700165309-0,md:candles:1m,1786700171522
1786700219999,BLUESTARCO,1m,1505.80,1506.90,1503.50,1506.10,3162,1786700227505-0,md:candles:1m,1786700233604
1786700279999,BLUESTARCO,1m,1505.10,1507.60,1503.50,1507.60,2450,1786700285208-0,md:candles:1m,1786700286220
1786700339999,BLUESTARCO,1m,1507.20,1508.30,1505.70,1508.00,1895,1786700345610-0,md:candles:1m,1786700351053
1786700399999,BLUESTARCO,1m,1508.00,1508.00,1506.30,1506.30,1344,1786700405241-0,md:candles:1m,1786700412580
1786700459999,BLUESTARCO,1m,1506.90,1507.90,1506.40,1507.80,1328,1786700465313-0,md:candles:1m,1786700476026
1786700519999,BLUESTARCO,1m,1507.80,1507.80,1506.00,1506.00,713,1786700525403-0,md:candles:1m,1786700529452
