ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,BOSCHLTD,10m,47215.00,47240.00,47210.00,47215.00,100,1786699276632-0,md:candles:10m,1786699276624
1786699799999,BOSCHLTD,10m,47215.00,47260.00,47195.00,47250.00,754,1786699868088-0,md:candles:10m,1786699876284
1786700399999,BOSCHLTD,10m,47250.00,47270.00,47210.00,47230.00,2191,1786700471724-0,md:candles:10m,1786700482979
1786700999999,BOSCHLTD,10m,47225.00,47250.00,47155.00,47250.00,1746,1786701068427-0,md:candles:10m,1786701070102
1786702800000,BOSCHLTD,1d,47215.00,47270.00,47100.00,47100.00,38222,1786702805734-0,md:candles:1d,1786702807233
1786698959999,BOSCHLTD,1m,47215.00,47240.00,47215.00,47215.00,9,1786698978595-0,md:candles:1m,1786698986423
1786699019999,BOSCHLTD,1m,47240.00,47240.00,47215.00,47240.00,32,1786699028163-0,md:candles:1m,1786699028548
1786699079999,BOSCHLTD,1m,47240.00,47240.00,47210.00,47220.00,22,1786699087322-0,md:candles:1m,1786699094422
1786699139999,BOSCHLTD,1m,47220.00,47225.00,47220.00,47220.00,17,1786699150651-0,md:candles:1m,1786699158101
1786699199999,BOSCHLTD,1m,47235.00,47235.00,47215.00,47215.00,20,1786699205623-0,md:candles:1m,1786699208603
1786699259999,BOSCHLTD,1m,47215.00,47230.00,47195.00,47220.00,177,1786699276628-0,md:candles:1m,1786699286206
1786699319999,BOSCHLTD,1m,47220.00,47225.00,47200.00,47210.00,57,1786699333823-0,md:candles:1m,1786699339124
1786699379999,BOSCHLTD,1m,47230.00,47235.00,47210.00,47235.00,44,1786699387511-0,md:candles:1m,1786699391745
1786699439999,BOSCHLTD,1m,47215.00,47235.00,47215.00,47215.00,24,1786699445694-0,md:candles:1m,1786699457822
1786699499999,BOSCHLTD,1m,47215.00,47235.00,47215.00,47235.00,42,1786699511485-0,md:candles:1m,1786699523104
