ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,BPCL,10m,318.65,318.65,318.50,318.55,10730,1786699270686-0,md:candles:10m,1786699276624
1786699799999,BPCL,10m,318.55,318.85,318.30,318.50,227663,1786699868231-0,md:candles:10m,1786699876284
1786700399999,BPCL,10m,318.45,318.45,318.00,318.05,415197,1786700471575-0,md:candles:10m,1786700482979
1786700999999,BPCL,10m,318.15,318.65,318.00,318.20,303419,1786701081329-0,md:candles:10m,1786701092722
1786701599999,BPCL,10m,318.20,319.45,318.20,319.45,7889220,1786703256345-0,md:candles:10m,1786703260731
1786702807000,BPCL,1d,318.65,319.45,318.00,319.45,8846229,1786702812148-0,md:candles:1d,1786702818543
1786698959999,BPCL,1m,318.65,318.65,318.50,318.65,739,1786698970555-0,md:candles:1m,1786698974630
1786699019999,BPCL,1m,318.65,318.65,318.55,318.65,948,1786699028196-0,md:candles:1m,1786699028548
1786699079999,BPCL,1m,318.65,318.65,318.55,318.60,2813,1786699087358-0,md:candles:1m,1786699094422
1786699139999,BPCL,1m,318.55,318.60,318.50,318.60,2206,1786699152204-0,md:candles:1m,1786699158101
1786699199999,BPCL,1m,318.55,318.60,318.55,318.55,4024,1786699206007-0,md:candles:1m,1786699208603
1786699259999,BPCL,1m,318.55,318.65,318.50,318.65,6747,1786699270676-0,md:candles:1m,1786699273120
1786699319999,BPCL,1m,318.50,318.75,318.50,318.65,4995,1786699330503-0,md:candles:1m,1786699339124
1786699379999,BPCL,1m,318.65,318.70,318.55,318.60,758,1786699387562-0,md:candles:1m,1786699391745
1786699439999,BPCL,1m,318.60,318.60,318.55,318.55,6439,1786699445897-0,md:candles:1m,1786699457822
1786699499999,BPCL,1m,318.55,318.85,318.55,318.60,134052,1786699506922-0,md:candles:1m,1786699511111
1786699559999,BPCL,1m,318.65,318.80,318.40,318.45,27426,1786699567573-0,md:candles:1m,1786699576085
1786699619999,BPCL,1m,318.45,318.45,318.35,318.35,9986,1786699626967-0,md:candles:1m,1786699627296
1786699679999,BPCL,1m,318.40,318.60,318.30,318.55,23300,1786699687006-0,md:candles:1m,1786699689702
1786699739999,BPCL,1m,318.65,318.65,318.50,318.50,5360,1786699747498-0,md:candles:1m,1786699754023
1786699799999,BPCL,1m,318.50,318.50,318.45,318.50,8600,1786699805349-0,md:candles:1m,1786699807941
1786699859999,BPCL,1m,318.45,318.45,318.40,318.40,16277,1786699868228-0,md:candles:1m,1786699871843
1786699919999,BPCL,1m,318.45,318.45,318.35,318.35,17251,1786699927569-0,md:candles:1m,1786699936026
1786699979999,BPCL,1m,318.40,318.40,318.25,318.25,45937,1786699986098-0,md:candles:1m,1786699989617
1786700039999,BPCL,1m,318.30,318.30,318.15,318.15,24283,1786700046390-0,md:candles:1m,1786700051805
1786700099999,BPCL,1m,318.20,318.25,318.05,318.15,24262,1786700109235-0,md:candles:1m,1786700118244
1786700159999,BPCL,1m,318.20,318.20,318.15,318.15,13585,1786700172251-0,md:candles:1m,1786700182927
