ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,BRITANNIA,10m,5574.00,5576.50,5570.00,5572.00,2148,1786699265387-0,md:candles:10m,1786699265610
1786699799999,BRITANNIA,10m,5571.50,5582.50,5559.00,5562.00,35790,1786699867861-0,md:candles:10m,1786699876284
1786700399999,BRITANNIA,10m,5565.00,5576.50,5563.00,5567.00,20643,1786700471472-0,md:candles:10m,1786700482979
1786700999999,BRITANNIA,10m,5568.50,5569.00,5550.00,5550.00,9547,1786701068212-0,md:candles:10m,1786701070102
1786701599999,BRITANNIA,10m,5550.00,5558.00,5550.00,5558.00,243337,1786703079950-0,md:candles:10m,1786703079948
1786702800000,BRITANNIA,1d,5574.00,5582.50,5550.00,5558.00,311465,1786702805622-0,md:candles:1d,1786702807233
1786698959999,BRITANNIA,1m,5574.00,5576.00,5572.50,5573.00,101,1786698966049-0,md:candles:1m,1786698974630
1786699019999,BRITANNIA,1m,5573.00,5575.50,5572.00,5572.00,304,1786699028108-0,md:candles:1m,1786699028548
1786699079999,BRITANNIA,1m,5572.00,5575.00,5571.00,5575.00,568,1786699087285-0,md:candles:1m,1786699094422
1786699139999,BRITANNIA,1m,5576.00,5576.50,5573.00,5573.50,324,1786699151896-0,md:candles:1m,1786699158101
1786699199999,BRITANNIA,1m,5573.50,5574.00,5570.00,5572.00,851,1786699205373-0,md:candles:1m,1786699208603
1786699259999,BRITANNIA,1m,5571.50,5575.00,5571.50,5574.00,111,1786699265384-0,md:candles:1m,1786699273120
1786699319999,BRITANNIA,1m,5571.50,5582.50,5571.00,5576.00,28217,1786699325811-0,md:candles:1m,1786699326703
1786699379999,BRITANNIA,1m,5577.00,5577.00,5569.00,5572.00,1615,1786699385738-0,md:candles:1m,1786699391745
1786699439999,BRITANNIA,1m,5569.00,5570.50,5567.00,5569.00,1082,1786699445380-0,md:candles:1m,1786699445600
1786699499999,BRITANNIA,1m,5568.00,5573.50,5567.00,5570.00,1106,1786699506877-0,md:candles:1m,1786699511111
1786699559999,BRITANNIA,1m,5568.50,5573.00,5568.50,5568.50,273,1786699565373-0,md:candles:1m,1786699576085
1786699619999,BRITANNIA,1m,5568.00,5568.50,5566.00,5566.00,476,1786699626679-0,md:candles:1m,1786699627296
1786699679999,BRITANNIA,1m,5565.50,5566.00,5561.00,5561.00,1218,1786699686966-0,md:candles:1m,1786699689702
1786699739999,BRITANNIA,1m,5561.50,5564.00,5559.00,5559.00,537,1786699747015-0,md:candles:1m,1786699754023
1786699799999,BRITANNIA,1m,5561.50,5566.00,5559.00,5562.00,1155,1786699808123-0,md:candles:1m,1786699821286
1786699859999,BRITANNIA,1m,5565.00,5568.50,5563.00,5567.50,2939,1786699867848-0,md:candles:1m,1786699871843
1786699919999,BRITANNIA,1m,5565.50,5571.50,5565.50,5570.50,4474,1786699927439-0,md:candles:1m,1786699936026
1786699979999,BRITANNIA,1m,5573.00,5576.50,5569.00,5570.00,1588,1786699985317-0,md:candles:1m,1786699989617
1786700039999,BRITANNIA,1m,5569.00,5570.50,5568.50,5570.50,422,1786700046013-0,md:candles:1m,1786700051805
1786700099999,BRITANNIA,1m,5570.00,5570.50,5568.50,5569.00,696,1786700108924-0,md:candles:1m,1786700118244
1786700159999,BRITANNIA,1m,5570.50,5570.50,5568.00,5569.00,2591,1786700167233-0,md:candles:1m,1786700171522
1786700219999,BRITANNIA,1m,5569.50,5571.00,5567.00,5567.00,3569,1786700227408-0,md:candles:1m,1786700233604
1786700279999,BRITANNIA,1m,5567.00,5569.50,5566.50,5567.00,1290,1786700289444-0,md:candles:1m,1786700298079
1786700339999,BRITANNIA,1m,5567.00,5568.50,5567.00,5567.00,1232,1786700349344-0,md:candles:1m,1786700351053
1786700399999,BRITANNIA,1m,5566.00,5572.00,5565.50,5567.00,1842,1786700407414-0,md:candles:1m,1786700412580
1786700459999,BRITANNIA,1m,5568.50,5569.00,5565.50,5566.00,2480,1786700471440-0,md:candles:1m,1786700476026
1786700519999,BRITANNIA,1m,5567.00,5569.00,5560.00,5560.00,3508,1786700525901-0,md:candles:1m,1786700529452
