ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,BSE,10m,3450.30,3451.70,3446.30,3448.60,32337,1786699266695-0,md:candles:10m,1786699276624
1786699799999,BSE,10m,3448.10,3457.30,3446.00,3448.00,97945,1786699866079-0,md:candles:10m,1786699876284
1786700399999,BSE,10m,3448.00,3453.80,3445.50,3447.70,148303,1786700465525-0,md:candles:10m,1786700471301
1786700999999,BSE,10m,3447.90,3450.00,3445.00,3446.10,68608,1786701067881-0,md:candles:10m,1786701070102
1786701599999,BSE,10m,3446.10,3447.00,3446.10,3447.00,3003677,1786702869504-0,md:candles:10m,1786702875014
1786702800000,BSE,1d,3450.30,3457.30,3445.00,3447.00,3350870,1786702805324-0,md:candles:1d,1786702807233
1786698959999,BSE,1m,3450.30,3451.00,3449.30,3450.60,10924,1786698965514-0,md:candles:1m,1786698974630
1786699019999,BSE,1m,3450.20,3451.70,3448.10,3450.10,6235,1786699025221-0,md:candles:1m,1786699028548
1786699079999,BSE,1m,3447.20,3450.70,3446.30,3448.60,5372,1786699086008-0,md:candles:1m,1786699094422
1786699139999,BSE,1m,3449.00,3449.90,3448.60,3449.20,3303,1786699145793-0,md:candles:1m,1786699146984
1786699199999,BSE,1m,3449.20,3449.80,3448.50,3448.60,6503,1786699206660-0,md:candles:1m,1786699208603
1786699259999,BSE,1m,3448.10,3449.90,3448.10,3449.90,9244,1786699266684-0,md:candles:1m,1786699273120
1786699319999,BSE,1m,3450.50,3451.10,3449.30,3450.90,6196,1786699325752-0,md:candles:1m,1786699326703
1786699379999,BSE,1m,3451.00,3451.00,3448.20,3448.20,5313,1786699386635-0,md:candles:1m,1786699391745
1786699439999,BSE,1m,3449.10,3457.30,3448.30,3451.90,42431,1786699445772-0,md:candles:1m,1786699457822
1786699499999,BSE,1m,3451.70,3453.20,3451.00,3451.50,5398,1786699505294-0,md:candles:1m,1786699511111
1786699559999,BSE,1m,3451.00,3451.60,3450.70,3451.50,5149,1786699565912-0,md:candles:1m,1786699576085
1786699619999,BSE,1m,3451.00,3451.60,3450.20,3450.20,4003,1786699626302-0,md:candles:1m,1786699627296
1786699679999,BSE,1m,3450.50,3451.00,3450.50,3450.90,4993,1786699686930-0,md:candles:1m,1786699689702
1786699739999,BSE,1m,3451.00,3451.00,3448.30,3449.50,7219,1786699746919-0,md:candles:1m,1786699754023
1786699799999,BSE,1m,3449.30,3449.50,3446.00,3448.00,7999,1786699805481-0,md:candles:1m,1786699807941
1786699859999,BSE,1m,3448.00,3450.40,3447.80,3449.60,10600,1786699866047-0,md:candles:1m,1786699871843
1786699919999,BSE,1m,3449.60,3449.60,3448.00,3449.10,5561,1786699926051-0,md:candles:1m,1786699936026
1786699979999,BSE,1m,3449.20,3449.40,3448.10,3448.50,10549,1786699985435-0,md:candles:1m,1786699989617
1786700039999,BSE,1m,3448.50,3448.70,3445.50,3447.50,17260,1786700045200-0,md:candles:1m,1786700051805
1786700099999,BSE,1m,3447.50,3449.00,3447.00,3448.70,10196,1786700106030-0,md:candles:1m,1786700118244
1786700159999,BSE,1m,3448.70,3453.80,3447.00,3452.50,32876,1786700165168-0,md:candles:1m,1786700171522
1786700219999,BSE,1m,3453.30,3453.30,3447.00,3451.00,19838,1786700226175-0,md:candles:1m,1786700233604
1786700279999,BSE,1m,3451.00,3451.00,3448.70,3449.90,12912,1786700285217-0,md:candles:1m,1786700286220
1786700339999,BSE,1m,3450.00,3450.00,3448.20,3449.90,5853,1786700346498-0,md:candles:1m,1786700351053
1786700399999,BSE,1m,3449.90,3450.00,3445.50,3447.70,22658,1786700407373-0,md:candles:1m,1786700412580
1786700459999,BSE,1m,3447.90,3449.00,3447.70,3449.00,13945,1786700465485-0,md:candles:1m,1786700476026
1786700519999,BSE,1m,3449.00,3449.20,3447.90,3448.50,10713,1786700525588-0,md:candles:1m,1786700529452
1786700579999,BSE,1m,3449.30,3450.00,3446.00,3447.40,25823,1786700588584-0,md:candles:1m,1786700591306
1786700639999,BSE,1m,3446.60,3447.40,3445.00,3445.40,9002,1786700645363-0,md:candles:1m,1786700653590
1786700699999,BSE,1m,3445.00,3448.00,3445.00,3446.10,9125,1786700705939-0,md:candles:1m,1786700715149
1786700759999,BSE,1m,3446.10,3446.10,3446.10,3446.10,0,1786701005274-0,md:candles:1m,1786701010481
1786701059999,BSE,1m,3446.10,3446.10,3446.10,3446.10,4069,1786701067878-0,md:candles:1m,1786701071890
1786701119999,BSE,1m,3446.10,3446.10,3446.10,3446.10,2064,1786701130669-0,md:candles:1m,1786701137210
1786701179999,BSE,1m,3446.10,3446.10,3446.10,3446.10,4616,1786701190910-0,md:candles:1m,1786701191510
1786701239999,BSE,1m,3446.10,3446.10,3446.10,3446.10,1359,1786701251454-0,md:candles:1m,1786701260413
1786701299999,BSE,1m,3446.10,3446.10,3446.10,3446.10,1013,1786701307080-0,md:candles:1m,1786701313567
1786701359999,BSE,1m,3446.10,3446.10,3446.10,3446.10,1033,1786701366852-0,md:candles:1m,1786701367943
1786701419999,BSE,1m,3446.10,3446.10,3446.10,3446.10,5858,1786701425768-0,md:candles:1m,1786701432770
1786701479999,BSE,1m,3446.10,3446.10,3446.10,3446.10,411,1786701488683-0,md:candles:1m,1786701496799
1786701539999,BSE,1m,3446.10,3447.00,3446.10,3447.00,2983254,1786702805322-0,md:candles:1m,1786702808525
1786702859999,BSE,1m,3447.00,3447.00,3447.00,3447.00,727,1786702869500-0,md:candles:1m,1786702874006
1786702919999,BSE,1m,3447.00,3447.00,3447.00,3447.00,147,1786702928783-0,md:candles:1m,1786702937190
1786702979999,BSE,1m,3447.00,3447.00,3447.00,3447.00,189,1786702987740-0,md:candles:1m,1786702990427
1786703039999,BSE,1m,3447.00,3447.00,3447.00,3447.00,87,1786703046304-0,md:candles:1m,1786703055708
1786703099999,BSE,1m,3447.00,3447.00,3447.00,3447.00,947,1786703107978-0,md:candles:1m,1786703108172
1786703159999,BSE,1m,3447.00,3447.00,3447.00,3447.00,157,1786703174854-0,md:candles:1m,1786703185263
1786703219999,BSE,1m,3447.00,3447.00,3447.00,3447.00,279,1786703236804-0,md:candles:1m,1786703239900
1786703279999,BSE,1m,3447.00,3447.00,3447.00,3447.00,773,1786703304788-0,md:candles:1m,1786703314394
1786703339999,BSE,1m,3447.00,3447.00,3447.00,3447.00,92,1786703354255-0,md:candles:1m,1786703358163
1786699799999,BSE,30m,3450.30,3457.30,3446.00,3448.00,130282,1786699866080-0,md:candles:30m,1786699872287
1786701599999,BSE,30m,3448.00,3453.80,3445.00,3447.00,3220588,1786702869505-0,md:candles:30m,1786702871507
