ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,CAMS,10m,763.25,763.80,763.10,763.45,10275,1786699266235-0,md:candles:10m,1786699276624
1786699799999,CAMS,10m,763.45,763.75,762.25,762.25,44868,1786699866092-0,md:candles:10m,1786699876284
1786700399999,CAMS,10m,762.40,763.30,761.50,761.65,80110,1786700465489-0,md:candles:10m,1786700471301
1786700999999,CAMS,10m,761.50,762.35,761.30,762.00,25438,1786701069788-0,md:candles:10m,1786701070102
1786701599999,CAMS,10m,762.00,762.25,762.00,762.25,879791,1786702896947-0,md:candles:10m,1786702906259
1786702859000,CAMS,1d,763.25,763.80,761.30,762.25,1040482,1786702864303-0,md:candles:1d,1786702873817
1786698959999,CAMS,1m,763.25,763.65,763.25,763.40,1066,1786698965860-0,md:candles:1m,1786698974630
1786699019999,CAMS,1m,763.40,763.80,763.25,763.25,5913,1786699027922-0,md:candles:1m,1786699028548
1786699079999,CAMS,1m,763.15,763.40,763.10,763.35,611,1786699085694-0,md:candles:1m,1786699094422
1786699139999,CAMS,1m,763.10,763.40,763.10,763.30,1067,1786699145696-0,md:candles:1m,1786699146984
1786699199999,CAMS,1m,763.70,763.80,763.30,763.45,1618,1786699206795-0,md:candles:1m,1786699208603
1786699259999,CAMS,1m,763.45,763.65,763.10,763.10,2103,1786699266232-0,md:candles:1m,1786699273120
1786699319999,CAMS,1m,763.45,763.65,763.00,763.05,5124,1786699325378-0,md:candles:1m,1786699326703
1786699379999,CAMS,1m,763.05,763.45,763.05,763.40,1473,1786699388352-0,md:candles:1m,1786699391745
1786699439999,CAMS,1m,763.15,763.45,763.00,763.00,1425,1786699446142-0,md:candles:1m,1786699457822
1786699499999,CAMS,1m,763.00,763.75,763.00,763.20,20211,1786699505184-0,md:candles:1m,1786699511111
1786699559999,CAMS,1m,763.20,763.40,762.70,763.10,3960,1786699568135-0,md:candles:1m,1786699576085
1786699619999,CAMS,1m,762.65,763.35,762.65,763.30,1525,1786699625946-0,md:candles:1m,1786699627296
1786699679999,CAMS,1m,762.70,763.15,762.50,762.75,3743,1786699686918-0,md:candles:1m,1786699689702
1786699739999,CAMS,1m,763.10,763.10,762.35,762.45,1376,1786699748085-0,md:candles:1m,1786699754023
1786699799999,CAMS,1m,762.80,762.85,762.25,762.25,3928,1786699805552-0,md:candles:1m,1786699807941
1786699859999,CAMS,1m,762.40,762.95,762.25,762.30,6745,1786699866058-0,md:candles:1m,1786699871843
1786699919999,CAMS,1m,762.65,763.00,761.75,761.90,13917,1786699926094-0,md:candles:1m,1786699936026
1786699979999,CAMS,1m,762.70,762.80,762.00,762.60,9412,1786699986149-0,md:candles:1m,1786699989617
1786700039999,CAMS,1m,762.60,763.05,762.60,762.95,1213,1786700045714-0,md:candles:1m,1786700051805
1786700099999,CAMS,1m,762.85,763.30,762.55,763.00,1759,1786700106033-0,md:candles:1m,1786700118244
1786700159999,CAMS,1m,763.05,763.30,762.35,762.65,17087,1786700166521-0,md:candles:1m,1786700171522
1786700219999,CAMS,1m,762.65,762.65,761.75,761.95,8423,1786700225306-0,md:candles:1m,1786700233604
1786700279999,CAMS,1m,761.85,761.95,761.50,761.60,9055,1786700290900-0,md:candles:1m,1786700298079
1786700339999,CAMS,1m,761.80,762.45,761.80,762.30,6057,1786700345590-0,md:candles:1m,1786700351053
1786700399999,CAMS,1m,761.95,762.00,761.50,761.65,6442,1786700410364-0,md:candles:1m,1786700412580
1786700459999,CAMS,1m,761.50,761.60,761.30,761.50,3465,1786700465449-0,md:candles:1m,1786700476026
1786700519999,CAMS,1m,761.40,761.80,761.35,761.80,7276,1786700527543-0,md:candles:1m,1786700529452
1786700579999,CAMS,1m,762.00,762.35,761.75,761.75,6536,1786700585397-0,md:candles:1m,1786700591306
1786700639999,CAMS,1m,762.25,762.25,761.70,761.95,948,1786700645629-0,md:candles:1m,1786700653590
1786700699999,CAMS,1m,761.75,762.25,761.60,762.00,7077,1786700708248-0,md:candles:1m,1786700715149
1786700759999,CAMS,1m,762.00,762.00,762.00,762.00,136,1786701007377-0,md:candles:1m,1786701010481
1786701059999,CAMS,1m,762.00,762.00,762.00,762.00,3619,1786701069784-0,md:candles:1m,1786701071890
1786701119999,CAMS,1m,762.00,762.00,762.00,762.00,585,1786701132475-0,md:candles:1m,1786701137210
1786701179999,CAMS,1m,762.00,762.00,762.00,762.00,462,1786701186766-0,md:candles:1m,1786701191510
1786701239999,CAMS,1m,762.00,762.00,762.00,762.00,152,1786701253289-0,md:candles:1m,1786701260413
1786701299999,CAMS,1m,762.00,762.00,762.00,762.00,192,1786701323783-0,md:candles:1m,1786701324284
1786701359999,CAMS,1m,762.00,762.00,762.00,762.00,112,1786701368744-0,md:candles:1m,1786701379364
1786701419999,CAMS,1m,762.00,762.00,762.00,762.00,1118,1786701427791-0,md:candles:1m,1786701432770
1786701479999,CAMS,1m,762.00,762.00,762.00,762.00,70,1786701490789-0,md:candles:1m,1786701496799
1786701539999,CAMS,1m,762.00,762.25,762.00,762.25,873481,1786702864301-0,md:candles:1m,1786702874006
1786702859999,CAMS,1m,762.25,762.25,762.25,762.25,2,1786702896943-0,md:candles:1m,1786702906259
1786702919999,CAMS,1m,762.25,762.25,762.25,762.25,51,1786702950206-0,md:candles:1m,1786702957910
1786702979999,CAMS,1m,762.25,762.25,762.25,762.25,102,1786703017570-0,md:candles:1m,1786703021767
1786703039999,CAMS,1m,762.25,762.25,762.25,762.25,47,1786703053712-0,md:candles:1m,1786703055708
1786703099999,CAMS,1m,762.25,762.25,762.25,762.25,75,1786703131698-0,md:candles:1m,1786703141428
1786703159999,CAMS,1m,762.25,762.25,762.25,762.25,20,1786703196877-0,md:candles:1m,1786703206602
1786699799999,CAMS,30m,763.25,763.80,762.25,762.25,55143,1786699866094-0,md:candles:30m,1786699872287
1786701599999,CAMS,30m,762.40,763.30,761.30,762.25,985339,1786702896949-0,md:candles:30m,1786702905661
1786699199999,CAMS,5m,763.25,763.80,763.10,763.45,10275,1786699266233-0,md:candles:5m,1786699276624
1786699499999,CAMS,5m,763.45,763.75,763.00,763.20,30336,1786699568144-0,md:candles:5m,1786699570970
1786699799999,CAMS,5m,763.20,763.40,762.25,762.25,14532,1786699866090-0,md:candles:5m,1786699868444
1786700099999,CAMS,5m,762.40,763.30,761.75,763.00,33046,1786700166526-0,md:candles:5m,1786700170829
1786700399999,CAMS,5m,763.05,763.30,761.50,761.65,47064,1786700465487-0,md:candles:5m,1786700471362
1786700699999,CAMS,5m,761.50,762.35,761.30,762.00,25302,1786701007379-0,md:candles:5m,1786701013188
1786700999999,CAMS,5m,762.00,762.00,762.00,762.00,136,1786701069786-0,md:candles:5m,1786701080800
1786701299999,CAMS,5m,762.00,762.00,762.00,762.00,5010,1786701368746-0,md:candles:5m,1786701379364
1786701599999,CAMS,5m,762.00,762.25,762.00,762.25,874781,1786702896945-0,md:candles:5m,1786702906259
1786703099999,CAMS,5m,762.25,762.25,762.25,762.25,277,1786703196879-0,md:candles:5m,1786703207585
