ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,CANBK,10m,131.47,131.50,131.23,131.30,169549,1786699270184-0,md:candles:10m,1786699276624
1786699799999,CANBK,10m,131.31,131.39,131.25,131.25,256486,1786699867653-0,md:candles:10m,1786699876284
1786700399999,CANBK,10m,131.26,131.36,131.15,131.24,463081,1786700471403-0,md:candles:10m,1786700482979
1786700999999,CANBK,10m,131.23,131.25,131.02,131.25,310345,1786701068005-0,md:candles:10m,1786701070102
1786701599999,CANBK,10m,131.25,131.25,131.25,131.25,9950943,1786702940794-0,md:candles:10m,1786702948799
1786702806000,CANBK,1d,131.47,131.50,131.02,131.25,11150404,1786702811641-0,md:candles:1d,1786702818543
1786698959999,CANBK,1m,131.47,131.47,131.41,131.43,3195,1786698970060-0,md:candles:1m,1786698974630
1786699019999,CANBK,1m,131.41,131.49,131.40,131.41,18448,1786699026563-0,md:candles:1m,1786699028548
1786699079999,CANBK,1m,131.50,131.50,131.41,131.43,105790,1786699087205-0,md:candles:1m,1786699094422
1786699139999,CANBK,1m,131.40,131.43,131.33,131.36,16516,1786699150620-0,md:candles:1m,1786699158101
1786699199999,CANBK,1m,131.35,131.35,131.23,131.30,25600,1786699205270-0,md:candles:1m,1786699208603
1786699259999,CANBK,1m,131.31,131.35,131.30,131.32,21433,1786699270181-0,md:candles:1m,1786699273120
1786699319999,CANBK,1m,131.30,131.39,131.30,131.31,18253,1786699325786-0,md:candles:1m,1786699326703
1786699379999,CANBK,1m,131.32,131.33,131.27,131.33,5759,1786699386709-0,md:candles:1m,1786699391745
1786699439999,CANBK,1m,131.34,131.38,131.33,131.33,119716,1786699445385-0,md:candles:1m,1786699445600
1786699499999,CANBK,1m,131.34,131.34,131.27,131.27,13992,1786699506857-0,md:candles:1m,1786699511111
1786699559999,CANBK,1m,131.28,131.30,131.27,131.28,4481,1786699566925-0,md:candles:1m,1786699576085
1786699619999,CANBK,1m,131.29,131.31,131.25,131.29,11419,1786699626413-0,md:candles:1m,1786699627296
1786699679999,CANBK,1m,131.30,131.34,131.26,131.33,26586,1786699686948-0,md:candles:1m,1786699689702
1786699739999,CANBK,1m,131.31,131.31,131.26,131.27,14038,1786699747064-0,md:candles:1m,1786699754023
1786699799999,CANBK,1m,131.27,131.29,131.25,131.25,20809,1786699808093-0,md:candles:1m,1786699821286
1786699859999,CANBK,1m,131.26,131.32,131.25,131.31,61850,1786699867643-0,md:candles:1m,1786699871843
1786699919999,CANBK,1m,131.32,131.32,131.26,131.28,44362,1786699927272-0,md:candles:1m,1786699936026
1786699979999,CANBK,1m,131.33,131.34,131.28,131.31,15075,1786699985557-0,md:candles:1m,1786699989617
1786700039999,CANBK,1m,131.34,131.35,131.30,131.32,57889,1786700045797-0,md:candles:1m,1786700051805
1786700099999,CANBK,1m,131.32,131.35,131.30,131.35,15192,1786700108720-0,md:candles:1m,1786700118244
1786700159999,CANBK,1m,131.32,131.36,131.27,131.27,72602,1786700167207-0,md:candles:1m,1786700171522
1786700219999,CANBK,1m,131.30,131.30,131.16,131.17,73678,1786700227285-0,md:candles:1m,1786700233604
1786700279999,CANBK,1m,131.20,131.20,131.15,131.17,54106,1786700289345-0,md:candles:1m,1786700298079
1786700339999,CANBK,1m,131.17,131.30,131.17,131.28,31808,1786700349151-0,md:candles:1m,1786700351053
1786700399999,CANBK,1m,131.24,131.28,131.21,131.24,36519,1786700407391-0,md:candles:1m,1786700412580
1786700459999,CANBK,1m,131.23,131.24,131.16,131.21,58385,1786700471397-0,md:candles:1m,1786700476026
1786700519999,CANBK,1m,131.22,131.23,131.15,131.17,77606,1786700525681-0,md:candles:1m,1786700529452
1786700579999,CANBK,1m,131.14,131.24,131.02,131.24,107294,1786700588597-0,md:candles:1m,1786700591306
1786700639999,CANBK,1m,131.20,131.25,131.17,131.19,36805,1786700645505-0,md:candles:1m,1786700653590
1786700699999,CANBK,1m,131.17,131.24,131.07,131.13,29502,1786700706661-0,md:candles:1m,1786700715149
1786700759999,CANBK,1m,131.25,131.25,131.25,131.25,753,1786701005408-0,md:candles:1m,1786701010481
1786701059999,CANBK,1m,131.25,131.25,131.25,131.25,39090,1786701067996-0,md:candles:1m,1786701071890
1786701119999,CANBK,1m,131.25,131.25,131.25,131.25,7509,1786701130788-0,md:candles:1m,1786701137210
1786701179999,CANBK,1m,131.25,131.25,131.25,131.25,1938,1786701191101-0,md:candles:1m,1786701191510
1786701239999,CANBK,1m,131.25,131.25,131.25,131.25,353,1786701245219-0,md:candles:1m,1786701248276
1786701299999,CANBK,1m,131.25,131.25,131.25,131.25,2067,1786701307278-0,md:candles:1m,1786701313567
1786701359999,CANBK,1m,131.25,131.25,131.25,131.25,1302,1786701379903-0,md:candles:1m,1786701390103
1786701419999,CANBK,1m,131.25,131.25,131.25,131.25,69,1786701425965-0,md:candles:1m,1786701432770
1786701479999,CANBK,1m,131.25,131.25,131.25,131.25,1017,1786701488878-0,md:candles:1m,1786701496799
1786701539999,CANBK,1m,131.25,131.25,131.25,131.25,9897598,1786702811639-0,md:candles:1m,1786702820532
1786702859999,CANBK,1m,131.25,131.25,131.25,131.25,2256,1786702940791-0,md:candles:1m,1786702947398
1786702979999,CANBK,1m,131.25,131.25,131.25,131.25,2,1786703196177-0,md:candles:1m,1786703206602
1786703219999,CANBK,1m,131.25,131.25,131.25,131.25,770,1786703238404-0,md:candles:1m,1786703239900
1786703279999,CANBK,1m,131.25,131.25,131.25,131.25,120,1786703329815-0,md:candles:1m,1786703337598
1786703339999,CANBK,1m,131.25,131.25,131.25,131.25,260,1786703374373-0,md:candles:1m,1786703380077
1786699799999,CANBK,30m,131.47,131.50,131.23,131.25,426035,1786699867654-0,md:candles:30m,1786699872287
1786701599999,CANBK,30m,131.26,131.36,131.02,131.25,10724369,1786702940795-0,md:candles:30m,1786702948799
1786699199999,CANBK,5m,131.47,131.50,131.23,131.30,169549,1786699270183-0,md:candles:5m,1786699276624
1786699499999,CANBK,5m,131.31,131.39,131.27,131.27,179153,1786699566930-0,md:candles:5m,1786699570970
1786699799999,CANBK,5m,131.28,131.34,131.25,131.25,77333,1786699867651-0,md:candles:5m,1786699868444
1786700099999,CANBK,5m,131.26,131.35,131.25,131.35,194368,1786700167213-0,md:candles:5m,1786700170829
1786700399999,CANBK,5m,131.32,131.36,131.15,131.24,268713,1786700471401-0,md:candles:5m,1786700482979
1786700699999,CANBK,5m,131.23,131.25,131.02,131.13,309592,1786701005412-0,md:candles:5m,1786701013188
1786700999999,CANBK,5m,131.25,131.25,131.25,131.25,753,1786701068004-0,md:candles:5m,1786701068420
1786701299999,CANBK,5m,131.25,131.25,131.25,131.25,50957,1786701379907-0,md:candles:5m,1786701390103
1786701599999,CANBK,5m,131.25,131.25,131.25,131.25,9899986,1786702940792-0,md:candles:5m,1786702948799
1786703099999,CANBK,5m,131.25,131.25,131.25,131.25,2258,1786703238407-0,md:candles:5m,1786703240202
