ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,CDSL,10m,1345.30,1345.80,1345.00,1345.50,3508,1786699266700-0,md:candles:10m,1786699276624
1786699799999,CDSL,10m,1345.30,1345.80,1343.00,1343.20,13581,1786699867547-0,md:candles:10m,1786699876284
1786700399999,CDSL,10m,1343.40,1344.50,1341.20,1341.70,22780,1786700471340-0,md:candles:10m,1786700482979
1786700999999,CDSL,10m,1341.60,1345.00,1341.10,1344.00,17172,1786701074294-0,md:candles:10m,1786701080910
1786701599999,CDSL,10m,1344.00,1344.40,1344.00,1344.40,481788,1786702867509-0,md:candles:10m,1786702875014
1786702800000,CDSL,1d,1345.30,1345.80,1341.10,1344.40,538829,1786702805327-0,md:candles:1d,1786702807233
1786698959999,CDSL,1m,1345.30,1345.80,1345.30,1345.80,400,1786698969932-0,md:candles:1m,1786698974630
1786699019999,CDSL,1m,1345.60,1345.60,1345.10,1345.10,1444,1786699027957-0,md:candles:1m,1786699028548
1786699079999,CDSL,1m,1345.00,1345.60,1345.00,1345.40,737,1786699087173-0,md:candles:1m,1786699094422
1786699139999,CDSL,1m,1345.40,1345.60,1345.10,1345.40,554,1786699146652-0,md:candles:1m,1786699146984
1786699199999,CDSL,1m,1345.60,1345.60,1345.30,1345.50,373,1786699205165-0,md:candles:1m,1786699208603
1786699259999,CDSL,1m,1345.30,1345.80,1345.10,1345.10,621,1786699266686-0,md:candles:1m,1786699273120
1786699319999,CDSL,1m,1345.40,1345.60,1345.10,1345.50,978,1786699330013-0,md:candles:1m,1786699339124
1786699379999,CDSL,1m,1345.50,1345.50,1345.00,1345.30,2921,1786699386639-0,md:candles:1m,1786699391745
1786699439999,CDSL,1m,1345.30,1345.30,1345.10,1345.20,352,1786699445182-0,md:candles:1m,1786699445600
1786699499999,CDSL,1m,1345.00,1345.20,1345.00,1345.00,377,1786699506840-0,md:candles:1m,1786699511111
1786699559999,CDSL,1m,1344.40,1344.90,1343.80,1343.80,1606,1786699567035-0,md:candles:1m,1786699576085
1786699619999,CDSL,1m,1343.80,1344.20,1343.10,1344.20,3189,1786699626306-0,md:candles:1m,1786699627296
1786699679999,CDSL,1m,1344.20,1344.30,1343.80,1344.20,1406,1786699687502-0,md:candles:1m,1786699689702
1786699739999,CDSL,1m,1344.20,1344.20,1343.10,1343.70,1074,1786699746923-0,md:candles:1m,1786699754023
1786699799999,CDSL,1m,1343.40,1343.80,1343.00,1343.20,1057,1786699808070-0,md:candles:1m,1786699821286
1786699859999,CDSL,1m,1343.40,1343.80,1343.40,1343.50,1249,1786699867543-0,md:candles:1m,1786699871843
1786699919999,CDSL,1m,1343.40,1343.50,1343.00,1343.00,2704,1786699926958-0,md:candles:1m,1786699936026
1786699979999,CDSL,1m,1343.40,1343.40,1342.90,1343.20,2358,1786699985436-0,md:candles:1m,1786699989617
1786700039999,CDSL,1m,1343.50,1344.50,1343.20,1343.70,1147,1786700045716-0,md:candles:1m,1786700051805
1786700099999,CDSL,1m,1343.70,1343.70,1343.20,1343.50,466,1786700108564-0,md:candles:1m,1786700118244
1786700159999,CDSL,1m,1342.60,1343.70,1342.20,1342.60,3691,1786700171318-0,md:candles:1m,1786700171522
1786700219999,CDSL,1m,1342.60,1342.60,1341.40,1341.60,7288,1786700227173-0,md:candles:1m,1786700233604
1786700279999,CDSL,1m,1341.60,1342.30,1341.60,1342.30,1126,1786700289316-0,md:candles:1m,1786700298079
1786700339999,CDSL,1m,1342.20,1342.20,1341.30,1341.90,1269,1786700349119-0,md:candles:1m,1786700351053
1786700399999,CDSL,1m,1342.00,1342.00,1341.20,1341.70,1482,1786700407380-0,md:candles:1m,1786700412580
1786700459999,CDSL,1m,1341.60,1341.70,1341.50,1341.70,1551,1786700471335-0,md:candles:1m,1786700476026
1786700519999,CDSL,1m,1341.70,1342.00,1341.50,1341.60,2790,1786700525590-0,md:candles:1m,1786700529452
1786700579999,CDSL,1m,1341.60,1343.50,1341.10,1343.10,6810,1786700588587-0,md:candles:1m,1786700591306
1786700639999,CDSL,1m,1343.60,1343.60,1343.00,1343.20,1891,1786700650212-0,md:candles:1m,1786700653590
1786700699999,CDSL,1m,1344.00,1345.00,1344.00,1344.60,4091,1786700706549-0,md:candles:1m,1786700715149
1786700759999,CDSL,1m,1344.00,1344.00,1344.00,1344.00,39,1786701005281-0,md:candles:1m,1786701010481
1786701059999,CDSL,1m,1344.00,1344.00,1344.00,1344.00,1499,1786701074290-0,md:candles:1m,1786701082805
1786701119999,CDSL,1m,1344.00,1344.00,1344.00,1344.00,376,1786701130674-0,md:candles:1m,1786701137210
1786701179999,CDSL,1m,1344.00,1344.00,1344.00,1344.00,256,1786701191008-0,md:candles:1m,1786701191510
1786701239999,CDSL,1m,1344.00,1344.00,1344.00,1344.00,30,1786701251458-0,md:candles:1m,1786701260413
1786701299999,CDSL,1m,1344.00,1344.00,1344.00,1344.00,40,1786701307082-0,md:candles:1m,1786701313567
1786701359999,CDSL,1m,1344.00,1344.00,1344.00,1344.00,104,1786701366938-0,md:candles:1m,1786701367943
1786701419999,CDSL,1m,1344.00,1344.00,1344.00,1344.00,29,1786701425774-0,md:candles:1m,1786701432770
1786701479999,CDSL,1m,1344.00,1344.00,1344.00,1344.00,20,1786701488775-0,md:candles:1m,1786701496799
1786701539999,CDSL,1m,1344.00,1344.40,1344.00,1344.40,479434,1786702805326-0,md:candles:1m,1786702808525
1786702859999,CDSL,1m,1344.40,1344.40,1344.40,1344.40,390,1786702867501-0,md:candles:1m,1786702874006
1786702919999,CDSL,1m,1344.40,1344.40,1344.40,1344.40,236,1786702932189-0,md:candles:1m,1786702937190
1786702979999,CDSL,1m,1344.40,1344.40,1344.40,1344.40,1,1786703092460-0,md:candles:1m,1786703098055
1786699799999,CDSL,30m,1345.30,1345.80,1343.00,1343.20,17089,1786699867549-0,md:candles:30m,1786699872287
1786701599999,CDSL,30m,1343.40,1345.00,1341.10,1344.40,521740,1786702867512-0,md:candles:30m,1786702871507
1786699199999,CDSL,5m,1345.30,1345.80,1345.00,1345.50,3508,1786699266698-0,md:candles:5m,1786699276624
1786699499999,CDSL,5m,1345.30,1345.80,1345.00,1345.00,5249,1786699567038-0,md:candles:5m,1786699570970
1786699799999,CDSL,5m,1344.40,1344.90,1343.00,1343.20,8332,1786699867545-0,md:candles:5m,1786699868444
1786700099999,CDSL,5m,1343.40,1344.50,1342.90,1343.50,7924,1786700171320-0,md:candles:5m,1786700182927
1786700399999,CDSL,5m,1342.60,1343.70,1341.20,1341.70,14856,1786700471338-0,md:candles:5m,1786700471362
1786700699999,CDSL,5m,1341.60,1345.00,1341.10,1344.60,17133,1786701005283-0,md:candles:5m,1786701013188
1786700999999,CDSL,5m,1344.00,1344.00,1344.00,1344.00,39,1786701074292-0,md:candles:5m,1786701080800
1786701299999,CDSL,5m,1344.00,1344.00,1344.00,1344.00,2201,1786701366939-0,md:candles:5m,1786701367545
1786701599999,CDSL,5m,1344.00,1344.40,1344.00,1344.40,479587,1786702867504-0,md:candles:5m,1786702874028
