ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,CGPOWER,10m,889.95,890.35,888.80,888.80,40498,1786699265725-0,md:candles:10m,1786699276624
1786699799999,CGPOWER,10m,888.85,890.30,888.85,889.85,115985,1786699868075-0,md:candles:10m,1786699876284
1786700399999,CGPOWER,10m,889.85,890.50,888.45,890.30,143456,1786700471522-0,md:candles:10m,1786700482979
1786700999999,CGPOWER,10m,890.30,890.30,890.00,890.15,71427,1786701068421-0,md:candles:10m,1786701070102
1786701599999,CGPOWER,10m,890.15,890.15,890.15,890.15,1521547,1786702892036-0,md:candles:10m,1786702895644
1786702800000,CGPOWER,1d,889.95,890.50,888.45,890.15,1892913,1786702805723-0,md:candles:1d,1786702807233
1786698959999,CGPOWER,1m,889.95,890.00,889.60,890.00,556,1786698965597-0,md:candles:1m,1786698974630
1786699019999,CGPOWER,1m,889.60,890.00,889.00,889.00,2448,1786699026608-0,md:candles:1m,1786699028548
1786699079999,CGPOWER,1m,889.10,889.10,888.80,889.00,1942,1786699087314-0,md:candles:1m,1786699094422
1786699139999,CGPOWER,1m,888.95,890.35,888.95,890.30,12691,1786699146699-0,md:candles:1m,1786699146984
1786699199999,CGPOWER,1m,890.00,890.15,888.80,888.80,22861,1786699205620-0,md:candles:1m,1786699208603
1786699259999,CGPOWER,1m,888.85,889.50,888.85,889.50,2982,1786699265685-0,md:candles:1m,1786699273120
1786699319999,CGPOWER,1m,889.40,890.00,889.40,889.45,5031,1786699325821-0,md:candles:1m,1786699326703
1786699379999,CGPOWER,1m,889.55,890.00,889.55,890.00,3653,1786699387502-0,md:candles:1m,1786699391745
1786699439999,CGPOWER,1m,889.85,890.10,889.80,890.10,24217,1786699445692-0,md:candles:1m,1786699457822
1786699499999,CGPOWER,1m,889.95,890.00,889.55,889.90,3039,1786699506897-0,md:candles:1m,1786699511111
1786699559999,CGPOWER,1m,889.55,889.90,889.55,889.90,2641,1786699566956-0,md:candles:1m,1786699576085
1786699619999,CGPOWER,1m,889.95,890.30,889.75,890.30,27822,1786699626823-0,md:candles:1m,1786699627296
1786699679999,CGPOWER,1m,889.95,890.15,889.80,889.85,3234,1786699685940-0,md:candles:1m,1786699689702
1786699739999,CGPOWER,1m,889.90,889.90,889.40,889.80,10844,1786699747032-0,md:candles:1m,1786699754023
1786699799999,CGPOWER,1m,889.55,890.00,889.55,889.85,32522,1786699805178-0,md:candles:1m,1786699807941
1786699859999,CGPOWER,1m,889.85,890.05,889.80,889.85,10265,1786699868064-0,md:candles:1m,1786699871843
1786699919999,CGPOWER,1m,889.80,889.90,888.45,888.55,26731,1786699927492-0,md:candles:1m,1786699936026
1786699979999,CGPOWER,1m,888.85,889.20,888.50,889.00,13633,1786699985945-0,md:candles:1m,1786699989617
1786700039999,CGPOWER,1m,889.05,889.85,889.05,889.70,12674,1786700046208-0,md:candles:1m,1786700051805
1786700099999,CGPOWER,1m,889.95,890.00,889.60,889.90,20873,1786700109042-0,md:candles:1m,1786700118244
1786700159999,CGPOWER,1m,889.95,890.00,889.10,889.25,13900,1786700165185-0,md:candles:1m,1786700171522
1786700219999,CGPOWER,1m,889.20,890.15,889.05,890.15,20455,1786700227561-0,md:candles:1m,1786700233604
1786700279999,CGPOWER,1m,890.20,890.50,890.15,890.20,12411,1786700289588-0,md:candles:1m,1786700298079
1786700339999,CGPOWER,1m,890.20,890.35,890.15,890.25,6913,1786700349459-0,md:candles:1m,1786700351053
1786700399999,CGPOWER,1m,890.25,890.30,890.15,890.30,5601,1786700410148-0,md:candles:1m,1786700412580
1786700459999,CGPOWER,1m,890.30,890.30,890.15,890.20,11683,1786700471472-0,md:candles:1m,1786700476026
1786700519999,CGPOWER,1m,890.15,890.20,890.15,890.15,8102,1786700526117-0,md:candles:1m,1786700529452
1786700579999,CGPOWER,1m,890.15,890.20,890.15,890.15,20588,1786700588649-0,md:candles:1m,1786700591306
1786700639999,CGPOWER,1m,890.20,890.20,890.00,890.15,18339,1786700650589-0,md:candles:1m,1786700653590
1786700699999,CGPOWER,1m,890.20,890.20,890.15,890.15,12707,1786700707058-0,md:candles:1m,1786700715149
1786700759999,CGPOWER,1m,890.15,890.15,890.15,890.15,8,1786701005795-0,md:candles:1m,1786701010481
1786701059999,CGPOWER,1m,890.15,890.15,890.15,890.15,6138,1786701068416-0,md:candles:1m,1786701071890
1786701119999,CGPOWER,1m,890.15,890.15,890.15,890.15,1482,1786701125178-0,md:candles:1m,1786701126761
1786701179999,CGPOWER,1m,890.15,890.15,890.15,890.15,3161,1786701185437-0,md:candles:1m,1786701191510
1786701239999,CGPOWER,1m,890.15,890.15,890.15,890.15,994,1786701245707-0,md:candles:1m,1786701248276
1786701299999,CGPOWER,1m,890.15,890.15,890.15,890.15,2637,1786701307671-0,md:candles:1m,1786701313567
1786701359999,CGPOWER,1m,890.15,890.15,890.15,890.15,1188,1786701367381-0,md:candles:1m,1786701367943
1786701419999,CGPOWER,1m,890.15,890.15,890.15,890.15,665,1786701426293-0,md:candles:1m,1786701432770
1786701479999,CGPOWER,1m,890.15,890.15,890.15,890.15,1079,1786701489275-0,md:candles:1m,1786701496799
1786701539999,CGPOWER,1m,890.15,890.15,890.15,890.15,1504203,1786702805722-0,md:candles:1m,1786702808525
1786702859999,CGPOWER,1m,890.15,890.15,890.15,890.15,917,1786702892034-0,md:candles:1m,1786702895641
1786702919999,CGPOWER,1m,890.15,890.15,890.15,890.15,16,1786703108881-0,md:candles:1m,1786703118294
1786699799999,CGPOWER,30m,889.95,890.35,888.80,889.85,156483,1786699868076-0,md:candles:30m,1786699872287
1786701599999,CGPOWER,30m,889.85,890.50,888.45,890.15,1736430,1786702892037-0,md:candles:30m,1786702894033
1786699199999,CGPOWER,5m,889.95,890.35,888.80,888.80,40498,1786699265724-0,md:candles:5m,1786699276624
1786699499999,CGPOWER,5m,888.85,890.10,888.85,889.90,38922,1786699566966-0,md:candles:5m,1786699570970
1786699799999,CGPOWER,5m,889.55,890.30,889.40,889.85,77063,1786699868072-0,md:candles:5m,1786699868444
1786700099999,CGPOWER,5m,889.85,890.05,888.45,889.90,84176,1786700165192-0,md:candles:5m,1786700170829
1786700399999,CGPOWER,5m,889.95,890.50,889.05,890.30,59280,1786700471519-0,md:candles:5m,1786700482979
1786700699999,CGPOWER,5m,890.30,890.30,890.00,890.15,71419,1786701005801-0,md:candles:5m,1786701013188
1786700999999,CGPOWER,5m,890.15,890.15,890.15,890.15,8,1786701068419-0,md:candles:5m,1786701068420
1786701299999,CGPOWER,5m,890.15,890.15,890.15,890.15,14412,1786701367386-0,md:candles:5m,1786701367545
1786701599999,CGPOWER,5m,890.15,890.15,890.15,890.15,1507135,1786702892035-0,md:candles:5m,1786702895643
