ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,CHOLAFIN,10m,1894.00,1894.60,1893.00,1893.70,5358,1786699270665-0,md:candles:10m,1786699276624
1786699799999,CHOLAFIN,10m,1893.30,1894.80,1890.80,1890.80,25194,1786699868181-0,md:candles:10m,1786699876284
1786700399999,CHOLAFIN,10m,1890.30,1891.60,1889.00,1890.10,30316,1786700471545-0,md:candles:10m,1786700482979
1786700999999,CHOLAFIN,10m,1890.20,1890.20,1885.30,1885.30,24765,1786701074898-0,md:candles:10m,1786701080910
1786701599999,CHOLAFIN,10m,1885.30,1894.40,1885.30,1894.40,617204,1786702888230-0,md:candles:10m,1786702895644
1786702806000,CHOLAFIN,1d,1894.00,1894.80,1885.30,1894.40,702837,1786702812050-0,md:candles:1d,1786702818543
1786698959999,CHOLAFIN,1m,1894.00,1894.60,1893.90,1894.20,260,1786698965694-0,md:candles:1m,1786698974630
1786699019999,CHOLAFIN,1m,1894.20,1894.60,1893.60,1894.20,1796,1786699025605-0,md:candles:1m,1786699028548
1786699079999,CHOLAFIN,1m,1893.60,1893.90,1893.40,1893.60,1210,1786699085647-0,md:candles:1m,1786699094422
1786699139999,CHOLAFIN,1m,1893.20,1893.90,1893.00,1893.20,1354,1786699145391-0,md:candles:1m,1786699146984
1786699199999,CHOLAFIN,1m,1893.20,1893.80,1893.20,1893.70,738,1786699205650-0,md:candles:1m,1786699208603
1786699259999,CHOLAFIN,1m,1893.30,1894.20,1893.30,1893.60,1919,1786699270660-0,md:candles:1m,1786699273120
1786699319999,CHOLAFIN,1m,1894.30,1894.30,1893.60,1893.80,1816,1786699329959-0,md:candles:1m,1786699339124
1786699379999,CHOLAFIN,1m,1894.00,1894.20,1893.40,1893.90,7031,1786699387552-0,md:candles:1m,1786699391745
1786699439999,CHOLAFIN,1m,1893.90,1893.90,1893.40,1893.40,1520,1786699445888-0,md:candles:1m,1786699457822
1786699499999,CHOLAFIN,1m,1893.40,1893.90,1893.30,1893.70,1324,1786699506918-0,md:candles:1m,1786699511111
1786699559999,CHOLAFIN,1m,1893.50,1894.80,1893.50,1893.90,2898,1786699567556-0,md:candles:1m,1786699576085
1786699619999,CHOLAFIN,1m,1893.90,1893.90,1893.80,1893.80,930,1786699626961-0,md:candles:1m,1786699627296
1786699679999,CHOLAFIN,1m,1893.50,1893.50,1892.60,1892.80,1760,1786699687000-0,md:candles:1m,1786699689702
1786699739999,CHOLAFIN,1m,1892.90,1892.90,1891.90,1892.20,2794,1786699747496-0,md:candles:1m,1786699754023
1786699799999,CHOLAFIN,1m,1892.20,1892.30,1890.80,1890.80,3202,1786699805273-0,md:candles:1m,1786699807941
1786699859999,CHOLAFIN,1m,1890.30,1891.30,1890.20,1891.00,2605,1786699868166-0,md:candles:1m,1786699871843
1786699919999,CHOLAFIN,1m,1890.90,1891.10,1890.90,1891.10,1910,1786699927558-0,md:candles:1m,1786699936026
1786699979999,CHOLAFIN,1m,1891.10,1891.10,1890.00,1890.60,3588,1786699986091-0,md:candles:1m,1786699989617
1786700039999,CHOLAFIN,1m,1890.10,1891.60,1890.10,1891.30,5143,1786700046306-0,md:candles:1m,1786700051805
1786700099999,CHOLAFIN,1m,1890.80,1891.30,1890.60,1890.70,2588,1786700109117-0,md:candles:1m,1786700118244
1786700159999,CHOLAFIN,1m,1890.50,1890.60,1890.50,1890.60,3417,1786700168196-0,md:candles:1m,1786700171522
1786700219999,CHOLAFIN,1m,1890.40,1890.50,1889.20,1889.30,3795,1786700227766-0,md:candles:1m,1786700233604
1786700279999,CHOLAFIN,1m,1889.30,1889.30,1889.00,1889.10,2168,1786700289685-0,md:candles:1m,1786700298079
1786700339999,CHOLAFIN,1m,1889.10,1889.80,1889.00,1889.50,1470,1786700349645-0,md:candles:1m,1786700351053
1786700399999,CHOLAFIN,1m,1889.50,1890.40,1889.50,1890.10,3632,1786700410420-0,md:candles:1m,1786700412580
1786700459999,CHOLAFIN,1m,1890.20,1890.20,1888.00,1888.50,4221,1786700471481-0,md:candles:1m,1786700476026
1786700519999,CHOLAFIN,1m,1888.30,1888.30,1887.00,1887.30,4099,1786700526190-0,md:candles:1m,1786700529452
1786700579999,CHOLAFIN,1m,1887.20,1887.60,1885.80,1886.10,10067,1786700589588-0,md:candles:1m,1786700591306
1786700639999,CHOLAFIN,1m,1886.20,1887.70,1886.10,1886.50,4844,1786700650803-0,md:candles:1m,1786700653590
1786700699999,CHOLAFIN,1m,1887.00,1887.00,1885.30,1885.30,1512,1786700707141-0,md:candles:1m,1786700715149
1786700759999,CHOLAFIN,1m,1885.30,1885.30,1885.30,1885.30,22,1786701005896-0,md:candles:1m,1786701010481
1786701059999,CHOLAFIN,1m,1885.30,1885.30,1885.30,1885.30,12830,1786701074895-0,md:candles:1m,1786701082805
1786701119999,CHOLAFIN,1m,1885.30,1885.30,1885.30,1885.30,192,1786701125265-0,md:candles:1m,1786701126761
1786701179999,CHOLAFIN,1m,1885.30,1885.30,1885.30,1885.30,117,1786701185513-0,md:candles:1m,1786701191510
1786701239999,CHOLAFIN,1m,1885.30,1885.30,1885.30,1885.30,67,1786701265518-0,md:candles:1m,1786701271537
1786701299999,CHOLAFIN,1m,1885.30,1885.30,1885.30,1885.30,15,1786701459615-0,md:candles:1m,1786701464730
1786701479999,CHOLAFIN,1m,1885.30,1885.30,1885.30,1885.30,50,1786701518775-0,md:candles:1m,1786701529772
1786701539999,CHOLAFIN,1m,1894.40,1894.40,1894.40,1894.40,603933,1786702812049-0,md:candles:1m,1786702820532
