ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,CIPLA,10m,1451.50,1453.50,1451.50,1453.40,7393,1786699266688-0,md:candles:10m,1786699276624
1786699799999,CIPLA,10m,1452.80,1454.40,1452.00,1453.30,32908,1786699867456-0,md:candles:10m,1786699876284
1786700399999,CIPLA,10m,1453.00,1455.90,1453.00,1454.80,43202,1786700471301-0,md:candles:10m,1786700471301
1786700999999,CIPLA,10m,1454.80,1454.80,1449.20,1450.00,57807,1786701067795-0,md:candles:10m,1786701070102
1786701599999,CIPLA,10m,1450.00,1450.00,1450.00,1450.00,762088,1786703307803-0,md:candles:10m,1786703313812
1786702800000,CIPLA,1d,1451.50,1455.90,1449.20,1450.00,903398,1786702805225-0,md:candles:1d,1786702807233
1786698959999,CIPLA,1m,1451.50,1451.70,1451.50,1451.70,349,1786698969921-0,md:candles:1m,1786698974630
1786699019999,CIPLA,1m,1451.70,1452.00,1451.50,1451.50,433,1786699026545-0,md:candles:1m,1786699028548
1786699079999,CIPLA,1m,1451.80,1452.40,1451.70,1452.20,1370,1786699087162-0,md:candles:1m,1786699094422
1786699139999,CIPLA,1m,1452.20,1452.90,1452.20,1452.70,2769,1786699146646-0,md:candles:1m,1786699146984
1786699199999,CIPLA,1m,1452.80,1453.50,1452.60,1453.40,2472,1786699206652-0,md:candles:1m,1786699208603
1786699259999,CIPLA,1m,1452.80,1453.40,1452.50,1452.50,2605,1786699266679-0,md:candles:1m,1786699273120
1786699319999,CIPLA,1m,1452.20,1453.20,1452.00,1452.30,4581,1786699330004-0,md:candles:1m,1786699339124
1786699379999,CIPLA,1m,1452.30,1453.40,1452.30,1452.70,1664,1786699386629-0,md:candles:1m,1786699391745
1786699439999,CIPLA,1m,1453.40,1454.40,1453.00,1453.50,12878,1786699445174-0,md:candles:1m,1786699445600
1786699499999,CIPLA,1m,1453.50,1453.60,1452.60,1453.00,1337,1786699506837-0,md:candles:1m,1786699511111
1786699559999,CIPLA,1m,1453.30,1453.40,1452.70,1452.80,2389,1786699566902-0,md:candles:1m,1786699576085
1786699619999,CIPLA,1m,1453.30,1453.80,1453.30,1453.80,1937,1786699626203-0,md:candles:1m,1786699627296
1786699679999,CIPLA,1m,1453.70,1454.10,1453.20,1453.40,1530,1786699687407-0,md:candles:1m,1786699689702
1786699739999,CIPLA,1m,1453.40,1453.90,1453.40,1453.50,1926,1786699746784-0,md:candles:1m,1786699754023
1786699799999,CIPLA,1m,1454.10,1454.10,1453.30,1453.30,2061,1786699808062-0,md:candles:1m,1786699821286
1786699859999,CIPLA,1m,1453.00,1454.00,1453.00,1453.90,4263,1786699867446-0,md:candles:1m,1786699871843
1786699919999,CIPLA,1m,1454.20,1455.30,1454.20,1455.30,7156,1786699926844-0,md:candles:1m,1786699936026
1786699979999,CIPLA,1m,1455.80,1455.90,1455.30,1455.30,4505,1786699985325-0,md:candles:1m,1786699989617
1786700039999,CIPLA,1m,1455.20,1455.60,1455.20,1455.50,2328,1786700045598-0,md:candles:1m,1786700051805
1786700099999,CIPLA,1m,1455.50,1455.60,1455.20,1455.60,2744,1786700108554-0,md:candles:1m,1786700118244
1786700159999,CIPLA,1m,1455.60,1455.60,1454.40,1455.00,5717,1786700167200-0,md:candles:1m,1786700171522
1786700219999,CIPLA,1m,1454.80,1455.00,1454.20,1454.20,5702,1786700227110-0,md:candles:1m,1786700233604
1786700279999,CIPLA,1m,1454.30,1454.30,1453.80,1454.00,4851,1786700289280-0,md:candles:1m,1786700298079
1786700339999,CIPLA,1m,1454.10,1454.20,1454.10,1454.20,2415,1786700349079-0,md:candles:1m,1786700351053
1786700399999,CIPLA,1m,1454.30,1454.80,1454.20,1454.80,3521,1786700409635-0,md:candles:1m,1786700412580
1786700459999,CIPLA,1m,1454.80,1454.80,1453.30,1453.40,4594,1786700471296-0,md:candles:1m,1786700476026
1786700519999,CIPLA,1m,1453.40,1453.40,1452.40,1452.80,3485,1786700525486-0,md:candles:1m,1786700529452
1786700579999,CIPLA,1m,1452.70,1452.80,1450.50,1451.10,24174,1786700588579-0,md:candles:1m,1786700591306
1786700639999,CIPLA,1m,1450.50,1451.20,1450.00,1450.00,22065,1786700645485-0,md:candles:1m,1786700653590
1786700699999,CIPLA,1m,1449.20,1450.00,1449.20,1450.00,3397,1786700706538-0,md:candles:1m,1786700715149
1786700759999,CIPLA,1m,1450.00,1450.00,1450.00,1450.00,92,1786701005180-0,md:candles:1m,1786701010481
1786701059999,CIPLA,1m,1450.00,1450.00,1450.00,1450.00,2765,1786701067787-0,md:candles:1m,1786701071890
1786701119999,CIPLA,1m,1450.00,1450.00,1450.00,1450.00,39,1786701130586-0,md:candles:1m,1786701137210
1786701179999,CIPLA,1m,1450.00,1450.00,1450.00,1450.00,60,1786701190900-0,md:candles:1m,1786701191510
1786701239999,CIPLA,1m,1450.00,1450.00,1450.00,1450.00,960,1786701251289-0,md:candles:1m,1786701260413
1786701299999,CIPLA,1m,1450.00,1450.00,1450.00,1450.00,112,1786701348819-0,md:candles:1m,1786701357832
1786701359999,CIPLA,1m,1450.00,1450.00,1450.00,1450.00,18021,1786701392720-0,md:candles:1m,1786701400511
1786701419999,CIPLA,1m,1450.00,1450.00,1450.00,1450.00,367,1786701425762-0,md:candles:1m,1786701432770
1786701479999,CIPLA,1m,1450.00,1450.00,1450.00,1450.00,456,1786701488676-0,md:candles:1m,1786701496799
1786701539999,CIPLA,1m,1450.00,1450.00,1450.00,1450.00,739308,1786702805224-0,md:candles:1m,1786702808525
1786702859999,CIPLA,1m,1450.00,1450.00,1450.00,1450.00,122,1786703307794-0,md:candles:1m,1786703314394
1786703339999,CIPLA,1m,1450.00,1450.00,1450.00,1450.00,130,1786703375979-0,md:candles:1m,1786703380077
1786699799999,CIPLA,30m,1451.50,1454.40,1451.50,1453.30,40301,1786699867457-0,md:candles:30m,1786699872287
1786701599999,CIPLA,30m,1453.00,1455.90,1449.20,1450.00,863097,1786703307806-0,md:candles:30m,1786703313812
1786699199999,CIPLA,5m,1451.50,1453.50,1451.50,1453.40,7393,1786699266686-0,md:candles:5m,1786699276624
1786699499999,CIPLA,5m,1452.80,1454.40,1452.00,1453.00,23065,1786699566904-0,md:candles:5m,1786699570970
1786699799999,CIPLA,5m,1453.30,1454.10,1452.70,1453.30,9843,1786699867454-0,md:candles:5m,1786699868444
