ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,COALINDIA,10m,406.45,406.45,406.30,406.40,18392,1786699270201-0,md:candles:10m,1786699276624
1786699799999,COALINDIA,10m,406.35,406.85,406.30,406.85,321048,1786699867669-0,md:candles:10m,1786699876284
1786700399999,COALINDIA,10m,406.80,406.80,406.10,406.15,264116,1786700471584-0,md:candles:10m,1786700482979
1786700999999,COALINDIA,10m,406.20,406.35,406.00,406.10,150810,1786701068093-0,md:candles:10m,1786701070102
1786701599999,COALINDIA,10m,406.10,407.10,406.10,407.10,4884436,1786702872226-0,md:candles:10m,1786702875014
1786702800000,COALINDIA,1d,406.45,407.10,406.00,407.10,5638802,1786702805520-0,md:candles:1d,1786702807233
1786698959999,COALINDIA,1m,406.45,406.45,406.40,406.45,2741,1786698970114-0,md:candles:1m,1786698974630
1786699019999,COALINDIA,1m,406.35,406.45,406.35,406.40,4439,1786699026574-0,md:candles:1m,1786699028548
1786699079999,COALINDIA,1m,406.45,406.45,406.35,406.40,5797,1786699087212-0,md:candles:1m,1786699094422
1786699139999,COALINDIA,1m,406.40,406.45,406.30,406.40,3206,1786699146666-0,md:candles:1m,1786699146984
1786699199999,COALINDIA,1m,406.45,406.45,406.30,406.40,2209,1786699205283-0,md:candles:1m,1786699208603
1786699259999,COALINDIA,1m,406.35,406.45,406.30,406.40,6350,1786699270193-0,md:candles:1m,1786699273120
1786699319999,COALINDIA,1m,406.40,406.45,406.35,406.40,10892,1786699330080-0,md:candles:1m,1786699339124
1786699379999,COALINDIA,1m,406.40,406.45,406.40,406.40,3292,1786699387357-0,md:candles:1m,1786699391745
1786699439999,COALINDIA,1m,406.45,406.55,406.35,406.40,34638,1786699445396-0,md:candles:1m,1786699445600
1786699499999,COALINDIA,1m,406.40,406.60,406.35,406.40,160627,1786699505666-0,md:candles:1m,1786699511111
1786699559999,COALINDIA,1m,406.40,406.50,406.35,406.40,7172,1786699565278-0,md:candles:1m,1786699565357
1786699619999,COALINDIA,1m,406.40,406.65,406.35,406.65,29653,1786699626425-0,md:candles:1m,1786699627296
1786699679999,COALINDIA,1m,406.65,406.80,406.60,406.75,52882,1786699687673-0,md:candles:1m,1786699689702
1786699739999,COALINDIA,1m,406.75,406.80,406.75,406.80,5699,1786699746998-0,md:candles:1m,1786699754023
1786699799999,COALINDIA,1m,406.60,406.85,406.60,406.85,9843,1786699808098-0,md:candles:1m,1786699821286
1786699859999,COALINDIA,1m,406.80,406.80,406.50,406.60,55587,1786699867653-0,md:candles:1m,1786699871843
1786699919999,COALINDIA,1m,406.65,406.65,406.15,406.15,23779,1786699927286-0,md:candles:1m,1786699936026
1786699979999,COALINDIA,1m,406.25,406.55,406.25,406.50,30399,1786699985618-0,md:candles:1m,1786699989617
1786700039999,COALINDIA,1m,406.55,406.70,406.55,406.65,4309,1786700045809-0,md:candles:1m,1786700051805
1786700099999,COALINDIA,1m,406.60,406.70,406.50,406.65,11071,1786700108737-0,md:candles:1m,1786700118244
1786700159999,COALINDIA,1m,406.65,406.65,406.40,406.40,10714,1786700171534-0,md:candles:1m,1786700182927
1786700219999,COALINDIA,1m,406.45,406.45,406.30,406.40,94188,1786700227323-0,md:candles:1m,1786700233604
1786700279999,COALINDIA,1m,406.35,406.40,406.15,406.30,13355,1786700285277-0,md:candles:1m,1786700286220
1786700339999,COALINDIA,1m,406.30,406.30,406.15,406.15,10581,1786700349162-0,md:candles:1m,1786700351053
1786700399999,COALINDIA,1m,406.20,406.20,406.10,406.15,10133,1786700407403-0,md:candles:1m,1786700412580
1786700459999,COALINDIA,1m,406.20,406.20,406.05,406.10,52012,1786700471520-0,md:candles:1m,1786700476026
1786700519999,COALINDIA,1m,406.10,406.10,406.05,406.10,13269,1786700525691-0,md:candles:1m,1786700529452
