ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,COFORGE,10m,1806.20,1807.50,1806.20,1807.10,17139,1786699265791-0,md:candles:10m,1786699276624
1786699799999,COFORGE,10m,1807.40,1814.80,1806.70,1812.60,68753,1786699868339-0,md:candles:10m,1786699876284
1786700399999,COFORGE,10m,1812.60,1816.00,1811.10,1815.30,70139,1786700465217-0,md:candles:10m,1786700471301
1786700999999,COFORGE,10m,1815.40,1816.00,1812.00,1813.00,38134,1786701068704-0,md:candles:10m,1786701070102
1786701599999,COFORGE,10m,1813.00,1813.00,1812.00,1812.00,1572091,1786703091257-0,md:candles:10m,1786703091244
1786702800000,COFORGE,1d,1806.20,1816.00,1806.20,1812.00,1766256,1786702805935-0,md:candles:1d,1786702807233
1786698959999,COFORGE,1m,1806.20,1807.40,1806.20,1806.70,1149,1786698965518-0,md:candles:1m,1786698974630
1786699019999,COFORGE,1m,1807.40,1807.50,1806.60,1806.60,4229,1786699025617-0,md:candles:1m,1786699028548
1786699079999,COFORGE,1m,1806.60,1807.40,1806.60,1806.90,2292,1786699087403-0,md:candles:1m,1786699094422
1786699139999,COFORGE,1m,1807.10,1807.10,1806.90,1806.90,5113,1786699146725-0,md:candles:1m,1786699146984
1786699199999,COFORGE,1m,1807.00,1807.20,1806.20,1807.10,4356,1786699206037-0,md:candles:1m,1786699208603
1786699259999,COFORGE,1m,1807.40,1807.50,1806.70,1806.80,7104,1786699265788-0,md:candles:1m,1786699273120
1786699319999,COFORGE,1m,1806.80,1811.20,1806.70,1810.70,17676,1786699325850-0,md:candles:1m,1786699326703
1786699379999,COFORGE,1m,1811.00,1811.00,1809.70,1810.80,10460,1786699385403-0,md:candles:1m,1786699391745
1786699439999,COFORGE,1m,1810.80,1813.80,1810.70,1813.80,4943,1786699446000-0,md:candles:1m,1786699457822
1786699499999,COFORGE,1m,1813.70,1814.00,1812.00,1812.50,8131,1786699505576-0,md:candles:1m,1786699511111
1786699559999,COFORGE,1m,1812.50,1814.00,1812.30,1813.70,5240,1786699566985-0,md:candles:1m,1786699576085
1786699619999,COFORGE,1m,1814.50,1814.80,1813.40,1814.30,2117,1786699625808-0,md:candles:1m,1786699627296
1786699679999,COFORGE,1m,1814.30,1814.70,1814.00,1814.70,2759,1786699688205-0,md:candles:1m,1786699689702
1786699739999,COFORGE,1m,1814.40,1814.60,1812.40,1812.90,7793,1786699747692-0,md:candles:1m,1786699754023
1786699799999,COFORGE,1m,1812.90,1813.40,1812.40,1812.60,2530,1786699805726-0,md:candles:1m,1786699807941
1786699859999,COFORGE,1m,1812.60,1814.10,1811.10,1813.80,10732,1786699868336-0,md:candles:1m,1786699871843
1786699919999,COFORGE,1m,1814.50,1814.90,1813.80,1814.60,10413,1786699926092-0,md:candles:1m,1786699936026
1786699979999,COFORGE,1m,1814.50,1815.30,1814.50,1815.30,3227,1786699986214-0,md:candles:1m,1786699989617
1786700039999,COFORGE,1m,1815.30,1815.80,1815.10,1815.20,3617,1786700045292-0,md:candles:1m,1786700051805
1786700099999,COFORGE,1m,1815.10,1816.00,1815.10,1816.00,5574,1786700106176-0,md:candles:1m,1786700118244
1786700159999,COFORGE,1m,1815.80,1815.80,1814.10,1814.30,7374,1786700165235-0,md:candles:1m,1786700171522
1786700219999,COFORGE,1m,1814.90,1814.90,1814.10,1814.40,8161,1786700227900-0,md:candles:1m,1786700233604
1786700279999,COFORGE,1m,1815.00,1815.00,1814.00,1814.10,4948,1786700289893-0,md:candles:1m,1786700298079
1786700339999,COFORGE,1m,1814.00,1815.10,1813.30,1813.30,9379,1786700350399-0,md:candles:1m,1786700351053
1786700399999,COFORGE,1m,1814.70,1815.80,1813.60,1815.30,6714,1786700408613-0,md:candles:1m,1786700412580
1786700459999,COFORGE,1m,1815.40,1816.00,1815.40,1815.80,8857,1786700465209-0,md:candles:1m,1786700476026
1786700519999,COFORGE,1m,1815.90,1815.90,1815.80,1815.80,4027,1786700526166-0,md:candles:1m,1786700529452
1786700579999,COFORGE,1m,1815.90,1815.90,1813.70,1815.30,12016,1786700585441-0,md:candles:1m,1786700591306
1786700639999,COFORGE,1m,1815.10,1815.30,1812.00,1814.30,6632,1786700645479-0,md:candles:1m,1786700653590
1786700699999,COFORGE,1m,1814.40,1815.50,1812.50,1815.50,6349,1786700707262-0,md:candles:1m,1786700715149
1786700759999,COFORGE,1m,1813.00,1813.00,1813.00,1813.00,253,1786701006179-0,md:candles:1m,1786701010481
1786701059999,COFORGE,1m,1813.00,1813.00,1813.00,1813.00,3459,1786701068694-0,md:candles:1m,1786701071890
1786701119999,COFORGE,1m,1813.00,1813.00,1813.00,1813.00,364,1786701125648-0,md:candles:1m,1786701126761
1786701179999,COFORGE,1m,1813.00,1813.00,1813.00,1813.00,1871,1786701185883-0,md:candles:1m,1786701191510
1786701239999,COFORGE,1m,1813.00,1813.00,1813.00,1813.00,427,1786701245885-0,md:candles:1m,1786701248276
1786701299999,COFORGE,1m,1813.00,1813.00,1813.00,1813.00,3949,1786701307977-0,md:candles:1m,1786701313567
1786701359999,COFORGE,1m,1813.00,1813.00,1813.00,1813.00,1838,1786701367741-0,md:candles:1m,1786701367943
1786701419999,COFORGE,1m,1813.00,1813.00,1813.00,1813.00,3560,1786701426674-0,md:candles:1m,1786701432770
1786701479999,COFORGE,1m,1813.00,1813.00,1813.00,1813.00,10539,1786701489669-0,md:candles:1m,1786701496799
