ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,COLPAL,10m,1978.70,1979.00,1977.40,1977.40,2124,1786699270887-0,md:candles:10m,1786699276624
1786699799999,COLPAL,10m,1977.60,1979.00,1976.60,1977.00,4992,1786699868444-0,md:candles:10m,1786699876284
1786700399999,COLPAL,10m,1977.10,1979.00,1976.20,1977.20,12569,1786700465335-0,md:candles:10m,1786700471301
1786700999999,COLPAL,10m,1978.30,1987.80,1977.00,1979.20,14975,1786701075195-0,md:candles:10m,1786701080910
1786701599999,COLPAL,10m,1979.20,1981.00,1979.20,1981.00,152442,1786702922179-0,md:candles:10m,1786702927372
1786702800000,COLPAL,1d,1978.70,1987.80,1976.20,1981.00,187102,1786702806028-0,md:candles:1d,1786702807233
1786698959999,COLPAL,1m,1978.70,1978.80,1978.70,1978.70,33,1786698982219-0,md:candles:1m,1786698986423
1786699019999,COLPAL,1m,1978.70,1978.80,1978.70,1978.70,36,1786699028411-0,md:candles:1m,1786699028548
1786699079999,COLPAL,1m,1978.60,1979.00,1978.00,1978.70,880,1786699087574-0,md:candles:1m,1786699094422
1786699139999,COLPAL,1m,1978.70,1978.80,1978.70,1978.70,64,1786699150678-0,md:candles:1m,1786699158101
1786699199999,COLPAL,1m,1978.80,1978.80,1977.40,1977.40,1111,1786699206038-0,md:candles:1m,1786699208603
1786699259999,COLPAL,1m,1977.60,1978.00,1977.50,1977.60,221,1786699270884-0,md:candles:1m,1786699273120
1786699319999,COLPAL,1m,1977.60,1978.40,1977.60,1977.80,354,1786699325852-0,md:candles:1m,1786699326703
1786699379999,COLPAL,1m,1977.70,1978.70,1977.70,1978.70,915,1786699387635-0,md:candles:1m,1786699391745
1786699439999,COLPAL,1m,1978.90,1979.00,1978.10,1978.90,894,1786699446143-0,md:candles:1m,1786699457822
1786699499999,COLPAL,1m,1978.90,1978.90,1977.70,1977.80,648,1786699511977-0,md:candles:1m,1786699523104
1786699559999,COLPAL,1m,1977.80,1978.60,1977.30,1978.00,315,1786699566987-0,md:candles:1m,1786699576085
1786699619999,COLPAL,1m,1977.30,1978.10,1977.30,1977.90,250,1786699627203-0,md:candles:1m,1786699627296
1786699679999,COLPAL,1m,1977.90,1978.30,1977.90,1978.20,115,1786699688324-0,md:candles:1m,1786699689702
1786699739999,COLPAL,1m,1978.20,1978.20,1977.00,1977.30,855,1786699747786-0,md:candles:1m,1786699754023
1786699799999,COLPAL,1m,1977.30,1977.40,1976.60,1977.00,425,1786699805560-0,md:candles:1m,1786699807941
1786699859999,COLPAL,1m,1977.10,1977.20,1976.90,1976.90,416,1786699868440-0,md:candles:1m,1786699871843
1786699919999,COLPAL,1m,1976.90,1978.70,1976.90,1978.30,726,1786699927837-0,md:candles:1m,1786699936026
1786699979999,COLPAL,1m,1978.50,1978.50,1977.70,1977.80,618,1786699986303-0,md:candles:1m,1786699989617
1786700039999,COLPAL,1m,1977.90,1978.90,1977.80,1978.60,1190,1786700046739-0,md:candles:1m,1786700051805
1786700099999,COLPAL,1m,1978.40,1978.90,1977.90,1978.30,1258,1786700106183-0,md:candles:1m,1786700118244
1786700159999,COLPAL,1m,1978.00,1978.40,1977.50,1978.40,916,1786700165409-0,md:candles:1m,1786700171522
1786700219999,COLPAL,1m,1978.10,1978.40,1978.10,1978.40,1919,1786700228036-0,md:candles:1m,1786700233604
1786700279999,COLPAL,1m,1978.70,1978.80,1978.70,1978.70,704,1786700290022-0,md:candles:1m,1786700298079
1786700339999,COLPAL,1m,1978.70,1979.00,1978.00,1978.10,1221,1786700350427-0,md:candles:1m,1786700351053
1786700399999,COLPAL,1m,1978.10,1978.50,1976.20,1977.20,3601,1786700408617-0,md:candles:1m,1786700412580
1786700459999,COLPAL,1m,1978.30,1979.10,1978.30,1978.30,2395,1786700465326-0,md:candles:1m,1786700476026
1786700519999,COLPAL,1m,1978.30,1978.60,1977.40,1978.30,1599,1786700526468-0,md:candles:1m,1786700529452
1786700579999,COLPAL,1m,1978.30,1987.80,1977.00,1978.90,8757,1786700585163-0,md:candles:1m,1786700591306
