ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,CONCOR,10m,531.20,531.50,530.50,531.00,24335,1786699270210-0,md:candles:10m,1786699276624
1786699799999,CONCOR,10m,531.00,532.45,530.40,530.40,83685,1786699867777-0,md:candles:10m,1786699876284
1786700399999,CONCOR,10m,530.50,531.40,530.10,530.70,113107,1786700471441-0,md:candles:10m,1786700482979
1786700999999,CONCOR,10m,530.65,530.85,528.10,529.20,62874,1786701080907-0,md:candles:10m,1786701080910
1786701599999,CONCOR,10m,529.20,529.20,527.00,527.00,2627068,1786702869103-0,md:candles:10m,1786702875014
1786702800000,CONCOR,1d,531.20,532.45,527.00,527.00,2911069,1786702805537-0,md:candles:1d,1786702807233
1786698959999,CONCOR,1m,531.20,531.30,531.20,531.30,412,1786698970128-0,md:candles:1m,1786698974630
1786699019999,CONCOR,1m,531.40,531.50,531.00,531.10,3853,1786699026588-0,md:candles:1m,1786699028548
1786699079999,CONCOR,1m,531.15,531.15,530.50,530.75,15407,1786699087222-0,md:candles:1m,1786699094422
1786699139999,CONCOR,1m,530.90,531.00,530.80,531.00,296,1786699150632-0,md:candles:1m,1786699158101
1786699199999,CONCOR,1m,530.95,531.20,530.95,531.00,4367,1786699205293-0,md:candles:1m,1786699208603
1786699259999,CONCOR,1m,531.00,531.20,530.85,531.00,2907,1786699270203-0,md:candles:1m,1786699273120
1786699319999,CONCOR,1m,530.95,531.80,530.70,531.45,30443,1786699325799-0,md:candles:1m,1786699326703
1786699379999,CONCOR,1m,531.60,531.90,531.30,531.30,5163,1786699385746-0,md:candles:1m,1786699391745
1786699439999,CONCOR,1m,531.65,532.05,531.50,531.80,9284,1786699446978-0,md:candles:1m,1786699457822
1786699499999,CONCOR,1m,531.80,532.00,531.50,531.80,7334,1786699507192-0,md:candles:1m,1786699511111
1786699559999,CONCOR,1m,531.55,532.45,531.45,532.05,4660,1786699566383-0,md:candles:1m,1786699576085
1786699619999,CONCOR,1m,532.25,532.35,531.20,531.20,7180,1786699626531-0,md:candles:1m,1786699627296
1786699679999,CONCOR,1m,531.20,531.20,530.65,531.10,6292,1786699688692-0,md:candles:1m,1786699689702
1786699739999,CONCOR,1m,530.95,531.00,530.80,530.80,6616,1786699747004-0,md:candles:1m,1786699754023
1786699799999,CONCOR,1m,530.85,531.00,530.40,530.40,3806,1786699813058-0,md:candles:1m,1786699821286
1786699859999,CONCOR,1m,530.50,530.60,530.45,530.50,10351,1786699867763-0,md:candles:1m,1786699871843
1786699919999,CONCOR,1m,531.00,531.00,530.60,530.65,23379,1786699927388-0,md:candles:1m,1786699936026
1786699979999,CONCOR,1m,530.65,530.75,530.50,530.75,7023,1786699985628-0,md:candles:1m,1786699989617
1786700039999,CONCOR,1m,530.70,531.40,530.70,531.20,3275,1786700045894-0,md:candles:1m,1786700051805
1786700099999,CONCOR,1m,531.30,531.30,530.60,531.00,7382,1786700108748-0,md:candles:1m,1786700118244
1786700159999,CONCOR,1m,531.20,531.20,530.10,530.60,23181,1786700167188-0,md:candles:1m,1786700171522
1786700219999,CONCOR,1m,530.80,530.80,530.20,530.60,12422,1786700225180-0,md:candles:1m,1786700233604
1786700279999,CONCOR,1m,530.65,530.80,530.60,530.70,14632,1786700289418-0,md:candles:1m,1786700298079
1786700339999,CONCOR,1m,530.60,530.80,530.50,530.65,2938,1786700347623-0,md:candles:1m,1786700351053
1786700399999,CONCOR,1m,530.65,530.70,530.10,530.70,8524,1786700405431-0,md:candles:1m,1786700412580
1786700459999,CONCOR,1m,530.65,530.70,530.20,530.50,14064,1786700471421-0,md:candles:1m,1786700476026
1786700519999,CONCOR,1m,530.70,530.85,530.55,530.55,3952,1786700525841-0,md:candles:1m,1786700529452
1786700579999,CONCOR,1m,530.55,530.55,528.95,528.95,36097,1786700588613-0,md:candles:1m,1786700591306
1786700639999,CONCOR,1m,529.20,529.25,528.65,528.65,2700,1786700650370-0,md:candles:1m,1786700653590
1786700699999,CONCOR,1m,528.30,529.20,528.10,529.20,5832,1786700706782-0,md:candles:1m,1786700715149
1786700759999,CONCOR,1m,529.20,529.20,529.20,529.20,229,1786701005496-0,md:candles:1m,1786701010481
1786701059999,CONCOR,1m,529.20,529.20,529.20,529.20,504,1786701080903-0,md:candles:1m,1786701082805
1786701119999,CONCOR,1m,529.20,529.20,529.20,529.20,717,1786701143096-0,md:candles:1m,1786701149293
1786701179999,CONCOR,1m,529.20,529.20,529.20,529.20,543,1786701215259-0,md:candles:1m,1786701226748
1786701239999,CONCOR,1m,529.20,529.20,529.20,529.20,2547,1786701258506-0,md:candles:1m,1786701260413
1786701299999,CONCOR,1m,529.20,529.20,529.20,529.20,916,1786701307448-0,md:candles:1m,1786701313567
1786701359999,CONCOR,1m,529.20,529.20,529.20,529.20,97,1786701373566-0,md:candles:1m,1786701379364
1786701419999,CONCOR,1m,529.20,529.20,529.20,529.20,1075,1786701439482-0,md:candles:1m,1786701443578
1786701479999,CONCOR,1m,529.20,529.20,529.20,529.20,128,1786701504807-0,md:candles:1m,1786701507390
1786701539999,CONCOR,1m,529.20,529.20,527.00,527.00,2620541,1786702805536-0,md:candles:1m,1786702808525
1786702859999,CONCOR,1m,527.00,527.00,527.00,527.00,387,1786702869100-0,md:candles:1m,1786702874006
1786702919999,CONCOR,1m,527.00,527.00,527.00,527.00,50,1786703166249-0,md:candles:1m,1786703173539
1786703219999,CONCOR,1m,527.00,527.00,527.00,527.00,102,1786703226900-0,md:candles:1m,1786703228996
1786699799999,CONCOR,30m,531.20,532.45,530.40,530.40,108020,1786699867778-0,md:candles:30m,1786699872287
1786701599999,CONCOR,30m,530.50,531.40,527.00,527.00,2803049,1786702869104-0,md:candles:30m,1786702871507
1786699199999,CONCOR,5m,531.20,531.50,530.50,531.00,24335,1786699270209-0,md:candles:5m,1786699276624
1786699499999,CONCOR,5m,531.00,532.05,530.70,531.80,55131,1786699566386-0,md:candles:5m,1786699570970
1786699799999,CONCOR,5m,531.55,532.45,530.40,530.40,28554,1786699867776-0,md:candles:5m,1786699868444
1786700099999,CONCOR,5m,530.50,531.40,530.45,531.00,51410,1786700167190-0,md:candles:5m,1786700170829
1786700399999,CONCOR,5m,531.20,531.20,530.10,530.70,61697,1786700471440-0,md:candles:5m,1786700482979
1786700699999,CONCOR,5m,530.65,530.85,528.10,529.20,62645,1786701005500-0,md:candles:5m,1786701013188
1786700999999,CONCOR,5m,529.20,529.20,529.20,529.20,229,1786701080906-0,md:candles:5m,1786701092706
1786701299999,CONCOR,5m,529.20,529.20,529.20,529.20,5227,1786701373569-0,md:candles:5m,1786701379364
1786701599999,CONCOR,5m,529.20,529.20,527.00,527.00,2621841,1786702869102-0,md:candles:5m,1786702874028
1786703099999,CONCOR,5m,527.00,527.00,527.00,527.00,437,1786703226903-0,md:candles:5m,1786703229106
