ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,CROMPTON,10m,246.85,247.10,246.70,246.90,10554,1786699270005-0,md:candles:10m,1786699276624
1786699799999,CROMPTON,10m,246.90,246.95,246.55,246.95,42317,1786699867465-0,md:candles:10m,1786699876284
1786700399999,CROMPTON,10m,246.85,246.85,246.20,246.60,110550,1786700471315-0,md:candles:10m,1786700482979
1786700999999,CROMPTON,10m,246.40,248.50,246.40,248.30,85068,1786701074211-0,md:candles:10m,1786701080910
1786701599999,CROMPTON,10m,248.30,248.30,248.30,248.30,1753410,1786703012056-0,md:candles:10m,1786703016057
1786702858000,CROMPTON,1d,246.85,248.50,246.20,248.30,2001899,1786702863403-0,md:candles:1d,1786702873817
1786698959999,CROMPTON,1m,246.85,247.10,246.85,247.00,765,1786698969930-0,md:candles:1m,1786698974630
1786699019999,CROMPTON,1m,246.90,247.10,246.90,246.95,3524,1786699027955-0,md:candles:1m,1786699028548
1786699079999,CROMPTON,1m,246.95,246.95,246.80,246.90,621,1786699087171-0,md:candles:1m,1786699094422
1786699139999,CROMPTON,1m,246.90,246.90,246.70,246.90,2343,1786699146651-0,md:candles:1m,1786699146984
1786699199999,CROMPTON,1m,246.70,246.95,246.70,246.90,3301,1786699211110-0,md:candles:1m,1786699221468
1786699259999,CROMPTON,1m,246.90,246.95,246.80,246.95,658,1786699270002-0,md:candles:1m,1786699273120
1786699319999,CROMPTON,1m,246.95,246.95,246.80,246.90,543,1786699330011-0,md:candles:1m,1786699339124
1786699379999,CROMPTON,1m,246.90,246.90,246.75,246.85,1053,1786699386633-0,md:candles:1m,1786699391745
1786699439999,CROMPTON,1m,246.85,246.85,246.65,246.80,3136,1786699445178-0,md:candles:1m,1786699445600
1786699499999,CROMPTON,1m,246.80,246.90,246.65,246.90,5144,1786699511109-0,md:candles:1m,1786699511111
1786699559999,CROMPTON,1m,246.90,246.90,246.75,246.80,1429,1786699567000-0,md:candles:1m,1786699576085
1786699619999,CROMPTON,1m,246.80,246.85,246.70,246.85,712,1786699626204-0,md:candles:1m,1786699627296
1786699679999,CROMPTON,1m,246.85,246.95,246.70,246.95,8519,1786699687415-0,md:candles:1m,1786699689702
1786699739999,CROMPTON,1m,246.95,246.95,246.65,246.75,5525,1786699746790-0,md:candles:1m,1786699754023
1786699799999,CROMPTON,1m,246.75,246.95,246.55,246.95,15598,1786699808068-0,md:candles:1m,1786699821286
1786699859999,CROMPTON,1m,246.85,246.85,246.75,246.85,6781,1786699867454-0,md:candles:1m,1786699871843
1786699919999,CROMPTON,1m,246.85,246.85,246.65,246.75,12105,1786699926851-0,md:candles:1m,1786699936026
1786699979999,CROMPTON,1m,246.75,246.75,246.65,246.75,1198,1786699985328-0,md:candles:1m,1786699989617
1786700039999,CROMPTON,1m,246.75,246.85,246.70,246.80,4275,1786700045600-0,md:candles:1m,1786700051805
1786700099999,CROMPTON,1m,246.80,246.80,246.55,246.55,5748,1786700108562-0,md:candles:1m,1786700118244
1786700159999,CROMPTON,1m,246.60,246.60,246.20,246.40,26129,1786700171273-0,md:candles:1m,1786700171522
1786700219999,CROMPTON,1m,246.35,246.45,246.35,246.40,14571,1786700227115-0,md:candles:1m,1786700233604
1786700279999,CROMPTON,1m,246.40,246.50,246.25,246.50,14361,1786700289287-0,md:candles:1m,1786700298079
1786700339999,CROMPTON,1m,246.50,246.60,246.50,246.55,9108,1786700349083-0,md:candles:1m,1786700351053
1786700399999,CROMPTON,1m,246.60,246.70,246.45,246.60,16274,1786700407372-0,md:candles:1m,1786700412580
1786700459999,CROMPTON,1m,246.40,246.70,246.40,246.60,8362,1786700471304-0,md:candles:1m,1786700476026
