ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,CUMMINSIND,10m,5409.00,5409.50,5405.50,5408.00,3222,1786699265736-0,md:candles:10m,1786699276624
1786699799999,CUMMINSIND,10m,5409.00,5425.00,5407.00,5415.00,19161,1786699872283-0,md:candles:10m,1786699876284
1786700399999,CUMMINSIND,10m,5410.50,5413.00,5404.50,5408.00,21717,1786700468389-0,md:candles:10m,1786700471301
1786700999999,CUMMINSIND,10m,5408.00,5426.00,5406.00,5410.00,25402,1786701065875-0,md:candles:10m,1786701070102
1786701599999,CUMMINSIND,10m,5410.00,5410.00,5400.00,5400.00,410998,1786702894049-0,md:candles:10m,1786702895644
1786702804000,CUMMINSIND,1d,5409.00,5426.00,5400.00,5400.00,480500,1786702809131-0,md:candles:1d,1786702818543
1786698959999,CUMMINSIND,1m,5409.00,5409.00,5407.00,5409.00,341,1786698967898-0,md:candles:1m,1786698974630
1786699019999,CUMMINSIND,1m,5409.00,5409.00,5405.50,5408.00,1276,1786699026993-0,md:candles:1m,1786699028548
1786699079999,CUMMINSIND,1m,5408.00,5408.50,5406.50,5408.50,411,1786699090532-0,md:candles:1m,1786699094422
1786699139999,CUMMINSIND,1m,5408.50,5409.50,5407.00,5407.00,582,1786699148660-0,md:candles:1m,1786699158101
1786699199999,CUMMINSIND,1m,5409.00,5409.00,5408.00,5408.00,612,1786699205686-0,md:candles:1m,1786699208603
1786699259999,CUMMINSIND,1m,5409.00,5409.00,5407.00,5408.00,565,1786699265693-0,md:candles:1m,1786699273120
1786699319999,CUMMINSIND,1m,5409.00,5413.50,5408.00,5410.00,2115,1786699325761-0,md:candles:1m,1786699326703
1786699379999,CUMMINSIND,1m,5412.00,5417.00,5410.00,5417.00,2484,1786699387099-0,md:candles:1m,1786699391745
1786699439999,CUMMINSIND,1m,5413.50,5418.00,5413.50,5418.00,1015,1786699449174-0,md:candles:1m,1786699457822
1786699499999,CUMMINSIND,1m,5417.00,5425.00,5417.00,5423.00,7399,1786699508154-0,md:candles:1m,1786699511111
1786699559999,CUMMINSIND,1m,5423.50,5424.00,5418.00,5419.00,2450,1786699566859-0,md:candles:1m,1786699576085
1786699619999,CUMMINSIND,1m,5420.00,5421.00,5417.00,5417.50,785,1786699626806-0,md:candles:1m,1786699627296
1786699679999,CUMMINSIND,1m,5412.00,5417.50,5412.00,5416.50,906,1786699689980-0,md:candles:1m,1786699701410
1786699739999,CUMMINSIND,1m,5417.00,5417.00,5413.50,5415.00,938,1786699749990-0,md:candles:1m,1786699754023
1786699799999,CUMMINSIND,1m,5413.50,5415.00,5413.50,5415.00,504,1786699809541-0,md:candles:1m,1786699821286
1786699859999,CUMMINSIND,1m,5410.50,5413.00,5410.00,5410.50,5282,1786699872279-0,md:candles:1m,1786699883310
1786699919999,CUMMINSIND,1m,5411.00,5412.50,5410.50,5412.50,1171,1786699929096-0,md:candles:1m,1786699936026
1786699979999,CUMMINSIND,1m,5412.00,5412.50,5410.50,5411.00,1084,1786699989628-0,md:candles:1m,1786699989617
1786700039999,CUMMINSIND,1m,5411.00,5411.00,5410.50,5411.00,1020,1786700050801-0,md:candles:1m,1786700051805
1786700099999,CUMMINSIND,1m,5411.00,5411.00,5410.00,5410.50,2508,1786700106035-0,md:candles:1m,1786700118244
1786700159999,CUMMINSIND,1m,5411.50,5411.50,5404.50,5405.00,3048,1786700168827-0,md:candles:1m,1786700171522
1786700219999,CUMMINSIND,1m,5405.00,5409.50,5405.00,5407.50,3496,1786700231598-0,md:candles:1m,1786700233604
1786700279999,CUMMINSIND,1m,5409.00,5410.00,5408.00,5409.00,1012,1786700286473-0,md:candles:1m,1786700298079
1786700339999,CUMMINSIND,1m,5409.00,5410.00,5408.00,5408.00,1694,1786700346678-0,md:candles:1m,1786700351053
1786700399999,CUMMINSIND,1m,5409.00,5409.50,5407.50,5408.00,1402,1786700407065-0,md:candles:1m,1786700412580
1786700459999,CUMMINSIND,1m,5408.00,5411.00,5406.00,5409.50,5012,1786700468374-0,md:candles:1m,1786700476026
1786700519999,CUMMINSIND,1m,5410.00,5412.00,5408.50,5411.50,3135,1786700526425-0,md:candles:1m,1786700529452
1786700579999,CUMMINSIND,1m,5412.00,5414.50,5410.00,5413.50,10014,1786700587561-0,md:candles:1m,1786700591306
1786700639999,CUMMINSIND,1m,5413.50,5420.50,5411.50,5420.50,5520,1786700647958-0,md:candles:1m,1786700653590
1786700699999,CUMMINSIND,1m,5421.00,5426.00,5410.00,5410.00,1721,1786701010488-0,md:candles:1m,1786701010481
1786701059999,CUMMINSIND,1m,5410.00,5410.00,5410.00,5410.00,1453,1786701065872-0,md:candles:1m,1786701071890
1786701119999,CUMMINSIND,1m,5410.00,5410.00,5410.00,5410.00,81,1786701134978-0,md:candles:1m,1786701137210
1786701179999,CUMMINSIND,1m,5410.00,5410.00,5410.00,5410.00,399,1786701219150-0,md:candles:1m,1786701226748
1786701239999,CUMMINSIND,1m,5410.00,5410.00,5410.00,5410.00,708,1786701249182-0,md:candles:1m,1786701260413
1786701299999,CUMMINSIND,1m,5410.00,5410.00,5410.00,5410.00,849,1786701311567-0,md:candles:1m,1786701313567
1786701359999,CUMMINSIND,1m,5410.00,5410.00,5410.00,5410.00,532,1786701423552-0,md:candles:1m,1786701432770
1786701419999,CUMMINSIND,1m,5410.00,5410.00,5410.00,5410.00,2,1786701443581-0,md:candles:1m,1786701443578
1786701479999,CUMMINSIND,1m,5410.00,5410.00,5410.00,5410.00,198,1786701485949-0,md:candles:1m,1786701486644
1786701539999,CUMMINSIND,1m,5410.00,5410.00,5400.00,5400.00,406776,1786702809130-0,md:candles:1m,1786702820532
1786702859999,CUMMINSIND,1m,5400.00,5400.00,5400.00,5400.00,0,1786702894043-0,md:candles:1m,1786702895641
1786702919999,CUMMINSIND,1m,5400.00,5400.00,5400.00,5400.00,5,1786703304083-0,md:candles:1m,1786703314394
1786699799999,CUMMINSIND,30m,5409.00,5425.00,5405.50,5415.00,22383,1786699872284-0,md:candles:30m,1786699872287
1786701599999,CUMMINSIND,30m,5410.50,5426.00,5400.00,5400.00,458117,1786702894050-0,md:candles:30m,1786702905661
1786699199999,CUMMINSIND,5m,5409.00,5409.50,5405.50,5408.00,3222,1786699265734-0,md:candles:5m,1786699276624
1786699499999,CUMMINSIND,5m,5409.00,5425.00,5407.00,5423.00,13578,1786699566860-0,md:candles:5m,1786699570970
1786699799999,CUMMINSIND,5m,5423.50,5424.00,5412.00,5415.00,5583,1786699872281-0,md:candles:5m,1786699880291
1786700099999,CUMMINSIND,5m,5410.50,5413.00,5410.00,5410.50,11065,1786700168830-0,md:candles:5m,1786700170829
1786700399999,CUMMINSIND,5m,5411.50,5411.50,5404.50,5408.00,10652,1786700468387-0,md:candles:5m,1786700471362
1786700699999,CUMMINSIND,5m,5408.00,5426.00,5406.00,5410.00,25402,1786701065873-0,md:candles:5m,1786701068420
1786701299999,CUMMINSIND,5m,5410.00,5410.00,5410.00,5410.00,3490,1786701423554-0,md:candles:5m,1786701434082
1786701599999,CUMMINSIND,5m,5410.00,5410.00,5400.00,5400.00,407508,1786702894047-0,md:candles:5m,1786702895643
