ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,CYIENT,10m,867.95,868.75,867.95,868.20,313,1786699269999-0,md:candles:10m,1786699276624
1786699799999,CYIENT,10m,868.70,868.70,868.00,868.15,3284,1786699867460-0,md:candles:10m,1786699876284
1786700399999,CYIENT,10m,868.30,868.45,866.00,866.95,11543,1786700471310-0,md:candles:10m,1786700482979
1786700999999,CYIENT,10m,866.95,867.20,866.40,866.75,3864,1786701067590-0,md:candles:10m,1786701070102
1786701599999,CYIENT,10m,866.70,868.90,866.00,868.00,5399,1786701699396-0,md:candles:10m,1786701708808
1786701602000,CYIENT,1d,867.95,868.90,866.00,868.00,24403,1786701607797-0,md:candles:1d,1786701615808
1786698959999,CYIENT,1m,867.95,868.50,867.95,867.95,18,1786698969928-0,md:candles:1m,1786698974630
1786699019999,CYIENT,1m,868.25,868.35,867.95,868.35,25,1786699034071-0,md:candles:1m,1786699041361
1786699079999,CYIENT,1m,868.05,868.35,868.05,868.10,41,1786699087165-0,md:candles:1m,1786699094422
1786699139999,CYIENT,1m,868.35,868.50,868.10,868.50,56,1786699151511-0,md:candles:1m,1786699158101
1786699199999,CYIENT,1m,868.15,868.75,868.15,868.20,173,1786699206658-0,md:candles:1m,1786699208603
1786699259999,CYIENT,1m,868.70,868.70,868.20,868.70,109,1786699269995-0,md:candles:1m,1786699273120
1786699319999,CYIENT,1m,868.70,868.70,868.25,868.70,25,1786699333784-0,md:candles:1m,1786699339124
1786699379999,CYIENT,1m,868.25,868.70,868.25,868.70,27,1786699391758-0,md:candles:1m,1786699404016
1786699439999,CYIENT,1m,868.35,868.70,868.25,868.70,292,1786699445176-0,md:candles:1m,1786699445600
1786699499999,CYIENT,1m,868.70,868.70,868.25,868.70,62,1786699511893-0,md:candles:1m,1786699523104
1786699559999,CYIENT,1m,868.30,868.70,868.30,868.30,32,1786699566908-0,md:candles:1m,1786699576085
1786699619999,CYIENT,1m,868.70,868.70,868.30,868.60,1682,1786699633661-0,md:candles:1m,1786699639246
1786699679999,CYIENT,1m,868.30,868.55,868.00,868.55,358,1786699687411-0,md:candles:1m,1786699689702
1786699739999,CYIENT,1m,868.55,868.55,868.00,868.50,561,1786699746789-0,md:candles:1m,1786699754023
1786699799999,CYIENT,1m,868.00,868.65,868.00,868.15,136,1786699808064-0,md:candles:1m,1786699821286
1786699859999,CYIENT,1m,868.30,868.45,867.80,867.80,2625,1786699867448-0,md:candles:1m,1786699871843
1786699919999,CYIENT,1m,867.60,867.75,866.70,867.65,1296,1786699926850-0,md:candles:1m,1786699936026
1786699979999,CYIENT,1m,867.65,867.75,866.95,867.10,196,1786699985326-0,md:candles:1m,1786699989617
1786700039999,CYIENT,1m,867.10,867.85,866.00,867.60,2263,1786700057162-0,md:candles:1m,1786700063748
1786700099999,CYIENT,1m,867.55,867.55,866.90,867.25,609,1786700108556-0,md:candles:1m,1786700118244
1786700159999,CYIENT,1m,866.90,867.15,866.10,867.15,451,1786700171271-0,md:candles:1m,1786700171522
1786700219999,CYIENT,1m,867.15,867.15,866.80,867.00,132,1786700227114-0,md:candles:1m,1786700233604
1786700279999,CYIENT,1m,866.85,867.60,866.15,866.15,2157,1786700289285-0,md:candles:1m,1786700298079
1786700339999,CYIENT,1m,866.85,867.10,866.60,866.80,1590,1786700349081-0,md:candles:1m,1786700351053
1786700399999,CYIENT,1m,867.15,867.15,866.20,866.95,224,1786700409639-0,md:candles:1m,1786700412580
1786700459999,CYIENT,1m,866.95,866.95,866.40,866.85,112,1786700471302-0,md:candles:1m,1786700476026
1786700519999,CYIENT,1m,866.65,867.20,866.65,867.20,625,1786700525487-0,md:candles:1m,1786700529452
1786700579999,CYIENT,1m,866.80,867.20,866.60,866.60,559,1786700590297-0,md:candles:1m,1786700591306
1786700639999,CYIENT,1m,866.60,866.90,866.45,866.85,252,1786700645491-0,md:candles:1m,1786700653590
1786700699999,CYIENT,1m,866.40,866.90,866.40,866.90,296,1786700706543-0,md:candles:1m,1786700715149
1786700759999,CYIENT,1m,866.45,866.80,866.45,866.70,568,1786700769025-0,md:candles:1m,1786700777439
1786700819999,CYIENT,1m,866.75,866.75,866.70,866.70,74,1786700825599-0,md:candles:1m,1786700827804
1786700879999,CYIENT,1m,866.70,866.80,866.70,866.80,681,1786700885509-0,md:candles:1m,1786700888893
1786700939999,CYIENT,1m,866.75,866.80,866.75,866.80,249,1786700945184-0,md:candles:1m,1786700950112
1786700999999,CYIENT,1m,866.75,866.80,866.70,866.75,448,1786701005182-0,md:candles:1m,1786701010481
1786701059999,CYIENT,1m,866.70,866.80,866.70,866.80,166,1786701067586-0,md:candles:1m,1786701071890
1786701119999,CYIENT,1m,866.75,867.00,866.75,866.80,1009,1786701128635-0,md:candles:1m,1786701137210
1786701179999,CYIENT,1m,866.75,867.30,866.75,867.00,375,1786701186740-0,md:candles:1m,1786701191510
1786701239999,CYIENT,1m,867.20,867.80,866.85,867.20,499,1786701246641-0,md:candles:1m,1786701248276
1786701299999,CYIENT,1m,867.00,867.70,866.85,866.90,442,1786701307074-0,md:candles:1m,1786701313567
1786701359999,CYIENT,1m,867.65,867.65,866.00,866.25,1098,1786701366847-0,md:candles:1m,1786701367943
1786701419999,CYIENT,1m,866.35,867.00,866.15,866.15,264,1786701425767-0,md:candles:1m,1786701432770
1786701479999,CYIENT,1m,866.15,867.00,866.15,867.00,368,1786701487746-0,md:candles:1m,1786701496799
1786701539999,CYIENT,1m,866.85,867.20,866.50,867.20,801,1786701546361-0,md:candles:1m,1786701551354
1786701599999,CYIENT,1m,867.30,868.90,867.00,868.00,377,1786701607795-0,md:candles:1m,1786701613806
1786701659999,CYIENT,1m,868.90,868.90,868.90,868.90,2,1786701699393-0,md:candles:1m,1786701706798
1786701719999,CYIENT,1m,867.05,867.05,867.05,867.05,0,1786702811446-0,md:candles:1m,1786702820532
1786699799999,CYIENT,30m,867.95,868.75,867.95,868.15,3597,1786699867461-0,md:candles:30m,1786699872287
1786701599999,CYIENT,30m,868.30,868.90,866.00,868.00,20806,1786701699397-0,md:candles:30m,1786701708808
1786699199999,CYIENT,5m,867.95,868.75,867.95,868.20,313,1786699269997-0,md:candles:5m,1786699276624
1786699499999,CYIENT,5m,868.70,868.70,868.20,868.70,515,1786699566910-0,md:candles:5m,1786699570970
