ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,DABUR,10m,408.50,408.60,408.30,408.50,52691,1786699265745-0,md:candles:10m,1786699276624
1786699799999,DABUR,10m,408.60,409.00,408.30,408.30,106047,1786699868081-0,md:candles:10m,1786699876284
1786700399999,DABUR,10m,408.30,408.45,406.90,407.90,532843,1786700471714-0,md:candles:10m,1786700482979
1786700999999,DABUR,10m,407.90,407.90,407.10,407.50,24300,1786701074712-0,md:candles:10m,1786701080910
1786701599999,DABUR,10m,407.50,407.50,405.25,405.25,1439869,1786702884926-0,md:candles:10m,1786702885431
1786702800000,DABUR,1d,408.50,409.00,405.25,405.25,2155750,1786702805730-0,md:candles:1d,1786702807233
1786698959999,DABUR,1m,408.50,408.55,408.50,408.50,1559,1786698970412-0,md:candles:1m,1786698974630
1786699019999,DABUR,1m,408.50,408.50,408.45,408.45,3151,1786699028157-0,md:candles:1m,1786699028548
1786699079999,DABUR,1m,408.40,408.40,408.30,408.35,2130,1786699087317-0,md:candles:1m,1786699094422
1786699139999,DABUR,1m,408.35,408.40,408.30,408.40,2935,1786699152099-0,md:candles:1m,1786699158101
1786699199999,DABUR,1m,408.40,408.60,408.40,408.50,42916,1786699205621-0,md:candles:1m,1786699208603
1786699259999,DABUR,1m,408.60,409.00,408.50,409.00,24664,1786699265710-0,md:candles:1m,1786699273120
1786699319999,DABUR,1m,409.00,409.00,408.85,409.00,2929,1786699330290-0,md:candles:1m,1786699339124
1786699379999,DABUR,1m,409.00,409.00,408.95,409.00,1161,1786699387509-0,md:candles:1m,1786699391745
1786699439999,DABUR,1m,409.00,409.00,408.50,408.65,4862,1786699452135-0,md:candles:1m,1786699457822
1786699499999,DABUR,1m,408.65,408.75,408.50,408.75,6057,1786699506903-0,md:candles:1m,1786699511111
1786699559999,DABUR,1m,408.95,409.00,408.55,408.55,28247,1786699566957-0,md:candles:1m,1786699576085
1786699619999,DABUR,1m,408.60,408.65,408.55,408.60,3089,1786699626828-0,md:candles:1m,1786699627296
1786699679999,DABUR,1m,408.60,408.60,408.50,408.50,23440,1786699688016-0,md:candles:1m,1786699689702
