ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,DALBHARAT,10m,1845.40,1848.80,1844.00,1846.00,3795,1786699266811-0,md:candles:10m,1786699276624
1786699799999,DALBHARAT,10m,1846.00,1848.10,1844.00,1845.00,7296,1786699868254-0,md:candles:10m,1786699876284
1786700399999,DALBHARAT,10m,1844.90,1847.10,1840.20,1845.20,9221,1786700472027-0,md:candles:10m,1786700482979
1786700999999,DALBHARAT,10m,1841.60,1844.40,1840.10,1841.10,1366,1786701068684-0,md:candles:10m,1786701070102
1786698959999,DALBHARAT,1m,1845.40,1845.40,1845.40,1845.40,17,1786698976331-0,md:candles:1m,1786698986423
1786699019999,DALBHARAT,1m,1845.40,1845.50,1845.00,1845.50,351,1786699028333-0,md:candles:1m,1786699028548
1786699079999,DALBHARAT,1m,1845.00,1845.00,1844.90,1844.90,30,1786699087396-0,md:candles:1m,1786699094422
1786699139999,DALBHARAT,1m,1844.90,1844.90,1844.00,1844.00,51,1786699152383-0,md:candles:1m,1786699158101
1786699199999,DALBHARAT,1m,1845.30,1848.80,1845.30,1846.00,3346,1786699206028-0,md:candles:1m,1786699208603
1786699259999,DALBHARAT,1m,1846.00,1848.10,1846.00,1846.20,1480,1786699266767-0,md:candles:1m,1786699273120
1786699319999,DALBHARAT,1m,1846.30,1846.30,1844.30,1845.80,1922,1786699333860-0,md:candles:1m,1786699339124
1786699379999,DALBHARAT,1m,1844.90,1846.00,1844.90,1846.00,512,1786699387597-0,md:candles:1m,1786699391745
1786699439999,DALBHARAT,1m,1846.40,1846.40,1845.00,1846.40,517,1786699445987-0,md:candles:1m,1786699457822
1786699499999,DALBHARAT,1m,1846.90,1846.90,1845.50,1845.50,1016,1786699506929-0,md:candles:1m,1786699511111
1786699559999,DALBHARAT,1m,1846.40,1846.40,1845.90,1845.90,176,1786699571964-0,md:candles:1m,1786699576085
1786699619999,DALBHARAT,1m,1846.90,1847.40,1846.40,1847.40,242,1786699627127-0,md:candles:1m,1786699627296
1786699679999,DALBHARAT,1m,1847.40,1847.50,1846.00,1846.00,696,1786699687010-0,md:candles:1m,1786699689702
1786699739999,DALBHARAT,1m,1846.70,1846.70,1845.40,1845.40,594,1786699754695-0,md:candles:1m,1786699765884
1786699799999,DALBHARAT,1m,1845.50,1845.50,1844.00,1845.00,141,1786699805493-0,md:candles:1m,1786699807941
1786699859999,DALBHARAT,1m,1844.90,1844.90,1843.00,1843.10,684,1786699868244-0,md:candles:1m,1786699871843
1786699919999,DALBHARAT,1m,1843.10,1843.10,1840.20,1840.20,1227,1786699927626-0,md:candles:1m,1786699936026
1786699979999,DALBHARAT,1m,1840.90,1841.90,1840.60,1841.90,918,1786699986206-0,md:candles:1m,1786699989617
1786700039999,DALBHARAT,1m,1841.50,1844.20,1841.00,1844.20,464,1786700046505-0,md:candles:1m,1786700051805
1786700099999,DALBHARAT,1m,1842.60,1842.60,1842.00,1842.00,432,1786700106170-0,md:candles:1m,1786700118244
1786700159999,DALBHARAT,1m,1841.90,1842.00,1840.50,1842.00,161,1786700165232-0,md:candles:1m,1786700171522
1786700219999,DALBHARAT,1m,1842.00,1845.60,1840.60,1845.60,1408,1786700225190-0,md:candles:1m,1786700233604
1786700279999,DALBHARAT,1m,1845.90,1846.50,1843.90,1846.50,1392,1786700289886-0,md:candles:1m,1786700298079
1786700339999,DALBHARAT,1m,1846.90,1847.10,1845.80,1847.00,1191,1786700345547-0,md:candles:1m,1786700351053
1786700399999,DALBHARAT,1m,1847.10,1847.10,1845.20,1845.20,1344,1786700408611-0,md:candles:1m,1786700412580
1786700459999,DALBHARAT,1m,1841.60,1844.30,1841.00,1843.30,424,1786700472023-0,md:candles:1m,1786700476026
1786700519999,DALBHARAT,1m,1842.30,1843.10,1842.30,1842.30,54,1786700526440-0,md:candles:1m,1786700529452
1786700579999,DALBHARAT,1m,1842.70,1844.40,1842.00,1843.40,263,1786700585388-0,md:candles:1m,1786700591306
1786700639999,DALBHARAT,1m,1843.70,1843.70,1840.10,1842.00,385,1786700650977-0,md:candles:1m,1786700653590
1786700699999,DALBHARAT,1m,1842.00,1842.00,1840.20,1841.10,240,1786700713147-0,md:candles:1m,1786700715149
1786700759999,DALBHARAT,1m,1841.10,1841.10,1841.10,1841.10,0,1786701006096-0,md:candles:1m,1786701010481
1786701059999,DALBHARAT,1m,1841.10,1841.10,1841.10,1841.10,214,1786701068680-0,md:candles:1m,1786701071890
1786701119999,DALBHARAT,1m,1841.10,1841.10,1841.10,1841.10,37,1786701203655-0,md:candles:1m,1786701215027
1786701239999,DALBHARAT,1m,1841.10,1841.10,1841.10,1841.10,5,1786701400017-0,md:candles:1m,1786701400511
1786701419999,DALBHARAT,1m,1841.10,1841.10,1841.10,1841.10,12,1786701518801-0,md:candles:1m,1786701529772
1786699799999,DALBHARAT,30m,1845.40,1848.80,1844.00,1845.00,11091,1786699868255-0,md:candles:30m,1786699872287
1786699199999,DALBHARAT,5m,1845.40,1848.80,1844.00,1846.00,3795,1786699266809-0,md:candles:5m,1786699276624
1786699499999,DALBHARAT,5m,1846.00,1848.10,1844.30,1845.50,5447,1786699571966-0,md:candles:5m,1786699584096
1786699799999,DALBHARAT,5m,1846.40,1847.50,1844.00,1845.00,1849,1786699868253-0,md:candles:5m,1786699868444
1786700099999,DALBHARAT,5m,1844.90,1844.90,1840.20,1842.00,3725,1786700165235-0,md:candles:5m,1786700170829
1786700399999,DALBHARAT,5m,1841.90,1847.10,1840.50,1845.20,5496,1786700472025-0,md:candles:5m,1786700482979
1786700699999,DALBHARAT,5m,1841.60,1844.40,1840.10,1841.10,1366,1786701006101-0,md:candles:5m,1786701013188
1786700999999,DALBHARAT,5m,1841.10,1841.10,1841.10,1841.10,0,1786701068682-0,md:candles:5m,1786701080800
1786701299999,DALBHARAT,5m,1841.10,1841.10,1841.10,1841.10,256,1786701518805-0,md:candles:5m,1786701520821
