ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,DELHIVERY,10m,462.15,462.15,461.05,461.10,5824,1786699265627-0,md:candles:10m,1786699276624
1786699799999,DELHIVERY,10m,461.15,461.75,460.80,460.90,47518,1786699869246-0,md:candles:10m,1786699876284
1786700399999,DELHIVERY,10m,460.90,461.05,460.05,460.45,102431,1786700465471-0,md:candles:10m,1786700471301
1786700999999,DELHIVERY,10m,460.35,462.15,460.00,460.00,72700,1786701069630-0,md:candles:10m,1786701070102
1786701599999,DELHIVERY,10m,460.00,460.00,459.70,459.70,1467518,1786703157632-0,md:candles:10m,1786703163695
1786702801000,DELHIVERY,1d,462.15,462.15,459.70,459.70,1695991,1786702806637-0,md:candles:1d,1786702807233
1786698959999,DELHIVERY,1m,462.15,462.15,461.85,461.95,590,1786698965707-0,md:candles:1m,1786698974630
1786699019999,DELHIVERY,1m,462.05,462.05,461.60,461.75,854,1786699029219-0,md:candles:1m,1786699041361
1786699079999,DELHIVERY,1m,461.45,461.50,461.20,461.20,2635,1786699085679-0,md:candles:1m,1786699094422
1786699139999,DELHIVERY,1m,461.25,461.25,461.15,461.15,440,1786699145492-0,md:candles:1m,1786699146984
1786699199999,DELHIVERY,1m,461.25,461.25,461.05,461.10,1305,1786699206611-0,md:candles:1m,1786699208603
1786699259999,DELHIVERY,1m,461.15,461.30,461.10,461.15,1147,1786699265616-0,md:candles:1m,1786699273120
1786699319999,DELHIVERY,1m,461.25,461.45,461.00,461.30,10454,1786699325175-0,md:candles:1m,1786699326703
1786699379999,DELHIVERY,1m,461.25,461.45,461.05,461.35,5339,1786699388183-0,md:candles:1m,1786699391745
1786699439999,DELHIVERY,1m,461.15,461.75,461.15,461.55,3799,1786699446788-0,md:candles:1m,1786699457822
1786699499999,DELHIVERY,1m,461.45,461.55,461.35,461.50,3277,1786699512789-0,md:candles:1m,1786699523104
1786699559999,DELHIVERY,1m,461.50,461.50,461.35,461.35,5300,1786699568126-0,md:candles:1m,1786699576085
1786699619999,DELHIVERY,1m,461.40,461.40,461.30,461.35,997,1786699628129-0,md:candles:1m,1786699639246
1786699679999,DELHIVERY,1m,461.10,461.30,461.00,461.30,9822,1786699689034-0,md:candles:1m,1786699689702
1786699739999,DELHIVERY,1m,461.30,461.30,460.85,461.00,3577,1786699748484-0,md:candles:1m,1786699754023
1786699799999,DELHIVERY,1m,461.00,461.00,460.80,460.90,3806,1786699806359-0,md:candles:1m,1786699807941
1786699859999,DELHIVERY,1m,460.90,461.05,460.85,461.05,11274,1786699869243-0,md:candles:1m,1786699871843
1786699919999,DELHIVERY,1m,460.85,460.85,460.20,460.35,29460,1786699928547-0,md:candles:1m,1786699936026
1786699979999,DELHIVERY,1m,460.35,460.75,460.35,460.50,7501,1786699987057-0,md:candles:1m,1786699989617
1786700039999,DELHIVERY,1m,460.70,460.75,460.45,460.50,2268,1786700047394-0,md:candles:1m,1786700051805
1786700099999,DELHIVERY,1m,460.45,460.60,460.45,460.55,2693,1786700110224-0,md:candles:1m,1786700118244
1786700159999,DELHIVERY,1m,460.55,460.55,460.05,460.05,8005,1786700166127-0,md:candles:1m,1786700171522
1786700219999,DELHIVERY,1m,460.10,460.60,460.05,460.45,16503,1786700225288-0,md:candles:1m,1786700233604
1786700279999,DELHIVERY,1m,460.50,460.50,460.10,460.20,17342,1786700290670-0,md:candles:1m,1786700298079
1786700339999,DELHIVERY,1m,460.50,460.55,460.45,460.45,4145,1786700350726-0,md:candles:1m,1786700351053
1786700399999,DELHIVERY,1m,460.45,460.55,460.30,460.45,3240,1786700409410-0,md:candles:1m,1786700412580
1786700459999,DELHIVERY,1m,460.35,460.85,460.35,460.50,9263,1786700465436-0,md:candles:1m,1786700476026
1786700519999,DELHIVERY,1m,460.45,460.45,460.25,460.30,5271,1786700525417-0,md:candles:1m,1786700529452
1786700579999,DELHIVERY,1m,460.40,461.15,460.30,460.80,33517,1786700592029-0,md:candles:1m,1786700602905
1786700639999,DELHIVERY,1m,460.80,461.10,460.55,460.95,5489,1786700645375-0,md:candles:1m,1786700653590
1786700699999,DELHIVERY,1m,460.60,462.15,460.45,460.45,19123,1786700708046-0,md:candles:1m,1786700715149
1786700759999,DELHIVERY,1m,460.00,460.00,460.00,460.00,37,1786701007087-0,md:candles:1m,1786701010481
1786701059999,DELHIVERY,1m,460.00,460.00,460.00,460.00,7669,1786701069627-0,md:candles:1m,1786701071890
1786701119999,DELHIVERY,1m,460.00,460.00,460.00,460.00,2075,1786701126187-0,md:candles:1m,1786701126761
1786701179999,DELHIVERY,1m,460.00,460.00,460.00,460.00,595,1786701186681-0,md:candles:1m,1786701191510
1786701239999,DELHIVERY,1m,460.00,460.00,460.00,460.00,143,1786701246614-0,md:candles:1m,1786701248276
1786701299999,DELHIVERY,1m,460.00,460.00,460.00,460.00,394,1786701323583-0,md:candles:1m,1786701324284
1786701359999,DELHIVERY,1m,460.00,460.00,460.00,460.00,278,1786701368549-0,md:candles:1m,1786701379364
1786701419999,DELHIVERY,1m,460.00,460.00,460.00,460.00,613,1786701434290-0,md:candles:1m,1786701443578
1786701479999,DELHIVERY,1m,460.00,460.00,460.00,460.00,454,1786701506394-0,md:candles:1m,1786701507390
1786701539999,DELHIVERY,1m,460.00,460.00,459.70,459.70,1455297,1786702806635-0,md:candles:1m,1786702808525
1786702859999,DELHIVERY,1m,459.70,459.70,459.70,459.70,749,1786703157628-0,md:candles:1m,1786703163439
1786703159999,DELHIVERY,1m,459.70,459.70,459.70,459.70,25,1786703188967-0,md:candles:1m,1786703195974
1786699799999,DELHIVERY,30m,462.15,462.15,460.80,460.90,53342,1786699869248-0,md:candles:30m,1786699872287
1786701599999,DELHIVERY,30m,460.90,462.15,459.70,459.70,1642649,1786703157632-0,md:candles:30m,1786703161693
1786699199999,DELHIVERY,5m,462.15,462.15,461.05,461.10,5824,1786699265625-0,md:candles:5m,1786699276624
1786699499999,DELHIVERY,5m,461.15,461.75,461.00,461.50,24016,1786699568135-0,md:candles:5m,1786699570970
1786699799999,DELHIVERY,5m,461.50,461.50,460.80,460.90,23502,1786699869245-0,md:candles:5m,1786699880291
1786700099999,DELHIVERY,5m,460.90,461.05,460.20,460.55,53196,1786700166134-0,md:candles:5m,1786700170829
1786700399999,DELHIVERY,5m,460.55,460.60,460.05,460.45,49235,1786700465470-0,md:candles:5m,1786700471362
1786700699999,DELHIVERY,5m,460.35,462.15,460.25,460.45,72663,1786701007091-0,md:candles:5m,1786701013188
1786700999999,DELHIVERY,5m,460.00,460.00,460.00,460.00,37,1786701069628-0,md:candles:5m,1786701080800
1786701299999,DELHIVERY,5m,460.00,460.00,460.00,460.00,10876,1786701368551-0,md:candles:5m,1786701379364
1786701599999,DELHIVERY,5m,460.00,460.00,459.70,459.70,1456642,1786703157631-0,md:candles:5m,1786703163695
1786703099999,DELHIVERY,5m,459.70,459.70,459.70,459.70,749,1786703188969-0,md:candles:5m,1786703196573
