ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,DIVISLAB,10m,8500.00,8509.00,8499.50,8508.50,1867,1786699270606-0,md:candles:10m,1786699276624
1786699799999,DIVISLAB,10m,8509.00,8518.50,8503.50,8514.00,20819,1786699865533-0,md:candles:10m,1786699876284
1786700399999,DIVISLAB,10m,8515.50,8530.00,8508.00,8529.50,24343,1786700471509-0,md:candles:10m,1786700482979
1786700999999,DIVISLAB,10m,8528.50,8530.00,8470.00,8475.00,16724,1786701074699-0,md:candles:10m,1786701080910
1786701599999,DIVISLAB,10m,8475.00,8477.00,8475.00,8477.00,336338,1786702874035-0,md:candles:10m,1786702875014
1786702806000,DIVISLAB,1d,8500.00,8530.00,8470.00,8477.00,400091,1786702811952-0,md:candles:1d,1786702818543
1786698959999,DIVISLAB,1m,8500.00,8500.00,8499.50,8500.00,92,1786698970348-0,md:candles:1m,1786698974630
1786699019999,DIVISLAB,1m,8500.00,8500.00,8499.50,8500.00,241,1786699028153-0,md:candles:1m,1786699028548
1786699079999,DIVISLAB,1m,8500.00,8508.50,8500.00,8508.50,580,1786699087311-0,md:candles:1m,1786699094422
1786699139999,DIVISLAB,1m,8508.00,8509.00,8508.00,8509.00,713,1786699152006-0,md:candles:1m,1786699158101
1786699199999,DIVISLAB,1m,8509.00,8509.00,8508.50,8508.50,241,1786699205612-0,md:candles:1m,1786699208603
1786699259999,DIVISLAB,1m,8509.00,8510.00,8507.00,8507.50,941,1786699270601-0,md:candles:1m,1786699273120
1786699319999,DIVISLAB,1m,8507.00,8509.00,8507.00,8509.00,619,1786699329944-0,md:candles:1m,1786699339124
1786699379999,DIVISLAB,1m,8510.00,8512.00,8510.00,8512.00,658,1786699387498-0,md:candles:1m,1786699391745
1786699439999,DIVISLAB,1m,8512.00,8512.00,8509.00,8510.50,1217,1786699445689-0,md:candles:1m,1786699457822
1786699499999,DIVISLAB,1m,8511.50,8511.50,8508.00,8510.50,525,1786699506894-0,md:candles:1m,1786699511111
1786699559999,DIVISLAB,1m,8511.50,8512.50,8510.00,8512.50,246,1786699566954-0,md:candles:1m,1786699576085
1786699619999,DIVISLAB,1m,8511.50,8513.50,8508.00,8510.00,3469,1786699626820-0,md:candles:1m,1786699627296
1786699679999,DIVISLAB,1m,8510.00,8512.50,8503.50,8511.00,10776,1786699685681-0,md:candles:1m,1786699689702
1786699739999,DIVISLAB,1m,8511.50,8518.50,8511.50,8515.00,891,1786699745776-0,md:candles:1m,1786699754023
1786699799999,DIVISLAB,1m,8516.00,8518.50,8512.00,8514.00,1477,1786699805169-0,md:candles:1m,1786699807941
1786699859999,DIVISLAB,1m,8515.50,8515.50,8508.00,8515.00,1876,1786699865529-0,md:candles:1m,1786699871843
1786699919999,DIVISLAB,1m,8515.00,8516.00,8513.50,8514.50,1013,1786699927483-0,md:candles:1m,1786699936026
