ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,DIXON,10m,14173.00,14178.00,14165.00,14176.00,1858,1786699265406-0,md:candles:10m,1786699265610
1786699799999,DIXON,10m,14172.00,14208.00,14172.00,14182.00,13134,1786699868956-0,md:candles:10m,1786699876284
1786700399999,DIXON,10m,14183.00,14184.00,14170.00,14177.00,12938,1786700465724-0,md:candles:10m,1786700471301
1786700999999,DIXON,10m,14177.00,14177.00,14130.00,14159.00,8789,1786701075634-0,md:candles:10m,1786701080910
1786701599999,DIXON,10m,14159.00,14159.00,14130.00,14130.00,206371,1786702919782-0,md:candles:10m,1786702927372
1786702801000,DIXON,1d,14173.00,14208.00,14130.00,14130.00,243090,1786702806442-0,md:candles:1d,1786702807233
1786698959999,DIXON,1m,14173.00,14178.00,14173.00,14178.00,43,1786698965462-0,md:candles:1m,1786698974630
1786699019999,DIXON,1m,14170.00,14176.00,14170.00,14170.00,298,1786699027871-0,md:candles:1m,1786699028548
1786699079999,DIXON,1m,14168.00,14172.00,14165.00,14170.00,695,1786699085663-0,md:candles:1m,1786699094422
1786699139999,DIXON,1m,14168.00,14172.00,14168.00,14170.00,412,1786699145189-0,md:candles:1m,1786699146984
1786699199999,DIXON,1m,14170.00,14176.00,14165.00,14176.00,410,1786699206356-0,md:candles:1m,1786699208603
1786699259999,DIXON,1m,14172.00,14180.00,14172.00,14179.00,960,1786699265396-0,md:candles:1m,1786699273120
1786699319999,DIXON,1m,14178.00,14184.00,14178.00,14184.00,435,1786699331284-0,md:candles:1m,1786699339124
1786699379999,DIXON,1m,14184.00,14199.00,14180.00,14193.00,1096,1786699387911-0,md:candles:1m,1786699391745
1786699439999,DIXON,1m,14193.00,14208.00,14193.00,14204.00,5329,1786699446480-0,md:candles:1m,1786699457822
1786699499999,DIXON,1m,14203.00,14208.00,14203.00,14205.00,1111,1786699506582-0,md:candles:1m,1786699511111
1786699559999,DIXON,1m,14203.00,14205.00,14201.00,14204.00,1768,1786699568316-0,md:candles:1m,1786699576085
1786699619999,DIXON,1m,14204.00,14204.00,14193.00,14193.00,474,1786699627658-0,md:candles:1m,1786699639246
1786699679999,DIXON,1m,14190.00,14196.00,14186.00,14191.00,658,1786699688795-0,md:candles:1m,1786699689702
1786699739999,DIXON,1m,14191.00,14191.00,14175.00,14184.00,756,1786699748050-0,md:candles:1m,1786699754023
1786699799999,DIXON,1m,14180.00,14189.00,14180.00,14182.00,547,1786699805975-0,md:candles:1m,1786699807941
1786699859999,DIXON,1m,14183.00,14183.00,14175.00,14177.00,1195,1786699868942-0,md:candles:1m,1786699871843
1786699919999,DIXON,1m,14175.00,14180.00,14172.00,14177.00,962,1786699928145-0,md:candles:1m,1786699936026
1786699979999,DIXON,1m,14177.00,14180.00,14177.00,14179.00,423,1786699986652-0,md:candles:1m,1786699989617
1786700039999,DIXON,1m,14179.00,14184.00,14179.00,14179.00,485,1786700047202-0,md:candles:1m,1786700051805
1786700099999,DIXON,1m,14180.00,14180.00,14174.00,14179.00,851,1786700106214-0,md:candles:1m,1786700118244
1786700159999,DIXON,1m,14176.00,14180.00,14174.00,14180.00,2066,1786700165857-0,md:candles:1m,1786700171522
1786700219999,DIXON,1m,14178.00,14179.00,14170.00,14175.00,2388,1786700228637-0,md:candles:1m,1786700233604
1786700279999,DIXON,1m,14177.00,14179.00,14175.00,14177.00,917,1786700290437-0,md:candles:1m,1786700298079
1786700339999,DIXON,1m,14175.00,14180.00,14174.00,14180.00,1512,1786700350636-0,md:candles:1m,1786700351053
1786700399999,DIXON,1m,14172.00,14180.00,14172.00,14177.00,2139,1786700411064-0,md:candles:1m,1786700412580
1786700459999,DIXON,1m,14177.00,14177.00,14165.00,14167.00,1937,1786700465714-0,md:candles:1m,1786700476026
1786700519999,DIXON,1m,14163.00,14170.00,14161.00,14170.00,1088,1786700526900-0,md:candles:1m,1786700529452
1786700579999,DIXON,1m,14169.00,14170.00,14151.00,14162.00,3294,1786700591681-0,md:candles:1m,1786700602905
1786700639999,DIXON,1m,14162.00,14162.00,14150.00,14160.00,1624,1786700647470-0,md:candles:1m,1786700653590
1786700699999,DIXON,1m,14156.00,14160.00,14130.00,14159.00,758,1786700707752-0,md:candles:1m,1786700715149
1786700759999,DIXON,1m,14159.00,14159.00,14159.00,14159.00,88,1786701006791-0,md:candles:1m,1786701010481
1786701059999,DIXON,1m,14159.00,14159.00,14159.00,14159.00,1292,1786701075629-0,md:candles:1m,1786701082805
1786701119999,DIXON,1m,14159.00,14159.00,14159.00,14159.00,61,1786701125870-0,md:candles:1m,1786701126761
1786701179999,DIXON,1m,14159.00,14159.00,14159.00,14159.00,70,1786701186219-0,md:candles:1m,1786701191510
1786701239999,DIXON,1m,14159.00,14159.00,14159.00,14159.00,49,1786701246438-0,md:candles:1m,1786701248276
1786701299999,DIXON,1m,14159.00,14159.00,14159.00,14159.00,291,1786701315193-0,md:candles:1m,1786701324284
1786701359999,DIXON,1m,14159.00,14159.00,14159.00,14159.00,23,1786701368267-0,md:candles:1m,1786701379364
1786701419999,DIXON,1m,14159.00,14159.00,14159.00,14159.00,13,1786701427282-0,md:candles:1m,1786701432770
1786701479999,DIXON,1m,14159.00,14159.00,14159.00,14159.00,106,1786701490274-0,md:candles:1m,1786701496799
1786701539999,DIXON,1m,14159.00,14159.00,14130.00,14130.00,204466,1786702806438-0,md:candles:1m,1786702808525
1786702859999,DIXON,1m,14130.00,14130.00,14130.00,14130.00,45,1786702919776-0,md:candles:1m,1786702927073
1786702919999,DIXON,1m,14130.00,14130.00,14130.00,14130.00,1,1786702937890-0,md:candles:1m,1786702947398
1786702979999,DIXON,1m,14130.00,14130.00,14130.00,14130.00,1,1786703026477-0,md:candles:1m,1786703033286
1786703039999,DIXON,1m,14130.00,14130.00,14130.00,14130.00,1,1786703159435-0,md:candles:1m,1786703163439
1786703159999,DIXON,1m,14130.00,14130.00,14130.00,14130.00,30,1786703193078-0,md:candles:1m,1786703195974
1786703219999,DIXON,1m,14130.00,14130.00,14130.00,14130.00,1,1786703326914-0,md:candles:1m,1786703337598
1786699799999,DIXON,30m,14173.00,14208.00,14165.00,14182.00,14992,1786699868957-0,md:candles:30m,1786699872287
1786701599999,DIXON,30m,14183.00,14184.00,14130.00,14130.00,228098,1786702919784-0,md:candles:30m,1786702927372
1786699199999,DIXON,5m,14173.00,14178.00,14165.00,14176.00,1858,1786699265404-0,md:candles:5m,1786699265610
1786699499999,DIXON,5m,14172.00,14208.00,14172.00,14205.00,8931,1786699568318-0,md:candles:5m,1786699570970
1786699799999,DIXON,5m,14203.00,14205.00,14175.00,14182.00,4203,1786699868955-0,md:candles:5m,1786699880291
1786700099999,DIXON,5m,14183.00,14184.00,14172.00,14179.00,3916,1786700165866-0,md:candles:5m,1786700170829
1786700399999,DIXON,5m,14176.00,14180.00,14170.00,14177.00,9022,1786700465723-0,md:candles:5m,1786700471362
