ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,DLF,10m,666.65,667.15,666.10,666.20,20748,1786699270194-0,md:candles:10m,1786699276624
1786699799999,DLF,10m,666.55,666.95,666.20,666.30,23009,1786699867666-0,md:candles:10m,1786699876284
1786700399999,DLF,10m,666.25,667.35,665.40,665.80,57758,1786700471415-0,md:candles:10m,1786700482979
1786700999999,DLF,10m,665.75,667.20,665.00,665.40,75448,1786701068085-0,md:candles:10m,1786701070102
1786701599999,DLF,10m,665.40,665.40,665.00,665.00,1514532,1786702924292-0,md:candles:10m,1786702927372
1786702800000,DLF,1d,666.65,667.35,665.00,665.00,1691495,1786702805439-0,md:candles:1d,1786702807233
1786698959999,DLF,1m,666.65,667.00,666.65,667.00,10162,1786698965551-0,md:candles:1m,1786698974630
1786699019999,DLF,1m,667.15,667.15,666.50,666.60,2858,1786699026572-0,md:candles:1m,1786699028548
1786699079999,DLF,1m,666.35,666.60,666.30,666.30,6105,1786699087210-0,md:candles:1m,1786699094422
1786699139999,DLF,1m,666.30,666.80,666.30,666.75,668,1786699150626-0,md:candles:1m,1786699158101
1786699199999,DLF,1m,666.45,666.45,666.10,666.20,955,1786699205281-0,md:candles:1m,1786699208603
1786699259999,DLF,1m,666.55,666.55,666.20,666.50,1991,1786699270192-0,md:candles:1m,1786699273120
1786699319999,DLF,1m,666.20,666.85,666.20,666.65,1728,1786699325793-0,md:candles:1m,1786699326703
1786699379999,DLF,1m,666.75,666.95,666.60,666.95,1089,1786699387354-0,md:candles:1m,1786699391745
1786699439999,DLF,1m,666.95,666.95,666.55,666.85,2650,1786699445394-0,md:candles:1m,1786699445600
1786699499999,DLF,1m,666.85,666.85,666.60,666.80,1011,1786699511208-0,md:candles:1m,1786699523104
1786699559999,DLF,1m,666.80,666.80,666.30,666.30,3003,1786699566927-0,md:candles:1m,1786699576085
1786699619999,DLF,1m,666.50,666.65,666.40,666.40,3303,1786699626423-0,md:candles:1m,1786699627296
1786699679999,DLF,1m,666.40,666.60,666.40,666.50,1640,1786699687671-0,md:candles:1m,1786699689702
1786699739999,DLF,1m,666.50,666.60,666.30,666.35,2377,1786699746996-0,md:candles:1m,1786699754023
1786699799999,DLF,1m,666.45,666.80,666.20,666.30,4217,1786699808096-0,md:candles:1m,1786699821286
1786699859999,DLF,1m,666.25,666.75,666.25,666.65,6203,1786699867652-0,md:candles:1m,1786699871843
1786699919999,DLF,1m,666.75,666.85,666.25,666.55,2794,1786699927280-0,md:candles:1m,1786699936026
1786699979999,DLF,1m,666.55,666.85,666.50,666.75,6910,1786699985565-0,md:candles:1m,1786699989617
1786700039999,DLF,1m,666.80,667.35,666.80,667.10,3319,1786700045807-0,md:candles:1m,1786700051805
1786700099999,DLF,1m,667.10,667.15,666.80,666.90,1188,1786700108731-0,md:candles:1m,1786700118244
1786700159999,DLF,1m,666.90,666.90,666.10,666.20,8320,1786700171525-0,md:candles:1m,1786700182927
1786700219999,DLF,1m,666.30,666.30,666.00,666.25,9051,1786700227321-0,md:candles:1m,1786700233604
1786700279999,DLF,1m,666.25,666.25,665.55,665.60,6996,1786700289355-0,md:candles:1m,1786700298079
1786700339999,DLF,1m,665.60,665.85,665.40,665.85,6617,1786700349161-0,md:candles:1m,1786700351053
1786700399999,DLF,1m,665.80,665.85,665.60,665.80,6360,1786700407396-0,md:candles:1m,1786700412580
1786700459999,DLF,1m,665.75,665.95,665.40,665.65,12804,1786700471404-0,md:candles:1m,1786700476026
1786700519999,DLF,1m,665.60,666.50,665.60,666.40,14805,1786700525690-0,md:candles:1m,1786700529452
1786700579999,DLF,1m,666.50,667.00,666.25,666.55,29885,1786700588599-0,md:candles:1m,1786700591306
1786700639999,DLF,1m,667.15,667.20,666.25,666.65,4928,1786700645618-0,md:candles:1m,1786700653590
1786700699999,DLF,1m,666.65,666.65,665.00,665.40,12424,1786700706762-0,md:candles:1m,1786700715149
1786700759999,DLF,1m,665.40,665.40,665.40,665.40,602,1786701005479-0,md:candles:1m,1786701010481
1786701059999,DLF,1m,665.40,665.40,665.40,665.40,1935,1786701068082-0,md:candles:1m,1786701071890
1786701119999,DLF,1m,665.40,665.40,665.40,665.40,461,1786701142994-0,md:candles:1m,1786701149293
1786701179999,DLF,1m,665.40,665.40,665.40,665.40,852,1786701191116-0,md:candles:1m,1786701191510
1786701239999,DLF,1m,665.40,665.40,665.40,665.40,23,1786701245220-0,md:candles:1m,1786701248276
1786701299999,DLF,1m,665.40,665.40,665.40,665.40,568,1786701321982-0,md:candles:1m,1786701324284
1786701359999,DLF,1m,665.40,665.40,665.40,665.40,350,1786701367049-0,md:candles:1m,1786701367943
1786701419999,DLF,1m,665.40,665.40,665.40,665.40,100,1786701425971-0,md:candles:1m,1786701432770
1786701479999,DLF,1m,665.40,665.40,665.40,665.40,2267,1786701488960-0,md:candles:1m,1786701496799
1786701539999,DLF,1m,665.40,665.40,665.00,665.00,1507976,1786702805437-0,md:candles:1m,1786702808525
1786702859999,DLF,1m,665.00,665.00,665.00,665.00,279,1786702924286-0,md:candles:1m,1786702927073
1786702919999,DLF,1m,665.00,665.00,665.00,665.00,1,1786702958007-0,md:candles:1m,1786702968812
1786702979999,DLF,1m,665.00,665.00,665.00,665.00,1,1786703143118-0,md:candles:1m,1786703153316
1786703159999,DLF,1m,665.00,665.00,665.00,665.00,29,1786703302490-0,md:candles:1m,1786703302579
1786699799999,DLF,30m,666.65,667.15,666.10,666.30,43757,1786699867667-0,md:candles:30m,1786699872287
1786701599999,DLF,30m,666.25,667.35,665.00,665.00,1647738,1786702924296-0,md:candles:30m,1786702927372
1786699199999,DLF,5m,666.65,667.15,666.10,666.20,20748,1786699270193-0,md:candles:5m,1786699276624
1786699499999,DLF,5m,666.55,666.95,666.20,666.80,8469,1786699566935-0,md:candles:5m,1786699570970
1786699799999,DLF,5m,666.80,666.80,666.20,666.30,14540,1786699867666-0,md:candles:5m,1786699868444
1786700099999,DLF,5m,666.25,667.35,666.25,666.90,20414,1786700171528-0,md:candles:5m,1786700182927
1786700399999,DLF,5m,666.90,666.90,665.40,665.80,37344,1786700471412-0,md:candles:5m,1786700482979
1786700699999,DLF,5m,665.75,667.20,665.00,665.40,74846,1786701005481-0,md:candles:5m,1786701013188
1786700999999,DLF,5m,665.40,665.40,665.40,665.40,602,1786701068084-0,md:candles:5m,1786701068420
1786701299999,DLF,5m,665.40,665.40,665.40,665.40,3839,1786701367053-0,md:candles:5m,1786701367545
1786701599999,DLF,5m,665.40,665.40,665.00,665.00,1510693,1786702924290-0,md:candles:5m,1786702927372
1786703099999,DLF,5m,665.00,665.00,665.00,665.00,281,1786703302494-0,md:candles:5m,1786703306386
