ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,DMART,10m,4062.00,4064.90,4058.70,4064.00,2765,1786699267651-0,md:candles:10m,1786699276624
1786699799999,DMART,10m,4064.00,4066.10,4062.10,4063.30,7526,1786699866115-0,md:candles:10m,1786699876284
1786700399999,DMART,10m,4062.20,4063.20,4057.80,4060.10,25177,1786700465438-0,md:candles:10m,1786700471301
1786700999999,DMART,10m,4056.40,4063.00,4051.10,4052.50,33504,1786701068990-0,md:candles:10m,1786701070102
1786701599999,DMART,10m,4052.50,4060.00,4052.50,4060.00,357756,1786703071253-0,md:candles:10m,1786703079948
1786702807000,DMART,1d,4062.00,4066.10,4051.10,4060.00,426728,1786702812538-0,md:candles:1d,1786702818543
1786698959999,DMART,1m,4062.00,4063.10,4062.00,4063.00,391,1786698966056-0,md:candles:1m,1786698974630
1786699019999,DMART,1m,4063.00,4063.00,4060.00,4060.00,474,1786699025491-0,md:candles:1m,1786699028548
1786699079999,DMART,1m,4059.60,4061.00,4058.70,4061.00,503,1786699085590-0,md:candles:1m,1786699094422
1786699139999,DMART,1m,4061.10,4064.10,4061.10,4063.70,675,1786699145596-0,md:candles:1m,1786699146984
1786699199999,DMART,1m,4063.00,4064.90,4062.30,4064.00,722,1786699205992-0,md:candles:1m,1786699208603
1786699259999,DMART,1m,4064.00,4065.00,4063.20,4064.40,565,1786699267647-0,md:candles:1m,1786699273120
1786699319999,DMART,1m,4064.10,4064.20,4063.00,4063.00,557,1786699326753-0,md:candles:1m,1786699339124
1786699379999,DMART,1m,4062.60,4063.10,4062.10,4063.10,637,1786699385481-0,md:candles:1m,1786699391745
1786699439999,DMART,1m,4062.80,4063.30,4062.80,4063.20,353,1786699446178-0,md:candles:1m,1786699457822
1786699499999,DMART,1m,4063.20,4063.80,4062.70,4063.50,592,1786699508061-0,md:candles:1m,1786699511111
1786699559999,DMART,1m,4065.50,4066.00,4064.40,4064.70,1728,1786699568078-0,md:candles:1m,1786699576085
1786699619999,DMART,1m,4065.30,4066.10,4064.30,4064.30,581,1786699625951-0,md:candles:1m,1786699627296
1786699679999,DMART,1m,4064.70,4065.20,4063.30,4063.50,343,1786699685794-0,md:candles:1m,1786699689702
1786699739999,DMART,1m,4063.40,4065.00,4063.30,4064.40,1265,1786699745898-0,md:candles:1m,1786699754023
1786699799999,DMART,1m,4063.40,4065.00,4063.00,4063.30,905,1786699805839-0,md:candles:1m,1786699807941
1786699859999,DMART,1m,4062.20,4062.50,4057.80,4062.30,6531,1786699866071-0,md:candles:1m,1786699871843
