ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,DRREDDY,10m,1197.90,1198.40,1197.20,1198.00,50164,1786699266793-0,md:candles:10m,1786699276624
1786699799999,DRREDDY,10m,1198.10,1200.90,1197.60,1200.80,172161,1786699866088-0,md:candles:10m,1786699876284
1786700399999,DRREDDY,10m,1201.10,1201.50,1199.40,1200.00,116393,1786700471534-0,md:candles:10m,1786700482979
1786700999999,DRREDDY,10m,1200.10,1202.60,1199.90,1202.60,62061,1786701068497-0,md:candles:10m,1786701070102
1786701599999,DRREDDY,10m,1202.60,1202.60,1200.00,1200.00,2109968,1786702946800-0,md:candles:10m,1786702948799
1786702806000,DRREDDY,1d,1197.90,1202.60,1197.20,1200.00,2510747,1786702812045-0,md:candles:1d,1786702818543
1786698959999,DRREDDY,1m,1197.90,1198.10,1197.20,1198.10,7081,1786698965895-0,md:candles:1m,1786698974630
1786699019999,DRREDDY,1m,1198.00,1198.20,1197.40,1198.00,15631,1786699026111-0,md:candles:1m,1786699028548
1786699079999,DRREDDY,1m,1198.00,1198.40,1197.40,1198.00,13791,1786699085900-0,md:candles:1m,1786699094422
1786699139999,DRREDDY,1m,1198.00,1198.30,1197.80,1198.10,7896,1786699146713-0,md:candles:1m,1786699146984
1786699199999,DRREDDY,1m,1198.30,1198.30,1197.70,1198.00,5765,1786699205721-0,md:candles:1m,1786699208603
1786699259999,DRREDDY,1m,1198.10,1198.50,1197.80,1198.30,8125,1786699266754-0,md:candles:1m,1786699273120
1786699319999,DRREDDY,1m,1197.80,1198.50,1197.60,1198.50,5634,1786699325364-0,md:candles:1m,1786699326703
1786699379999,DRREDDY,1m,1198.30,1198.50,1197.60,1198.00,8466,1786699385799-0,md:candles:1m,1786699391745
1786699439999,DRREDDY,1m,1198.20,1198.20,1197.80,1198.00,4493,1786699445850-0,md:candles:1m,1786699457822
1786699499999,DRREDDY,1m,1198.10,1198.50,1197.70,1198.10,23065,1786699506912-0,md:candles:1m,1786699511111
1786699559999,DRREDDY,1m,1199.20,1200.00,1197.60,1197.90,45319,1786699565932-0,md:candles:1m,1786699576085
1786699619999,DRREDDY,1m,1197.90,1200.10,1197.90,1200.00,40768,1786699625908-0,md:candles:1m,1786699627296
1786699679999,DRREDDY,1m,1200.20,1200.30,1199.30,1200.00,18522,1786699685799-0,md:candles:1m,1786699689702
1786699739999,DRREDDY,1m,1200.10,1200.80,1200.00,1200.10,10817,1786699745908-0,md:candles:1m,1786699754023
1786699799999,DRREDDY,1m,1200.40,1200.90,1200.00,1200.80,6952,1786699805548-0,md:candles:1m,1786699807941
1786699859999,DRREDDY,1m,1201.10,1201.50,1200.70,1200.90,23397,1786699866056-0,md:candles:1m,1786699871843
1786699919999,DRREDDY,1m,1201.00,1201.20,1200.20,1200.40,6656,1786699926105-0,md:candles:1m,1786699936026
1786699979999,DRREDDY,1m,1200.70,1200.80,1200.00,1200.00,5529,1786699986142-0,md:candles:1m,1786699989617
1786700039999,DRREDDY,1m,1200.60,1200.60,1199.40,1200.20,11785,1786700045202-0,md:candles:1m,1786700051805
1786700099999,DRREDDY,1m,1200.20,1200.30,1199.50,1200.10,9599,1786700109110-0,md:candles:1m,1786700118244
1786700159999,DRREDDY,1m,1200.10,1201.00,1200.10,1200.30,9577,1786700168190-0,md:candles:1m,1786700171522
1786700219999,DRREDDY,1m,1200.20,1200.50,1200.00,1200.20,17238,1786700227711-0,md:candles:1m,1786700233604
1786700279999,DRREDDY,1m,1200.10,1200.30,1199.90,1200.20,15193,1786700285237-0,md:candles:1m,1786700286220
1786700339999,DRREDDY,1m,1200.10,1200.50,1200.00,1200.50,13098,1786700349640-0,md:candles:1m,1786700351053
1786700399999,DRREDDY,1m,1200.10,1200.50,1200.00,1200.00,4321,1786700410418-0,md:candles:1m,1786700412580
1786700459999,DRREDDY,1m,1200.10,1200.60,1200.00,1200.00,12118,1786700471475-0,md:candles:1m,1786700476026
1786700519999,DRREDDY,1m,1200.10,1200.10,1200.00,1200.10,6018,1786700526184-0,md:candles:1m,1786700529452
1786700579999,DRREDDY,1m,1200.00,1201.00,1200.00,1200.40,14674,1786700589582-0,md:candles:1m,1786700591306
1786700639999,DRREDDY,1m,1200.20,1200.40,1199.90,1200.10,7961,1786700646463-0,md:candles:1m,1786700653590
1786700699999,DRREDDY,1m,1200.20,1200.70,1200.00,1200.60,20222,1786700707079-0,md:candles:1m,1786700715149
1786700759999,DRREDDY,1m,1202.60,1202.60,1202.60,1202.60,1068,1786701005892-0,md:candles:1m,1786701010481
1786701059999,DRREDDY,1m,1202.60,1202.60,1202.60,1202.60,4551,1786701068490-0,md:candles:1m,1786701071890
1786701119999,DRREDDY,1m,1202.60,1202.60,1202.60,1202.60,9491,1786701137425-0,md:candles:1m,1786701149293
1786701179999,DRREDDY,1m,1202.60,1202.60,1202.60,1202.60,681,1786701185508-0,md:candles:1m,1786701191510
1786701239999,DRREDDY,1m,1202.60,1202.60,1202.60,1202.60,4917,1786701245734-0,md:candles:1m,1786701248276
1786701299999,DRREDDY,1m,1202.60,1202.60,1202.60,1202.60,9219,1786701307781-0,md:candles:1m,1786701313567
1786701359999,DRREDDY,1m,1202.60,1202.60,1202.60,1202.60,3930,1786701373968-0,md:candles:1m,1786701379364
1786701419999,DRREDDY,1m,1202.60,1202.60,1202.60,1202.60,7605,1786701426468-0,md:candles:1m,1786701432770
1786701479999,DRREDDY,1m,1202.60,1202.60,1202.60,1202.60,45802,1786701489465-0,md:candles:1m,1786701496799
1786701539999,DRREDDY,1m,1202.60,1202.60,1200.00,1200.00,2023772,1786702812044-0,md:candles:1m,1786702820532
1786702859999,DRREDDY,1m,1200.00,1200.00,1200.00,1200.00,2,1786702946797-0,md:candles:1m,1786702947398
1786702979999,DRREDDY,1m,1200.00,1200.00,1200.00,1200.00,33,1786703010352-0,md:candles:1m,1786703011147
1786699799999,DRREDDY,30m,1197.90,1200.90,1197.20,1200.80,222325,1786699866089-0,md:candles:30m,1786699872287
1786701599999,DRREDDY,30m,1201.10,1202.60,1199.40,1200.00,2288422,1786702946801-0,md:candles:30m,1786702948799
1786699199999,DRREDDY,5m,1197.90,1198.40,1197.20,1198.00,50164,1786699266791-0,md:candles:5m,1786699276624
1786699499999,DRREDDY,5m,1198.10,1198.50,1197.60,1198.10,49783,1786699565934-0,md:candles:5m,1786699570970
1786699799999,DRREDDY,5m,1199.20,1200.90,1197.60,1200.80,122378,1786699866086-0,md:candles:5m,1786699868444
1786700099999,DRREDDY,5m,1201.10,1201.50,1199.40,1200.10,56966,1786700168195-0,md:candles:5m,1786700170829
1786700399999,DRREDDY,5m,1200.10,1201.00,1199.90,1200.00,59427,1786700471531-0,md:candles:5m,1786700482979
1786700699999,DRREDDY,5m,1200.10,1201.00,1199.90,1200.60,60993,1786701005896-0,md:candles:5m,1786701013188
1786700999999,DRREDDY,5m,1202.60,1202.60,1202.60,1202.60,1068,1786701068495-0,md:candles:5m,1786701080800
1786701299999,DRREDDY,5m,1202.60,1202.60,1202.60,1202.60,28859,1786701373970-0,md:candles:5m,1786701379364
1786701599999,DRREDDY,5m,1202.60,1202.60,1200.00,1200.00,2081109,1786702946799-0,md:candles:5m,1786702948799
