ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,EICHERMOT,10m,8122.50,8131.00,8122.50,8129.50,1600,1786699271121-0,md:candles:10m,1786699276624
1786699799999,EICHERMOT,10m,8129.50,8136.50,8129.00,8134.00,21842,1786699868867-0,md:candles:10m,1786699876284
1786700399999,EICHERMOT,10m,8133.50,8136.50,8116.50,8117.50,28640,1786700465554-0,md:candles:10m,1786700471301
1786700999999,EICHERMOT,10m,8119.50,8125.00,8100.00,8100.00,8787,1786701068996-0,md:candles:10m,1786701070102
1786701599999,EICHERMOT,10m,8100.00,8100.00,8066.50,8066.50,295578,1786702866122-0,md:candles:10m,1786702875014
1786702800000,EICHERMOT,1d,8122.50,8136.50,8066.50,8066.50,356447,1786702806130-0,md:candles:1d,1786702807233
1786698959999,EICHERMOT,1m,8122.50,8126.00,8122.50,8126.00,30,1786698966951-0,md:candles:1m,1786698974630
1786699019999,EICHERMOT,1m,8126.00,8126.00,8123.00,8125.00,66,1786699027837-0,md:candles:1m,1786699028548
1786699079999,EICHERMOT,1m,8126.00,8128.00,8125.00,8128.00,421,1786699087638-0,md:candles:1m,1786699094422
1786699139999,EICHERMOT,1m,8128.00,8131.00,8128.00,8130.00,660,1786699147868-0,md:candles:1m,1786699158101
1786699199999,EICHERMOT,1m,8131.00,8131.00,8129.00,8129.50,423,1786699206093-0,md:candles:1m,1786699208603
1786699259999,EICHERMOT,1m,8129.50,8129.50,8129.00,8129.00,83,1786699271116-0,md:candles:1m,1786699273120
1786699319999,EICHERMOT,1m,8129.50,8136.00,8129.00,8133.00,8924,1786699330888-0,md:candles:1m,1786699339124
1786699379999,EICHERMOT,1m,8133.00,8133.50,8131.00,8132.00,484,1786699385806-0,md:candles:1m,1786699391745
1786699439999,EICHERMOT,1m,8132.50,8132.50,8130.50,8132.00,223,1786699446282-0,md:candles:1m,1786699457822
1786699499999,EICHERMOT,1m,8132.00,8134.00,8131.50,8132.50,2392,1786699508063-0,md:candles:1m,1786699511111
1786699559999,EICHERMOT,1m,8134.00,8134.50,8132.50,8132.50,555,1786699568170-0,md:candles:1m,1786699576085
1786699619999,EICHERMOT,1m,8132.50,8136.50,8132.00,8132.50,3328,1786699627404-0,md:candles:1m,1786699639246
1786699679999,EICHERMOT,1m,8133.00,8136.50,8132.50,8133.50,3357,1786699687944-0,md:candles:1m,1786699689702
1786699739999,EICHERMOT,1m,8134.50,8135.50,8133.00,8134.00,1672,1786699748003-0,md:candles:1m,1786699754023
1786699799999,EICHERMOT,1m,8136.50,8136.50,8133.00,8134.00,824,1786699805763-0,md:candles:1m,1786699807941
1786699859999,EICHERMOT,1m,8133.50,8135.00,8132.00,8133.50,3899,1786699868863-0,md:candles:1m,1786699871843
1786699919999,EICHERMOT,1m,8134.00,8136.50,8125.00,8125.00,8921,1786699925519-0,md:candles:1m,1786699936026
1786699979999,EICHERMOT,1m,8127.50,8130.00,8125.50,8127.50,3925,1786699985312-0,md:candles:1m,1786699989617
1786700039999,EICHERMOT,1m,8127.50,8127.50,8125.50,8125.50,561,1786700046803-0,md:candles:1m,1786700051805
1786700099999,EICHERMOT,1m,8126.00,8135.50,8125.00,8135.00,4608,1786700109607-0,md:candles:1m,1786700118244
1786700159999,EICHERMOT,1m,8133.00,8135.00,8123.50,8124.50,2311,1786700165299-0,md:candles:1m,1786700171522
1786700219999,EICHERMOT,1m,8124.00,8125.00,8117.50,8119.00,1191,1786700228551-0,md:candles:1m,1786700233604
1786700279999,EICHERMOT,1m,8119.00,8120.00,8117.50,8119.50,674,1786700290233-0,md:candles:1m,1786700298079
1786700339999,EICHERMOT,1m,8119.50,8121.50,8119.00,8120.50,1768,1786700350460-0,md:candles:1m,1786700351053
1786700399999,EICHERMOT,1m,8120.00,8120.50,8116.50,8117.50,782,1786700409365-0,md:candles:1m,1786700412580
1786700459999,EICHERMOT,1m,8119.50,8121.50,8119.00,8121.50,2178,1786700465543-0,md:candles:1m,1786700476026
1786700519999,EICHERMOT,1m,8120.50,8123.00,8119.00,8121.00,1427,1786700526682-0,md:candles:1m,1786700529452
1786700579999,EICHERMOT,1m,8120.00,8125.00,8119.00,8119.00,2485,1786700591506-0,md:candles:1m,1786700602905
1786700639999,EICHERMOT,1m,8120.00,8121.00,8117.50,8117.50,1717,1786700651310-0,md:candles:1m,1786700653590
1786700699999,EICHERMOT,1m,8117.50,8117.50,8100.00,8101.00,966,1786700707545-0,md:candles:1m,1786700715149
1786700759999,EICHERMOT,1m,8100.00,8100.00,8100.00,8100.00,14,1786701006697-0,md:candles:1m,1786701010481
1786701059999,EICHERMOT,1m,8100.00,8100.00,8100.00,8100.00,6058,1786701068988-0,md:candles:1m,1786701071890
1786701119999,EICHERMOT,1m,8100.00,8100.00,8100.00,8100.00,181,1786701137887-0,md:candles:1m,1786701149293
1786701179999,EICHERMOT,1m,8100.00,8100.00,8100.00,8100.00,134,1786701192008-0,md:candles:1m,1786701203615
1786701239999,EICHERMOT,1m,8100.00,8100.00,8100.00,8100.00,11,1786701246180-0,md:candles:1m,1786701248276
1786701299999,EICHERMOT,1m,8100.00,8100.00,8100.00,8100.00,112,1786701460115-0,md:candles:1m,1786701464730
1786701479999,EICHERMOT,1m,8100.00,8100.00,8100.00,8100.00,2,1786701518817-0,md:candles:1m,1786701529772
1786701539999,EICHERMOT,1m,8066.50,8066.50,8066.50,8066.50,289080,1786702806128-0,md:candles:1m,1786702808525
1786702859999,EICHERMOT,1m,8066.50,8066.50,8066.50,8066.50,11,1786702866117-0,md:candles:1m,1786702874006
1786699799999,EICHERMOT,30m,8122.50,8136.50,8122.50,8134.00,23442,1786699868869-0,md:candles:30m,1786699872287
1786701599999,EICHERMOT,30m,8133.50,8136.50,8066.50,8066.50,333005,1786702866123-0,md:candles:30m,1786702871507
1786699199999,EICHERMOT,5m,8122.50,8131.00,8122.50,8129.50,1600,1786699271119-0,md:candles:5m,1786699276624
1786699499999,EICHERMOT,5m,8129.50,8136.00,8129.00,8132.50,12106,1786699568173-0,md:candles:5m,1786699570970
1786699799999,EICHERMOT,5m,8134.00,8136.50,8132.00,8134.00,9736,1786699868865-0,md:candles:5m,1786699880291
1786700099999,EICHERMOT,5m,8133.50,8136.50,8125.00,8135.00,21914,1786700165301-0,md:candles:5m,1786700170829
1786700399999,EICHERMOT,5m,8133.00,8135.00,8116.50,8117.50,6726,1786700465551-0,md:candles:5m,1786700471362
1786700699999,EICHERMOT,5m,8119.50,8125.00,8100.00,8101.00,8773,1786701006701-0,md:candles:5m,1786701013188
1786700999999,EICHERMOT,5m,8100.00,8100.00,8100.00,8100.00,14,1786701068994-0,md:candles:5m,1786701080800
1786701299999,EICHERMOT,5m,8100.00,8100.00,8100.00,8100.00,6496,1786701518818-0,md:candles:5m,1786701520821
1786701599999,EICHERMOT,5m,8100.00,8100.00,8066.50,8066.50,289082,1786702866119-0,md:candles:5m,1786702874028
