ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,ETERNAL,10m,320.55,320.60,319.85,319.85,294165,1786699270678-0,md:candles:10m,1786699276624
1786699799999,ETERNAL,10m,319.90,320.70,319.45,319.45,945492,1786699868189-0,md:candles:10m,1786699876284
1786700399999,ETERNAL,10m,319.45,319.55,319.00,319.30,975127,1786700471569-0,md:candles:10m,1786700482979
1786700999999,ETERNAL,10m,319.40,320.00,318.60,318.70,591526,1786701068507-0,md:candles:10m,1786701070102
1786701599999,ETERNAL,10m,318.70,318.70,318.50,318.50,29946949,1786702865504-0,md:candles:10m,1786702875014
1786702807000,ETERNAL,1d,320.55,320.70,318.50,318.50,32753259,1786702812141-0,md:candles:1d,1786702818543
1786698959999,ETERNAL,1m,320.55,320.60,320.10,320.10,46004,1786698965608-0,md:candles:1m,1786698974630
1786699019999,ETERNAL,1m,320.25,320.40,320.05,320.10,95531,1786699025219-0,md:candles:1m,1786699028548
1786699079999,ETERNAL,1m,320.10,320.20,319.95,319.95,42000,1786699085640-0,md:candles:1m,1786699094422
1786699139999,ETERNAL,1m,320.00,320.00,319.95,320.00,25759,1786699146716-0,md:candles:1m,1786699146984
1786699199999,ETERNAL,1m,319.95,320.00,319.85,319.85,84871,1786699205731-0,md:candles:1m,1786699208603
1786699259999,ETERNAL,1m,319.90,319.95,319.85,319.90,18658,1786699270669-0,md:candles:1m,1786699273120
1786699319999,ETERNAL,1m,319.90,320.70,319.90,320.45,476643,1786699329965-0,md:candles:1m,1786699339124
1786699379999,ETERNAL,1m,320.30,320.45,320.10,320.10,116106,1786699385301-0,md:candles:1m,1786699391745
1786699439999,ETERNAL,1m,320.20,320.30,319.95,320.15,109175,1786699445164-0,md:candles:1m,1786699445600
1786699499999,ETERNAL,1m,320.00,320.15,319.85,319.95,30665,1786699506126-0,md:candles:1m,1786699511111
1786699559999,ETERNAL,1m,319.95,319.95,319.90,319.90,19975,1786699567567-0,md:candles:1m,1786699576085
1786699619999,ETERNAL,1m,319.90,319.95,319.75,319.75,40404,1786699626965-0,md:candles:1m,1786699627296
1786699679999,ETERNAL,1m,319.75,319.80,319.60,319.60,56945,1786699687004-0,md:candles:1m,1786699689702
1786699739999,ETERNAL,1m,319.70,319.80,319.50,319.55,46586,1786699747048-0,md:candles:1m,1786699754023
1786699799999,ETERNAL,1m,319.50,319.60,319.45,319.45,30335,1786699805275-0,md:candles:1m,1786699807941
1786699859999,ETERNAL,1m,319.45,319.50,319.40,319.45,58691,1786699868170-0,md:candles:1m,1786699871843
1786699919999,ETERNAL,1m,319.45,319.55,319.35,319.40,103954,1786699927568-0,md:candles:1m,1786699936026
1786699979999,ETERNAL,1m,319.40,319.50,319.40,319.45,29682,1786699986096-0,md:candles:1m,1786699989617
1786700039999,ETERNAL,1m,319.50,319.50,319.45,319.50,41295,1786700046314-0,md:candles:1m,1786700051805
1786700099999,ETERNAL,1m,319.45,319.50,319.45,319.45,72351,1786700109125-0,md:candles:1m,1786700118244
1786700159999,ETERNAL,1m,319.45,319.50,319.40,319.45,116973,1786700168199-0,md:candles:1m,1786700171522
1786700219999,ETERNAL,1m,319.40,319.40,319.00,319.15,272435,1786700227776-0,md:candles:1m,1786700233604
1786700279999,ETERNAL,1m,319.15,319.30,319.10,319.15,72846,1786700285159-0,md:candles:1m,1786700286220
1786700339999,ETERNAL,1m,319.30,319.45,319.25,319.30,76717,1786700349654-0,md:candles:1m,1786700351053
1786700399999,ETERNAL,1m,319.35,319.40,319.15,319.30,130183,1786700405366-0,md:candles:1m,1786700412580
1786700459999,ETERNAL,1m,319.40,319.40,319.20,319.40,105599,1786700471492-0,md:candles:1m,1786700476026
1786700519999,ETERNAL,1m,319.35,319.60,319.35,319.45,94195,1786700526196-0,md:candles:1m,1786700529452
1786700579999,ETERNAL,1m,319.50,320.00,319.00,319.20,288607,1786700589596-0,md:candles:1m,1786700591306
1786700639999,ETERNAL,1m,319.50,319.80,319.45,319.50,69352,1786700645450-0,md:candles:1m,1786700653590
1786700699999,ETERNAL,1m,319.55,319.60,318.60,318.70,32820,1786700707156-0,md:candles:1m,1786700715149
1786700759999,ETERNAL,1m,318.70,318.70,318.70,318.70,953,1786701005992-0,md:candles:1m,1786701010481
1786701059999,ETERNAL,1m,318.70,318.70,318.70,318.70,21461,1786701068496-0,md:candles:1m,1786701071890
1786701119999,ETERNAL,1m,318.70,318.70,318.70,318.70,3514,1786701125273-0,md:candles:1m,1786701126761
1786701179999,ETERNAL,1m,318.70,318.70,318.70,318.70,11904,1786701185523-0,md:candles:1m,1786701191510
1786701239999,ETERNAL,1m,318.70,318.70,318.70,318.70,2195,1786701245743-0,md:candles:1m,1786701248276
1786701299999,ETERNAL,1m,318.70,318.70,318.70,318.70,3396,1786701307788-0,md:candles:1m,1786701313567
1786701359999,ETERNAL,1m,318.70,318.70,318.70,318.70,862,1786701367548-0,md:candles:1m,1786701367943
1786701419999,ETERNAL,1m,318.70,318.70,318.70,318.70,500,1786701426477-0,md:candles:1m,1786701432770
1786701479999,ETERNAL,1m,318.70,318.70,318.70,318.70,11311,1786701489470-0,md:candles:1m,1786701496799
1786701539999,ETERNAL,1m,318.70,318.70,318.50,318.50,29891806,1786702812139-0,md:candles:1m,1786702820532
1786702859999,ETERNAL,1m,318.50,318.50,318.50,318.50,1335,1786702865499-0,md:candles:1m,1786702874006
1786702919999,ETERNAL,1m,318.50,318.50,318.50,318.50,293,1786702950803-0,md:candles:1m,1786702957910
1786702979999,ETERNAL,1m,318.50,318.50,318.50,318.50,129,1786702988541-0,md:candles:1m,1786702990427
1786703039999,ETERNAL,1m,318.50,318.50,318.50,318.50,279,1786703045506-0,md:candles:1m,1786703055708
1786703099999,ETERNAL,1m,318.50,318.50,318.50,318.50,131,1786703105178-0,md:candles:1m,1786703108172
1786703159999,ETERNAL,1m,318.50,318.50,318.50,318.50,6,1786703229104-0,md:candles:1m,1786703239900
1786699799999,ETERNAL,30m,320.55,320.70,319.45,319.45,1239657,1786699868190-0,md:candles:30m,1786699872287
1786701599999,ETERNAL,30m,319.45,320.00,318.50,318.50,31513602,1786702865506-0,md:candles:30m,1786702871507
1786699199999,ETERNAL,5m,320.55,320.60,319.85,319.85,294165,1786699270676-0,md:candles:5m,1786699276624
1786699499999,ETERNAL,5m,319.90,320.70,319.85,319.95,751247,1786699567573-0,md:candles:5m,1786699570970
1786699799999,ETERNAL,5m,319.95,319.95,319.45,319.45,194245,1786699868188-0,md:candles:5m,1786699868444
1786700099999,ETERNAL,5m,319.45,319.55,319.35,319.45,305973,1786700168208-0,md:candles:5m,1786700170829
1786700399999,ETERNAL,5m,319.45,319.50,319.00,319.30,669154,1786700471564-0,md:candles:5m,1786700482979
1786700699999,ETERNAL,5m,319.40,320.00,318.60,318.70,590573,1786701005996-0,md:candles:5m,1786701013188
1786700999999,ETERNAL,5m,318.70,318.70,318.70,318.70,953,1786701068506-0,md:candles:5m,1786701080800
1786701299999,ETERNAL,5m,318.70,318.70,318.70,318.70,42470,1786701367556-0,md:candles:5m,1786701379364
1786701599999,ETERNAL,5m,318.70,318.70,318.50,318.50,29904479,1786702865503-0,md:candles:5m,1786702874028
1786703099999,ETERNAL,5m,318.50,318.50,318.50,318.50,2167,1786703229108-0,md:candles:5m,1786703229106
