ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,EXIDEIND,10m,477.05,477.40,476.75,476.90,7775,1786699265428-0,md:candles:10m,1786699265610
1786699799999,EXIDEIND,10m,476.70,477.00,476.25,476.70,31633,1786699868985-0,md:candles:10m,1786699876284
1786700399999,EXIDEIND,10m,476.40,477.15,476.05,476.40,73519,1786700465817-0,md:candles:10m,1786700471301
1786700999999,EXIDEIND,10m,476.15,476.65,476.00,476.50,59313,1786701068567-0,md:candles:10m,1786701070102
1786701599999,EXIDEIND,10m,476.35,476.50,475.20,475.80,66353,1786701700699-0,md:candles:10m,1786701708808
1786702199999,EXIDEIND,10m,475.80,476.10,475.80,476.10,99,1786702875413-0,md:candles:10m,1786702885431
1786701600000,EXIDEIND,1d,477.05,477.40,475.20,475.80,238593,1786701605441-0,md:candles:1d,1786701605651
1786698959999,EXIDEIND,1m,477.05,477.40,477.05,477.40,1159,1786698965624-0,md:candles:1m,1786698974630
1786699019999,EXIDEIND,1m,477.40,477.40,476.80,477.20,1892,1786699028940-0,md:candles:1m,1786699041361
1786699079999,EXIDEIND,1m,477.20,477.20,477.00,477.15,1456,1786699087909-0,md:candles:1m,1786699094422
1786699139999,EXIDEIND,1m,477.15,477.15,476.80,476.85,1698,1786699145303-0,md:candles:1m,1786699146984
1786699199999,EXIDEIND,1m,476.85,477.00,476.75,476.90,1570,1786699206371-0,md:candles:1m,1786699208603
1786699259999,EXIDEIND,1m,476.70,476.95,476.70,476.85,180,1786699265412-0,md:candles:1m,1786699273120
1786699319999,EXIDEIND,1m,476.75,476.85,476.50,476.70,3298,1786699326774-0,md:candles:1m,1786699339124
1786699379999,EXIDEIND,1m,476.60,476.95,476.60,476.95,1897,1786699387933-0,md:candles:1m,1786699391745
1786699439999,EXIDEIND,1m,476.75,476.90,476.55,476.65,2074,1786699446614-0,md:candles:1m,1786699457822
1786699499999,EXIDEIND,1m,476.70,476.95,476.50,476.70,4527,1786699508091-0,md:candles:1m,1786699511111
1786699559999,EXIDEIND,1m,476.65,476.85,476.55,476.55,2660,1786699568379-0,md:candles:1m,1786699576085
1786699619999,EXIDEIND,1m,476.55,476.70,476.50,476.70,5112,1786699627709-0,md:candles:1m,1786699639246
1786699679999,EXIDEIND,1m,476.70,476.95,476.50,476.95,4066,1786699688805-0,md:candles:1m,1786699689702
1786699739999,EXIDEIND,1m,476.80,477.00,476.40,476.75,4584,1786699748195-0,md:candles:1m,1786699754023
1786699799999,EXIDEIND,1m,476.75,476.80,476.25,476.70,3235,1786699806117-0,md:candles:1m,1786699807941
1786699859999,EXIDEIND,1m,476.40,476.80,476.15,476.70,21314,1786699868979-0,md:candles:1m,1786699871843
1786699919999,EXIDEIND,1m,476.70,476.70,476.25,476.25,1934,1786699928225-0,md:candles:1m,1786699936026
1786699979999,EXIDEIND,1m,476.55,476.90,476.40,476.90,6452,1786699986729-0,md:candles:1m,1786699989617
1786700039999,EXIDEIND,1m,476.75,477.15,476.75,477.10,4844,1786700047238-0,md:candles:1m,1786700051805
1786700099999,EXIDEIND,1m,476.95,476.95,476.75,476.85,1236,1786700106225-0,md:candles:1m,1786700118244
1786700159999,EXIDEIND,1m,476.90,476.90,476.15,476.40,9089,1786700165912-0,md:candles:1m,1786700171522
1786700219999,EXIDEIND,1m,476.40,476.40,476.05,476.05,10459,1786700225277-0,md:candles:1m,1786700233604
1786700279999,EXIDEIND,1m,476.25,476.40,476.15,476.40,7546,1786700290481-0,md:candles:1m,1786700298079
1786700339999,EXIDEIND,1m,476.35,476.65,476.35,476.60,2696,1786700350666-0,md:candles:1m,1786700351053
1786700399999,EXIDEIND,1m,476.55,476.55,476.05,476.40,7949,1786700409399-0,md:candles:1m,1786700412580
1786700459999,EXIDEIND,1m,476.15,476.35,476.00,476.20,4375,1786700465812-0,md:candles:1m,1786700476026
1786700519999,EXIDEIND,1m,476.20,476.40,476.00,476.10,4678,1786700526982-0,md:candles:1m,1786700529452
1786700579999,EXIDEIND,1m,476.10,476.55,476.00,476.50,25973,1786700590397-0,md:candles:1m,1786700591306
1786700639999,EXIDEIND,1m,476.15,476.65,476.15,476.30,3973,1786700647480-0,md:candles:1m,1786700653590
1786700699999,EXIDEIND,1m,476.35,476.50,476.10,476.50,7091,1786700707845-0,md:candles:1m,1786700715149
1786700759999,EXIDEIND,1m,476.05,476.25,476.05,476.20,2179,1786700767478-0,md:candles:1m,1786700777439
1786700819999,EXIDEIND,1m,476.35,476.50,476.05,476.05,2456,1786700826598-0,md:candles:1m,1786700827804
1786700879999,EXIDEIND,1m,476.20,476.45,476.15,476.40,2448,1786700885287-0,md:candles:1m,1786700888893
1786700939999,EXIDEIND,1m,476.40,476.40,476.25,476.40,745,1786700946190-0,md:candles:1m,1786700950112
1786700999999,EXIDEIND,1m,476.40,476.60,476.10,476.50,5395,1786701006713-0,md:candles:1m,1786701010481
1786701059999,EXIDEIND,1m,476.35,476.50,475.75,476.45,9295,1786701068563-0,md:candles:1m,1786701071890
1786701119999,EXIDEIND,1m,476.05,476.45,475.50,476.25,10876,1786701125971-0,md:candles:1m,1786701126761
1786701179999,EXIDEIND,1m,476.25,476.40,475.80,475.90,3189,1786701186296-0,md:candles:1m,1786701191510
1786701239999,EXIDEIND,1m,476.30,476.35,476.05,476.30,2900,1786701246476-0,md:candles:1m,1786701248276
1786701299999,EXIDEIND,1m,476.30,476.30,475.60,476.15,5302,1786701308565-0,md:candles:1m,1786701313567
1786701359999,EXIDEIND,1m,476.20,476.20,475.25,475.70,8624,1786701368341-0,md:candles:1m,1786701379364
1786701419999,EXIDEIND,1m,475.70,475.95,475.55,475.95,2364,1786701427361-0,md:candles:1m,1786701432770
1786701479999,EXIDEIND,1m,476.00,476.00,475.55,475.80,7169,1786701488766-0,md:candles:1m,1786701496799
1786701539999,EXIDEIND,1m,475.75,475.75,475.25,475.25,10596,1786701547449-0,md:candles:1m,1786701551354
1786701599999,EXIDEIND,1m,475.25,475.80,475.20,475.80,6038,1786701605440-0,md:candles:1m,1786701613806
1786701659999,EXIDEIND,1m,475.80,475.80,475.80,475.80,99,1786701700695-0,md:candles:1m,1786701706798
1786701719999,EXIDEIND,1m,476.10,476.10,476.10,476.10,0,1786702812835-0,md:candles:1m,1786702820532
1786702859999,EXIDEIND,1m,476.10,476.10,476.10,476.10,274,1786702875410-0,md:candles:1m,1786702884923
1786702919999,EXIDEIND,1m,476.10,476.10,476.10,476.10,9,1786702953402-0,md:candles:1m,1786702957910
1786702979999,EXIDEIND,1m,476.10,476.10,476.10,476.10,750,1786703098066-0,md:candles:1m,1786703098055
1786703099999,EXIDEIND,1m,476.10,476.10,476.10,476.10,1,1786703153726-0,md:candles:1m,1786703163439
1786703159999,EXIDEIND,1m,476.10,476.10,476.10,476.10,5,1786703167648-0,md:candles:1m,1786703173539
1786699799999,EXIDEIND,30m,477.05,477.40,476.25,476.70,39408,1786699868987-0,md:candles:30m,1786699872287
1786701599999,EXIDEIND,30m,476.40,477.15,475.20,475.80,199185,1786701700700-0,md:candles:30m,1786701708808
1786699199999,EXIDEIND,5m,477.05,477.40,476.75,476.90,7775,1786699265426-0,md:candles:5m,1786699265610
1786699499999,EXIDEIND,5m,476.70,476.95,476.50,476.70,11976,1786699568381-0,md:candles:5m,1786699570970
1786699799999,EXIDEIND,5m,476.65,477.00,476.25,476.70,19657,1786699868983-0,md:candles:5m,1786699880291
1786700099999,EXIDEIND,5m,476.40,477.15,476.15,476.85,35780,1786700165918-0,md:candles:5m,1786700170829
1786700399999,EXIDEIND,5m,476.90,476.90,476.05,476.40,37739,1786700465816-0,md:candles:5m,1786700471362
1786700699999,EXIDEIND,5m,476.15,476.65,476.00,476.50,46090,1786700767480-0,md:candles:5m,1786700773441
1786700999999,EXIDEIND,5m,476.05,476.60,476.05,476.50,13223,1786701068565-0,md:candles:5m,1786701080800
1786701299999,EXIDEIND,5m,476.35,476.50,475.50,476.15,31562,1786701368343-0,md:candles:5m,1786701379364
1786701599999,EXIDEIND,5m,476.20,476.20,475.20,475.80,34791,1786701700698-0,md:candles:5m,1786701706798
1786701899999,EXIDEIND,5m,475.80,476.10,475.80,476.10,99,1786702875412-0,md:candles:5m,1786702884923
1786703099999,EXIDEIND,5m,476.10,476.10,476.10,476.10,1034,1786703167649-0,md:candles:5m,1786703174451
