ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,FEDERALBNK,10m,353.60,354.00,353.50,353.70,56054,1786699265206-0,md:candles:10m,1786699265610
1786699799999,FEDERALBNK,10m,353.85,353.90,353.20,353.30,81484,1786699868893-0,md:candles:10m,1786699876284
1786700399999,FEDERALBNK,10m,353.25,353.30,352.85,352.95,149968,1786700465563-0,md:candles:10m,1786700471301
1786700999999,FEDERALBNK,10m,353.00,353.15,352.45,352.85,119163,1786701069085-0,md:candles:10m,1786701070102
1786702801000,FEDERALBNK,1d,353.60,354.00,351.30,351.30,2757772,1786702806236-0,md:candles:1d,1786702807233
1786698959999,FEDERALBNK,1m,353.60,353.60,353.55,353.55,16054,1786698965221-0,md:candles:1m,1786698974630
1786699019999,FEDERALBNK,1m,353.60,353.80,353.50,353.60,19084,1786699025573-0,md:candles:1m,1786699028548
1786699079999,FEDERALBNK,1m,353.80,353.90,353.55,353.85,8615,1786699087709-0,md:candles:1m,1786699094422
1786699139999,FEDERALBNK,1m,353.85,354.00,353.70,353.70,6527,1786699147870-0,md:candles:1m,1786699158101
1786699199999,FEDERALBNK,1m,353.75,353.90,353.70,353.70,5774,1786699206172-0,md:candles:1m,1786699208603
1786699259999,FEDERALBNK,1m,353.85,353.90,353.75,353.75,3316,1786699265192-0,md:candles:1m,1786699273120
1786699319999,FEDERALBNK,1m,353.90,353.90,353.20,353.20,30099,1786699326759-0,md:candles:1m,1786699339124
1786699379999,FEDERALBNK,1m,353.35,353.55,353.30,353.45,8939,1786699385486-0,md:candles:1m,1786699391745
1786699439999,FEDERALBNK,1m,353.55,353.55,353.45,353.45,5255,1786699446286-0,md:candles:1m,1786699457822
1786699499999,FEDERALBNK,1m,353.50,353.55,353.45,353.50,3673,1786699508072-0,md:candles:1m,1786699511111
1786699559999,FEDERALBNK,1m,353.55,353.55,353.35,353.35,4286,1786699568086-0,md:candles:1m,1786699576085
1786699619999,FEDERALBNK,1m,353.45,353.45,353.40,353.40,4880,1786699627405-0,md:candles:1m,1786699639246
1786699679999,FEDERALBNK,1m,353.40,353.50,353.35,353.50,6649,1786699687946-0,md:candles:1m,1786699689702
1786699739999,FEDERALBNK,1m,353.40,353.50,353.25,353.25,5084,1786699748012-0,md:candles:1m,1786699754023
1786699799999,FEDERALBNK,1m,353.20,353.30,353.20,353.30,9303,1786699805771-0,md:candles:1m,1786699807941
1786699859999,FEDERALBNK,1m,353.25,353.30,353.20,353.25,10853,1786699868875-0,md:candles:1m,1786699871843
1786699919999,FEDERALBNK,1m,353.20,353.20,353.00,353.00,15021,1786699928046-0,md:candles:1m,1786699936026
1786699979999,FEDERALBNK,1m,353.00,353.10,353.00,353.10,10891,1786699986547-0,md:candles:1m,1786699989617
1786700039999,FEDERALBNK,1m,353.05,353.20,353.05,353.20,9138,1786700046892-0,md:candles:1m,1786700051805
1786700099999,FEDERALBNK,1m,353.20,353.20,353.10,353.15,12667,1786700109615-0,md:candles:1m,1786700118244
1786700159999,FEDERALBNK,1m,353.10,353.10,352.90,352.90,17633,1786700165616-0,md:candles:1m,1786700171522
1786700219999,FEDERALBNK,1m,353.15,353.15,352.90,352.95,24753,1786700228554-0,md:candles:1m,1786700233604
1786700279999,FEDERALBNK,1m,352.90,352.95,352.90,352.90,15122,1786700290239-0,md:candles:1m,1786700298079
1786700339999,FEDERALBNK,1m,353.15,353.25,353.05,353.10,21270,1786700350495-0,md:candles:1m,1786700351053
1786700399999,FEDERALBNK,1m,353.10,353.10,352.85,352.95,12620,1786700409367-0,md:candles:1m,1786700412580
1786700459999,FEDERALBNK,1m,353.00,353.00,352.95,352.95,18767,1786700465549-0,md:candles:1m,1786700476026
1786700519999,FEDERALBNK,1m,352.90,352.90,352.65,352.65,39691,1786700526689-0,md:candles:1m,1786700529452
1786700579999,FEDERALBNK,1m,352.70,352.70,352.45,352.65,28573,1786700589613-0,md:candles:1m,1786700591306
1786700639999,FEDERALBNK,1m,352.95,353.15,352.80,352.90,21922,1786700646503-0,md:candles:1m,1786700653590
1786700699999,FEDERALBNK,1m,352.85,352.90,352.65,352.85,10210,1786701006721-0,md:candles:1m,1786701010481
1786701059999,FEDERALBNK,1m,352.85,352.85,352.85,352.85,94596,1786701069081-0,md:candles:1m,1786701071890
1786701119999,FEDERALBNK,1m,352.85,352.85,352.85,352.85,31105,1786701137982-0,md:candles:1m,1786701149293
1786701179999,FEDERALBNK,1m,352.85,352.85,352.85,352.85,1477,1786701234179-0,md:candles:1m,1786701238070
1786701239999,FEDERALBNK,1m,352.85,352.85,352.85,352.85,50,1786701246185-0,md:candles:1m,1786701248276
1786701299999,FEDERALBNK,1m,352.85,352.85,352.85,352.85,613,1786701337226-0,md:candles:1m,1786701346604
1786701359999,FEDERALBNK,1m,352.85,352.85,352.85,352.85,100,1786701380900-0,md:candles:1m,1786701390103
1786701419999,FEDERALBNK,1m,352.85,352.85,352.85,352.85,115,1786701433776-0,md:candles:1m,1786701443578
1786701479999,FEDERALBNK,1m,352.85,352.85,352.85,352.85,159,1786701490065-0,md:candles:1m,1786701496799
1786701539999,FEDERALBNK,1m,352.85,352.85,351.30,351.30,2222888,1786702806235-0,md:candles:1m,1786702808525
