ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,FORTIS,10m,921.35,922.40,920.95,921.65,18106,1786699266798-0,md:candles:10m,1786699276624
1786699799999,FORTIS,10m,921.60,924.80,921.25,924.70,52995,1786699866074-0,md:candles:10m,1786699876284
1786700399999,FORTIS,10m,924.25,924.70,921.90,923.35,89579,1786700471562-0,md:candles:10m,1786700482979
1786700999999,FORTIS,10m,923.00,923.50,921.05,923.50,45732,1786701074906-0,md:candles:10m,1786701080910
1786701599999,FORTIS,10m,923.50,929.00,923.50,929.00,1512723,1786702954005-0,md:candles:10m,1786702960035
1786702800000,FORTIS,1d,921.35,929.00,920.95,929.00,1719135,1786702805831-0,md:candles:1d,1786702807233
1786698959999,FORTIS,1m,921.35,921.40,920.95,920.95,1955,1786698965511-0,md:candles:1m,1786698974630
1786699019999,FORTIS,1m,921.40,921.70,921.10,921.60,3003,1786699026637-0,md:candles:1m,1786699028548
1786699079999,FORTIS,1m,921.65,922.00,921.30,921.95,2680,1786699087356-0,md:candles:1m,1786699094422
1786699139999,FORTIS,1m,922.00,922.40,921.50,921.65,6452,1786699152297-0,md:candles:1m,1786699158101
1786699199999,FORTIS,1m,921.65,921.65,921.05,921.65,4016,1786699206163-0,md:candles:1m,1786699208603
1786699259999,FORTIS,1m,921.60,921.75,921.35,921.70,3429,1786699266758-0,md:candles:1m,1786699273120
1786699319999,FORTIS,1m,921.60,921.70,921.50,921.70,2379,1786699325836-0,md:candles:1m,1786699326703
1786699379999,FORTIS,1m,921.60,921.70,921.30,921.55,3977,1786699387560-0,md:candles:1m,1786699391745
1786699439999,FORTIS,1m,921.95,922.00,921.55,922.00,3574,1786699445777-0,md:candles:1m,1786699457822
1786699499999,FORTIS,1m,921.90,922.30,921.25,921.85,8124,1786699511677-0,md:candles:1m,1786699523104
1786699559999,FORTIS,1m,921.85,921.95,921.40,921.95,3539,1786699567565-0,md:candles:1m,1786699576085
1786699619999,FORTIS,1m,921.95,922.10,921.65,922.10,2605,1786699625812-0,md:candles:1m,1786699627296
1786699679999,FORTIS,1m,922.10,922.90,922.10,922.80,4952,1786699685686-0,md:candles:1m,1786699689702
1786699739999,FORTIS,1m,922.55,923.80,922.55,923.80,11973,1786699745311-0,md:candles:1m,1786699754023
1786699799999,FORTIS,1m,923.80,924.80,923.80,924.70,8443,1786699805559-0,md:candles:1m,1786699807941
1786699859999,FORTIS,1m,924.25,924.70,923.70,923.95,14241,1786699866044-0,md:candles:1m,1786699871843
1786699919999,FORTIS,1m,923.95,923.95,922.30,922.95,5713,1786699926026-0,md:candles:1m,1786699936026
1786699979999,FORTIS,1m,922.95,923.25,922.90,923.25,3039,1786699986051-0,md:candles:1m,1786699989617
1786700039999,FORTIS,1m,923.25,923.45,922.35,923.00,9110,1786700046313-0,md:candles:1m,1786700051805
1786700099999,FORTIS,1m,922.90,922.95,922.50,922.90,3876,1786700109124-0,md:candles:1m,1786700118244
1786700159999,FORTIS,1m,922.80,923.05,922.55,923.05,13551,1786700168198-0,md:candles:1m,1786700171522
1786700219999,FORTIS,1m,922.85,923.00,921.90,923.00,29356,1786700227775-0,md:candles:1m,1786700233604
1786700279999,FORTIS,1m,923.00,923.00,922.85,923.00,2977,1786700286311-0,md:candles:1m,1786700298079
1786700339999,FORTIS,1m,923.00,923.40,922.75,923.40,2877,1786700349652-0,md:candles:1m,1786700351053
1786700399999,FORTIS,1m,923.40,923.50,922.80,923.35,4839,1786700405325-0,md:candles:1m,1786700412580
1786700459999,FORTIS,1m,923.00,923.35,922.25,922.45,10624,1786700471490-0,md:candles:1m,1786700476026
1786700519999,FORTIS,1m,922.40,922.45,921.35,922.10,4847,1786700525422-0,md:candles:1m,1786700529452
1786700579999,FORTIS,1m,921.75,923.45,921.75,922.85,19263,1786700589590-0,md:candles:1m,1786700591306
1786700639999,FORTIS,1m,922.75,922.75,921.05,921.70,3296,1786700646471-0,md:candles:1m,1786700653590
1786700699999,FORTIS,1m,921.65,923.50,921.65,923.50,7546,1786700707149-0,md:candles:1m,1786700715149
1786700759999,FORTIS,1m,923.50,923.50,923.50,923.50,156,1786701005987-0,md:candles:1m,1786701010481
1786701059999,FORTIS,1m,923.50,923.50,923.50,923.50,7027,1786701074899-0,md:candles:1m,1786701082805
1786701119999,FORTIS,1m,923.50,923.50,923.50,923.50,553,1786701137494-0,md:candles:1m,1786701149293
1786701179999,FORTIS,1m,923.50,923.50,923.50,923.50,18,1786701203615-0,md:candles:1m,1786701203615
1786701239999,FORTIS,1m,923.50,923.50,923.50,923.50,8,1786701258908-0,md:candles:1m,1786701260413
1786701299999,FORTIS,1m,923.50,923.50,923.50,923.50,7,1786701399922-0,md:candles:1m,1786701400511
1786701419999,FORTIS,1m,923.50,923.50,923.50,923.50,6,1786701452931-0,md:candles:1m,1786701454406
1786701479999,FORTIS,1m,923.50,923.50,923.50,923.50,4,1786701518780-0,md:candles:1m,1786701529772
1786701539999,FORTIS,1m,929.00,929.00,929.00,929.00,1505100,1786702805829-0,md:candles:1m,1786702808525
1786702859999,FORTIS,1m,929.00,929.00,929.00,929.00,102,1786702954003-0,md:candles:1m,1786702957910
1786702979999,FORTIS,1m,929.00,929.00,929.00,929.00,1,1786703167852-0,md:candles:1m,1786703173539
1786699799999,FORTIS,30m,921.35,924.80,920.95,924.70,71101,1786699866075-0,md:candles:30m,1786699872287
1786701599999,FORTIS,30m,924.25,929.00,921.05,929.00,1648034,1786702954006-0,md:candles:30m,1786702960035
1786699199999,FORTIS,5m,921.35,922.40,920.95,921.65,18106,1786699266797-0,md:candles:5m,1786699276624
1786699499999,FORTIS,5m,921.60,922.30,921.25,921.85,21483,1786699567568-0,md:candles:5m,1786699570970
1786699799999,FORTIS,5m,921.85,924.80,921.40,924.70,31512,1786699866072-0,md:candles:5m,1786699868444
1786700099999,FORTIS,5m,924.25,924.70,922.30,922.90,35979,1786700168202-0,md:candles:5m,1786700170829
1786700399999,FORTIS,5m,922.80,923.50,921.90,923.35,53600,1786700471560-0,md:candles:5m,1786700482979
1786700699999,FORTIS,5m,923.00,923.50,921.05,923.50,45576,1786701005991-0,md:candles:5m,1786701013188
1786700999999,FORTIS,5m,923.50,923.50,923.50,923.50,156,1786701074904-0,md:candles:5m,1786701080800
1786701299999,FORTIS,5m,923.50,923.50,923.50,923.50,7613,1786701452932-0,md:candles:5m,1786701456426
1786701599999,FORTIS,5m,923.50,929.00,923.50,929.00,1505110,1786702954004-0,md:candles:5m,1786702960035
