ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,GAIL,10m,173.95,174.04,173.70,173.82,118284,1786699270633-0,md:candles:10m,1786699276624
1786699799999,GAIL,10m,173.82,173.94,173.62,173.82,307322,1786699868095-0,md:candles:10m,1786699876284
1786700399999,GAIL,10m,173.82,173.97,173.50,173.55,345091,1786700465440-0,md:candles:10m,1786700471301
1786700999999,GAIL,10m,173.57,173.90,173.57,173.80,181218,1786701081205-0,md:candles:10m,1786701092722
1786701599999,GAIL,10m,173.80,174.90,173.80,174.90,4461076,1786703154530-0,md:candles:10m,1786703163695
1786702806000,GAIL,1d,173.95,174.90,173.50,174.90,5412991,1786702811961-0,md:candles:1d,1786702818543
1786698959999,GAIL,1m,173.95,173.96,173.93,173.93,3116,1786698970422-0,md:candles:1m,1786698974630
1786699019999,GAIL,1m,173.93,174.04,173.84,173.84,71609,1786699026612-0,md:candles:1m,1786699028548
1786699079999,GAIL,1m,173.79,173.87,173.70,173.75,27659,1786699087063-0,md:candles:1m,1786699094422
1786699139999,GAIL,1m,173.79,173.84,173.75,173.83,3883,1786699152105-0,md:candles:1m,1786699158101
1786699199999,GAIL,1m,173.88,173.88,173.80,173.82,12017,1786699205631-0,md:candles:1m,1786699208603
1786699259999,GAIL,1m,173.82,173.88,173.82,173.85,8506,1786699270625-0,md:candles:1m,1786699273120
1786699319999,GAIL,1m,173.88,173.88,173.71,173.76,140569,1786699325825-0,md:candles:1m,1786699326703
1786699379999,GAIL,1m,173.79,173.79,173.62,173.65,17047,1786699387515-0,md:candles:1m,1786699391745
1786699439999,GAIL,1m,173.65,173.80,173.63,173.74,39652,1786699445700-0,md:candles:1m,1786699457822
1786699499999,GAIL,1m,173.74,173.78,173.67,173.72,20916,1786699506905-0,md:candles:1m,1786699511111
1786699559999,GAIL,1m,173.68,173.82,173.68,173.82,11238,1786699566964-0,md:candles:1m,1786699576085
1786699619999,GAIL,1m,173.83,173.83,173.82,173.83,5370,1786699626833-0,md:candles:1m,1786699627296
1786699679999,GAIL,1m,173.86,173.91,173.82,173.91,18050,1786699686979-0,md:candles:1m,1786699689702
1786699739999,GAIL,1m,173.94,173.94,173.84,173.86,25044,1786699747415-0,md:candles:1m,1786699754023
1786699799999,GAIL,1m,173.86,173.89,173.82,173.82,20930,1786699805189-0,md:candles:1m,1786699807941
1786699859999,GAIL,1m,173.82,173.88,173.82,173.87,22835,1786699868075-0,md:candles:1m,1786699871843
1786699919999,GAIL,1m,173.87,173.88,173.79,173.79,35374,1786699927518-0,md:candles:1m,1786699936026
1786699979999,GAIL,1m,173.79,173.82,173.77,173.80,23872,1786699985956-0,md:candles:1m,1786699989617
1786700039999,GAIL,1m,173.80,173.95,173.80,173.94,45384,1786700046219-0,md:candles:1m,1786700051805
1786700099999,GAIL,1m,173.95,173.97,173.92,173.93,19183,1786700109052-0,md:candles:1m,1786700118244
1786700159999,GAIL,1m,173.85,173.85,173.55,173.66,42815,1786700165844-0,md:candles:1m,1786700171522
1786700219999,GAIL,1m,173.67,173.69,173.58,173.63,63702,1786700225275-0,md:candles:1m,1786700233604
1786700279999,GAIL,1m,173.65,173.65,173.50,173.51,52819,1786700289604-0,md:candles:1m,1786700298079
1786700339999,GAIL,1m,173.55,173.56,173.50,173.53,25295,1786700349544-0,md:candles:1m,1786700351053
1786700399999,GAIL,1m,173.53,173.58,173.52,173.55,13812,1786700408586-0,md:candles:1m,1786700412580
1786700459999,GAIL,1m,173.57,173.72,173.57,173.68,56930,1786700465416-0,md:candles:1m,1786700476026
1786700519999,GAIL,1m,173.69,173.85,173.67,173.81,26165,1786700525398-0,md:candles:1m,1786700529452
1786700579999,GAIL,1m,173.82,173.90,173.74,173.79,41993,1786700588656-0,md:candles:1m,1786700591306
1786700639999,GAIL,1m,173.77,173.83,173.68,173.75,18417,1786700650670-0,md:candles:1m,1786700653590
1786700699999,GAIL,1m,173.68,173.89,173.68,173.80,37693,1786700705483-0,md:candles:1m,1786700715149
1786700759999,GAIL,1m,173.80,173.80,173.80,173.80,20,1786701005806-0,md:candles:1m,1786701010481
1786701059999,GAIL,1m,173.80,173.80,173.80,173.80,9849,1786701081201-0,md:candles:1m,1786701082805
1786701119999,GAIL,1m,173.80,173.80,173.80,173.80,802,1786701125188-0,md:candles:1m,1786701126761
1786701179999,GAIL,1m,173.80,173.80,173.80,173.80,261,1786701191442-0,md:candles:1m,1786701191510
1786701239999,GAIL,1m,173.80,173.80,173.80,173.80,792,1786701251903-0,md:candles:1m,1786701260413
1786701299999,GAIL,1m,173.80,173.80,173.80,173.80,345,1786701349426-0,md:candles:1m,1786701357832
