ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,GLENMARK,10m,2312.20,2314.00,2310.80,2313.00,3787,1786699265196-0,md:candles:10m,1786699265610
1786699799999,GLENMARK,10m,2313.00,2317.80,2310.70,2317.40,17059,1786699868876-0,md:candles:10m,1786699876284
1786700399999,GLENMARK,10m,2317.40,2322.60,2315.00,2320.30,55556,1786700465556-0,md:candles:10m,1786700471301
1786700999999,GLENMARK,10m,2321.20,2321.30,2315.00,2320.00,15915,1786701068998-0,md:candles:10m,1786701070102
1786701599999,GLENMARK,10m,2320.00,2320.00,2318.40,2318.40,629036,1786702950210-0,md:candles:10m,1786702960035
1786702801000,GLENMARK,1d,2312.20,2322.60,2310.70,2318.40,721353,1786702806223-0,md:candles:1d,1786702807233
1786698959999,GLENMARK,1m,2312.20,2312.80,2311.10,2311.20,218,1786698970105-0,md:candles:1m,1786698974630
1786699019999,GLENMARK,1m,2311.90,2312.00,2310.80,2311.90,496,1786699027122-0,md:candles:1m,1786699028548
1786699079999,GLENMARK,1m,2311.90,2312.00,2310.90,2312.00,573,1786699087639-0,md:candles:1m,1786699094422
1786699139999,GLENMARK,1m,2312.00,2314.00,2311.70,2312.60,1947,1786699150681-0,md:candles:1m,1786699158101
1786699199999,GLENMARK,1m,2312.90,2313.60,2311.70,2313.00,553,1786699210165-0,md:candles:1m,1786699221468
1786699259999,GLENMARK,1m,2313.00,2313.00,2310.70,2312.50,1046,1786699265183-0,md:candles:1m,1786699273120
1786699319999,GLENMARK,1m,2312.50,2313.70,2311.10,2311.20,1884,1786699326165-0,md:candles:1m,1786699326703
1786699379999,GLENMARK,1m,2311.20,2314.70,2311.10,2313.60,7813,1786699385903-0,md:candles:1m,1786699391745
1786699439999,GLENMARK,1m,2313.60,2314.30,2313.10,2313.10,1671,1786699446279-0,md:candles:1m,1786699457822
1786699499999,GLENMARK,1m,2313.30,2314.00,2312.60,2313.50,1120,1786699508064-0,md:candles:1m,1786699511111
1786699559999,GLENMARK,1m,2312.70,2315.60,2312.70,2315.10,997,1786699566276-0,md:candles:1m,1786699576085
1786699619999,GLENMARK,1m,2315.30,2317.20,2315.00,2316.20,962,1786699626407-0,md:candles:1m,1786699627296
1786699679999,GLENMARK,1m,2316.90,2317.80,2316.30,2316.80,853,1786699691504-0,md:candles:1m,1786699701410
1786699739999,GLENMARK,1m,2316.80,2317.60,2316.60,2316.60,318,1786699748008-0,md:candles:1m,1786699754023
